account,company_name,industry,sub_industry,workflow_pattern,classification_source,confidence,ltv,mrr,users,account_age_days,annual_sales,qb_customers,health_score,total_events,invoices,estimates,opportunities,activities,industry_account_count,industry_avg_ltv,industry_median_ltv,industry_total_ltv,industry_avg_users,industry_median_users,industry_avg_mrr,industry_median_mrr,industry_avg_invoices,industry_avg_estimates,industry_avg_opportunities,industry_avg_activities,sub_account_count,sub_avg_ltv,sub_median_ltv,sub_avg_users,sub_median_users,sub_avg_mrr,sub_avg_invoices,sub_avg_estimates,sub_avg_opportunities,sub_avg_activities,website,description,product_types,product_complexity,mwd_vertical,sector,signup_date,qbo_industry
reidwitlinltd,REID WITLIN LTD.,Manufacturing,Commercial Textiles,crm_pipeline,manual_verification,high,1797.5,,4.0,,2520920,9814.0,34.0,2182,0,0,2182,0,26,9205.66,3855.5,239347.07,4.35,3.0,291.12,343.5,503.77,278.77,160.12,2463.77,1.0,1797.5,1797.5,4.0,4.0,,0.0,0.0,2182.0,0.0,rwltd.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),wholesale_distribution,2024-05-22,wholesale_distribution
protectconstruction,Protect Construction Supply Inc.,Safety Equipment,Safety Equipment,crm_pipeline,llm_classification,medium,2053.8,,4.0,,5997813,2040.0,47.0,3493,0,0,28,3465,3,2404.27,2053.8,7212.8,2.67,3.0,,,0.0,19.33,9.33,1666.0,1.0,2053.8,2053.8,4.0,4.0,,0.0,0.0,28.0,3465.0,protectconstruction.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-05-16,
marineinnovations2,Marine Innovations Inc,Sports & Recreation,Marine/Boating,crm_pipeline,llm_classification,medium,7705.0,468.0,9.0,0.0,5676112,3131.0,32.0,1088,0,0,398,690,6,36253.21,21851.41,217519.28,10.33,9.5,668.0,468.0,885.17,3086.83,273.67,4352.83,1.0,7705.0,7705.0,9.0,9.0,468.0,0.0,0.0,398.0,690.0,marineinnovations.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-05-13,
ceramicainc,Ceramica Inc.,Construction & Building,Stone/Masonry,transactional,manual_verification,high,3240.0,,4.0,,747520,1330.0,75.0,16781,8519,140,0,8122,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,1.0,3240.0,3240.0,4.0,4.0,,8519.0,140.0,0.0,8122.0,ceramicainc.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-05-08,
hydrospraywashsystemsinc,HydroSpray Wash Systems Inc,Technology,Software/Technology,quote_driven,llm_classification,medium,4582.8,251.0,5.0,,696995,666.0,46.0,219,0,183,36,0,21,21170.08,7220.0,444571.62,10.1,5.0,1088.5,385.5,34.29,1004.1,241.38,2319.62,13.0,9026.4,7220.0,5.0,4.0,340.67,47.92,365.0,138.15,211.85,hsws.net,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-05-06,
evolutiontrailertechnologies,"Evolution Trailer Technologies, Inc.",Technology,Software/Technology,quote_driven,llm_classification,medium,2072.0,,3.0,,0,1769.0,32.0,933,0,933,0,0,21,21170.08,7220.0,444571.62,10.1,5.0,1088.5,385.5,34.29,1004.1,241.38,2319.62,13.0,9026.4,7220.0,5.0,4.0,340.67,47.92,365.0,138.15,211.85,gmail.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-05-06,
apparelstuffrus2,"APPAREL ARE US, INC.",Consumer Goods,Apparel,crm_pipeline,llm_classification,medium,4451.0,,4.0,,290967,2500.0,37.0,282,0,0,282,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,9.0,8793.39,4451.0,5.44,4.0,325.0,323.22,239.67,152.0,2005.22,apparelstuffrus.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2024-05-03,
mobilitycityofcoloradosprings,Mobility City of Colorado Springs,Consumer Goods,Jewelry,quote_driven,llm_classification,medium,3606.4,,6.0,,772393,2192.0,47.0,2911,310,348,0,2253,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,www.mobilitycity.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,All Other Miscellaneous Store Retailers,2024-05-01,All other miscellaneous store retailers (except tobacco stores)
lmhdistribution,LMH DISTRIBUTION INC,Industrial,Distribution,transactional,manual_verification,low,905.0,,1.0,,1574150,270.0,64.0,1288,1023,265,0,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,905.0,905.0,1.0,1.0,,1023.0,265.0,0.0,0.0,lmhdist.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-04-25,WholesaleDistributionandSales
sylcadesigns2,Sylca Designs LLC,Consumer Goods,Jewelry,mixed,llm_classification,medium,709.0,,1.0,,772740,1342.0,23.0,3832,0,0,0,3832,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,sylcadesigns.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-04-25,
dsagllc2,DS Ag LLC,Other,Unclassified,transactional,unclassified,,2151.0,,2.0,,3527371,454.0,59.0,111,111,0,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,dsagmt.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2024-04-12,AgricultureRanchingorFarming
boswellwindows3,"(NEW) Boswell Windows, Glass, & Screen",Construction & Building,Doors & Windows,quote_driven,llm_classification,medium,6154.0,,4.0,,1328454,124.0,39.0,1374,256,461,0,657,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,13.0,7882.36,7082.1,4.62,4.0,361.75,63.46,397.92,157.15,1037.23,helmstaxstrategy.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-04-12,
trimports,T R I Distributors Inc,Industrial,Import/Distribution,mixed,manual_verification,low,3796.2,,3.0,,1020894,26388.0,42.0,1424,0,0,0,1424,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,3796.2,3796.2,3.0,3.0,,0.0,0.0,0.0,1424.0,trimports.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-04-09,
roimetalbuildings,ROI Metal Buildings LLC,Food & Beverage,Spirits,quote_driven,llm_classification,medium,12257.7,,13.0,0.0,6879004,3173.0,56.0,5070,0,389,319,4362,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,roimetalbuildings.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2024-04-08,
pacificlink,Pacific Link,Other,Unclassified,mixed,unclassified,,5906.0,,3.0,,3316351,13392.0,27.0,8897,0,0,0,8897,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,pacificlink.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-04-08,manufacturing
crowncreationsinc,Crown Creations Inc.,Other,Unclassified,transactional,unclassified,,2520.0,,3.0,,2104770,84.0,62.0,325,325,0,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,gmail.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-03-19,Dental laboratories
boxgangmanufacturing2,Box Gang Manufacturing LLC,Consumer Goods,Jewelry,crm_pipeline,llm_classification,medium,4336.0,,4.0,,20376032,2467.0,46.0,290,0,0,290,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,boxgangmfg.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-03-18,
equustockopcollc,EQUUSTOCK OPCO LLC,Furniture,Furniture,quote_driven,llm_classification,medium,4467.6,,6.0,,7899836,1682.0,37.0,3733,0,627,397,2709,16,13490.53,10213.0,215848.42,5.12,5.0,379.6,312.0,569.12,965.19,261.12,2519.56,12.0,10104.38,7122.5,4.42,4.0,298.0,486.5,850.58,97.17,968.25,equustock.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-03-11,Manufacturing
anchorsupply2,Anchor Simulation,Healthcare & Medical,Medical Equipment,quote_driven,llm_classification,medium,5402.06,,4.0,,1512216,2716.0,43.0,2813,256,492,0,2065,32,20200.82,8934.0,646426.27,7.09,6.0,482.4,398.0,649.19,648.25,50.34,6096.09,16.0,22581.62,8589.5,4.75,4.0,350.8,437.69,375.31,21.81,976.0,myanchorsupply.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-03-07,
leadingedgesales2,LEADING EDGE SALES,Food & Beverage,Craft Beer,crm_pipeline,llm_classification,medium,4960.0,342.0,4.0,,4840795,743.0,62.0,398,0,0,398,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,13.0,6274.6,4576.0,2.69,2.0,342.0,352.46,189.85,31.31,585.62,leadingedgesales.ca,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-03-06,
brinksmfgco,Brink's Mfg. Co.,Consumer Goods,Jewelry,mixed,llm_classification,medium,2880.0,152.0,5.0,,8952974,950.0,55.0,1205,0,0,0,1205,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,vanladder.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-02-21,Manufacturing
hdindustriesinc,H.D. Industries,Other,Unclassified,crm_pipeline,unclassified,,1364.0,,1.0,,2716183,1004.0,53.0,57,0,0,57,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,pro-patch.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-02-21,
mpactbeverage2,Mpact Beverage Company,Food & Beverage,Craft Cocktails,transactional,manual_verification,high,23850.0,818.0,21.0,0.0,12714336,4035.0,57.0,5698,4568,0,375,755,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,1.0,23850.0,23850.0,21.0,21.0,818.0,4568.0,0.0,375.0,755.0,mpactbeverage.com,"Houston, TX. Produces premium ready-to-drink adult craft beverage products. Award-winning: Island Style Rita won Best Overall Wine Based RTD Cocktail 2024. Handcrafted small batches using finest ingredients/fruit juices worldwide, pure natural Louisiana cane sugar, proprietary Cryopact™ cold filtration process.","Island Style canned cocktails ('Ultimate Craft Cocktail'): hurricane, hipnotical, rita (award-winning wine based), pina colada, sunset, melon bomb, pineapple maretto, arctic russian, peach, lemonade, tea, jamaica me loco, strawberry, mudslide. 12.5% ABV. Ready to drink chilled, over-ice, or frozen. Available bulk 5-gallon pails or single-serve bottles. Orange wine, agave flavoring, natural ingredients.","High - Award-winning RTD cocktail formulation (2024 Best Overall Wine Based), proprietary Cryopact™ cold filtration technology, small batch handcrafted production, worldwide fruit juice sourcing, Louisiana cane sugar natural sweetening, 14+ flavor SKUs, wine-based cocktail innovation, dual packaging (5-gallon bulk/single-serve), 12.5% ABV engineering.",Manufacturing (MWD),,2024-02-20,GeneralProductbasedBusiness
abbeyhardware,ABBEY HARDWARE,Industrial,Tools/Hardware,quote_driven,llm_classification,medium,7583.25,,6.0,,5872814,6443.0,44.0,1711,0,73,0,1638,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,5.0,6199.65,7583.25,4.6,6.0,330.5,828.4,194.2,145.0,499.6,abbeytrading.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-02-15,WholesaleDistributionandSales
cbsolutionslp,"CB Solutions, LP",Food & Beverage,Spirits,quote_driven,llm_classification,medium,1721.0,,1.0,,998322,861.0,57.0,81,0,81,0,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,cbsolutionslp.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-02-15,OtherNone
vortex2,Vortex De-pollution USA LLC,Consumer Goods,Jewelry,transactional,llm_classification,medium,6866.1,385.0,8.0,,4448367,1117.0,49.0,967,721,246,0,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,sbsassociates.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-02-09,Manufacturing
galaxy2,GALAXY GROUP,Other,Unclassified,crm_pipeline,unclassified,,3087.0,,5.0,,0,309.0,22.0,782,0,0,149,633,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,galaxygroupcorp.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-02-04,WholesaleDistributionandSales
atlanticrestaurantandsupermarketequipment,ATLANTIC RESTAURANT AND SUPERMARKET EQUIPMENT,Consumer Goods,Jewelry,crm_pipeline,llm_classification,medium,11982.6,629.0,14.0,0.0,0,4895.0,43.0,8755,0,0,1916,6839,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,atlanticse.net,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-02-03,WholesaleDistributionandSales
perlite,Perlite.com,Food & Beverage,Spirits,crm_pipeline,llm_classification,medium,1403.0,,1.0,,323106,204.0,60.0,108,0,0,108,0,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,55.0,9685.97,6164.0,6.35,5.0,460.79,319.15,316.82,62.55,1506.22,perlite.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-01-31,
planetarydesign2,Planetary Design,Food & Beverage,Coffee,mixed,llm_classification,medium,7476.0,296.0,5.0,,0,15599.0,33.0,1578,0,0,0,1578,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,9.0,9948.44,7476.0,6.78,6.0,455.25,1096.89,287.67,16.11,1365.22,planetarydesign.us,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-01-29,WholesaleDistributionandSales
pfpspokane2,"Pure Filtration Products, Inc",Industrial,Air Filtration,transactional,manual_verification,high,14698.0,487.0,8.0,0.0,3065439,2672.0,71.0,13251,7212,200,0,5839,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,14698.0,14698.0,8.0,8.0,487.0,7212.0,200.0,0.0,5839.0,pfpspokane.com,"Founded 2009, Spokane, WA (4008 E Broadway Ave). Contact: (509) 315-8460. Serves commercial, industrial, residential sectors. State-of-the-art filtration solutions. Pure Care Program, resource library support. Delivery service for timely access to essential filtration products. Website: pfpspokane.com.","Air filtration: HEPA filters, pleated filters, custom filters, furnace/HVAC/AC filters, bag filters, final filters, high capacity filters, UV lights. Mini-pleat filters: PURACELL VP (4V)/VPX (2V) extended surface (high efficiency particulate removal, extended service life, extremely low resistance). PURACELL V & VX (high efficiency, low initial pressure drop). MAGNA ASHRAE Series (high degree cleanliness). Liquid filtration: GFHD-Series single-cartridge liquid filter vessels.","Very High - 15+ years air/liquid filtration expertise, HEPA filter engineering, PURACELL VP/VPX/V/VX mini-pleat technology (extended surface/low resistance/high efficiency), MAGNA ASHRAE high-cleanliness systems, custom filter design, liquid filtration vessels, commercial/industrial/residential applications, Pure Care Program, Spokane WA operations, UV light integration, delivery logistics.",Wholesale and distribution services (MWD),,2024-01-27,wholesale_distribution
sixdegreesnorthbeveragegroup,"SIX DEGREES NORTH BEVERAGE GROUP, INC",Food & Beverage,Coffee,transactional,llm_classification,medium,13450.5,697.0,15.0,0.0,5185292,1514.0,71.0,7278,2825,1767,0,2686,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,9.0,9948.44,7476.0,6.78,6.0,455.25,1096.89,287.67,16.11,1365.22,sixdegreesnorth.net,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2024-01-19,
brewersicecompanyllc,"BREWER'S ICE COMPANY, LLC",Food & Beverage,Craft Beer,mixed,llm_classification,medium,5401.0,,1.0,,533102,404.0,66.0,808,0,0,0,808,104,8471.14,5181.5,880999.07,5.68,4.0,458.81,380.0,594.49,252.85,46.83,1631.37,13.0,6274.6,4576.0,2.69,2.0,342.0,352.46,189.85,31.31,585.62,yahoo.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-01-15,
yudoinc,Yudo Inc,Consumer Goods,Jewelry,crm_pipeline,llm_classification,medium,10278.6,,10.0,,11348359,3336.0,33.0,311,0,0,311,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,www.yudo.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-01-12,
quipementsvegtech,Équipements Vegtech inc.,Technology,Software/Technology,quote_driven,llm_classification,medium,2554.0,,2.0,,4260186,393.0,53.0,103,0,66,37,0,21,21170.08,7220.0,444571.62,10.1,5.0,1088.5,385.5,34.29,1004.1,241.38,2319.62,13.0,9026.4,7220.0,5.0,4.0,340.67,47.92,365.0,138.15,211.85,vegtech.ca,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-01-12,
periodmouldings2,Period Mouldings Limited,Construction & Building,Mouldings/Millwork,mixed,manual_verification,high,2150.0,,1.0,,330575,8656.0,25.0,1501,0,0,0,1501,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,1.0,2150.0,2150.0,1.0,1.0,,0.0,0.0,0.0,1501.0,periodmouldings.co.uk,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-01-05,
fuelinjectorclinic2,Fuel Injector Clinic Inc.,Consumer Goods,Jewelry,crm_pipeline,llm_classification,medium,5407.0,249.0,6.0,,5698557,27830.0,60.0,2299,0,0,131,2168,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,fuelinjectorclinic.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2024-01-03,wholesale_distribution
aandmdiscountfurniture4,A&M DISCOUNT FURNITURE,Consumer Goods,Jewelry,transactional,llm_classification,medium,11255.0,,11.0,0.0,4229494,6417.0,74.0,4384,3763,621,0,0,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,amdiscountfurniture.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2024-01-02,RetailSummary
mustangnorth,Mustang Material Handling LLC,Industrial,Material Handling Equipment,quote_driven,manual_verification,high,1021.0,40.0,8.0,0.0,6031579,4077.0,57.0,2500,0,2485,15,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,2.0,24577.5,24577.5,22.5,22.5,886.0,3470.5,1242.5,7.5,7107.5,mustangmh.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),WholesaleDistributionandSales,2023-12-27,WholesaleDistributionandSales
pma13,PMA-13,Consumer Goods,Jewelry,quote_driven,llm_classification,medium,18348.0,,23.0,725.0,3275615,7070.0,59.0,16365,2567,4073,3721,6004,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,clarkesystems.com,"Operates as Clarke Systems (clarkesystems.com). Allentown, PA. 35+ years leading wholesale interior wayfinding solutions. 2019 received $25,000 Ben Franklin investment for continuation project with Lehigh University's Center for Supply Chain Research. Serves sign companies/design specifiers nationwide.","ADA-compatible integrated sign systems (maximum functionality/changeability, low-maintenance). Aluminum and plastic components (both recyclable). Architectural signage, wholesale wayfinding systems, ADA-compliant signs, modular signs, aluminum extrusions. Interior signage systems for commercial buildings.","High - 35+ years wholesale wayfinding expertise, ADA-compatible system engineering, aluminum/plastic recyclable component manufacturing, modular sign systems, maximum changeability design, Lehigh University Center for Supply Chain Research partnership, Ben Franklin investment recipient, nationwide sign company/design specifier distribution, Allentown PA operations.",Manufacturing (MWD),,2023-12-24,Manufacturing
energycurve,"Energy Curve Technology, LLC",Retail,Retail/General,quote_driven,manual_verification,low,7601.0,,5.0,,0,1836.0,44.0,2278,0,461,0,1817,6,13441.18,7966.5,80647.1,7.0,5.0,741.0,741.0,501.67,210.33,26.83,2533.0,1.0,7601.0,7601.0,5.0,5.0,,0.0,461.0,0.0,1817.0,energycurve.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2023-12-20,AgricultureRanchingorFarming
ebamethod,EUROBOOR USA INCORPORATED,Industrial,Power Tools/Drilling Equipment,transactional,manual_verification,high,9998.0,340.0,7.0,,3769720,508.0,72.0,10009,5321,103,0,4585,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,9998.0,9998.0,7.0,7.0,340.0,5321.0,103.0,0.0,4585.0,euroboor.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2023-12-20,
flooringrva,Flooring RVA,Construction & Building,Flooring,crm_pipeline,manual_verification,high,11341.0,416.0,9.0,,2947351,15365.0,48.0,11508,0,0,1333,10175,66,12844.24,6291.27,847719.61,6.26,4.0,539.74,416.0,636.97,417.21,265.94,2829.94,12.0,14053.58,10213.9,8.83,7.5,608.17,1377.75,476.08,306.92,5137.58,flooringrva.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Retail,,2023-12-15,
halosilinternationalnxtllc,Halosil International-NXT LLC,Other,Unclassified,quote_driven,unclassified,,4696.0,,2.0,,859722,1233.0,40.0,134,0,134,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,halosil.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2023-12-08,Manufacturing
area51sportsltd,Area 51 Sports,Consumer Goods,Jewelry,transactional,llm_classification,medium,6802.0,,2.0,,612350,911.0,31.0,1682,362,343,49,928,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,area51sports.ca,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2023-12-06,
championproducts2,Champion Products LLC,Industrial,Industrial Supplies,transactional,manual_verification,low,1800.0,,2.0,,5084980,196.0,44.0,1352,1110,242,0,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,1800.0,1800.0,2.0,2.0,,1110.0,242.0,0.0,0.0,championproductsusa.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),WholesaleDistributionandSales,2023-12-06,WholesaleDistributionandSales
atlanticindustrialcorp,ATLANTICS DEPOT INC,Industrial,Industrial Distribution,transactional,manual_verification,high,1350.0,,1.0,,1490479,301.0,62.0,1113,890,223,0,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,1350.0,1350.0,1.0,1.0,,890.0,223.0,0.0,0.0,atlanticindustrialcorp.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2023-12-05,GeneralProductbasedBusiness
nationalfiltersupply,National Filter Supply,Industrial,Filtration,crm_pipeline,llm_classification,medium,8669.0,,4.0,,0,396.0,15.0,30,0,0,30,0,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,2.0,5256.0,5256.0,5.0,5.0,,0.0,0.0,66.0,0.0,natfiltsupply.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Wholesale and distribution services (MWD),,2023-11-29,
jemmcollc,"Jemmco, LLC",Other,Unclassified,quote_driven,unclassified,,3321.0,,3.0,,808967,6857.0,38.0,104,0,104,0,0,152,6979.17,3633.75,1060834.36,4.39,3.0,425.19,360.0,67.87,106.99,45.09,274.05,,,,,,,,,,,jemmco.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2023-11-21,wholesale_distribution
goldnerdockconstruction,"Goldner Dock Construction, LLC",Consumer Goods,Jewelry,quote_driven,llm_classification,medium,5799.0,379.0,6.0,,5496663,2763.0,38.0,3431,0,954,67,2410,70,9459.47,5551.25,662162.6,6.61,5.0,403.92,366.0,552.67,547.01,212.17,3277.57,34.0,10528.72,6577.0,6.91,6.0,434.15,563.74,601.68,253.94,2121.71,goldnerdock.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2023-11-20,Marine Construction
limbbusterllc,Limb Buster LLC,Industrial,Tree Trimming Equipment,crm_pipeline,manual_verification,high,1754.0,,2.0,,6111300,4566.0,54.0,5179,565,290,724,3600,44,13235.79,8126.12,582374.63,7.7,6.0,509.0,371.5,1263.32,809.02,102.5,3404.82,1.0,1754.0,1754.0,2.0,2.0,,565.0,290.0,724.0,3600.0,limbbuster.com,PENDING RESEARCH,PENDING RESEARCH,PENDING RESEARCH,Manufacturing (MWD),,2023-11-20,
