Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $,Employees,Customers,Sign Up Date,Cancellation Date
covidtestingsalutationsllc,Non-payment,,1.8,98.0,32.0,7.0,2021-01-08,2021-03-05
sprizziswift,Non-payment,,1.9,98.0,1.0,9.0,2020-05-18,2020-07-15
abproducts,Non-payment,,1.4,98.0,0.0,308.0,2023-12-15,2024-01-27
laurasconfectioneryltd,Other - please specify,,1.4,98.0,0.0,170.0,2021-01-09,2021-02-22
covidtestingsolutions,Other - please specify,Duplicate trial ,0.0,98.0,0.0,0.0,2021-01-18,2021-01-19
neeshspaces,Other - please specify,,1.1,98.0,0.0,1.0,2020-05-12,2020-06-14
HolyKombuchaInc,Non-payment,,1.9,98.0,0.0,291.0,2021-02-18,2021-04-18
cngcabinets,Non-payment,,1.9,98.0,6.0,121.0,2022-04-01,2022-05-30
deppnersfreshfoods2,Non-payment,,1.9,98.0,15.0,678.0,2022-03-31,2022-05-28
zaydensgottaspot,Non-payment,,1.9,98.0,0.0,0.0,2022-08-30,2022-10-27
joesmoes,Non-payment,,1.9,98.0,0.0,2.0,2021-02-18,2021-04-18
bluestreakequipmentdemo,Other - please specify,"No Longer Need CRM

-----------------------------------------------

Tony was not ready for a CRM.
Generally was unhappy about everything (not just technology). ",1.0,98.0,6.0,2182.0,2021-01-11,2021-02-10
arifCo1,Non-payment,,1.8,98.0,0.0,0.0,2021-01-25,2021-03-22
choicebondCo2,Difficult to Customize,The forms were too difficult to create.,19.3,98.0,9.0,165.0,2019-07-18,2021-02-26
elementkombucha,Non-payment,,1.8,98.0,3.0,244.0,2021-01-19,2021-03-16
thesplashlabus,Other - please specify,Duplicate Account,1.5,98.0,0.0,303.0,2020-04-13,2020-05-28
brazilianhaircareltd,Non-payment,,1.9,98.0,2.0,421.0,2021-02-18,2021-04-18
timberzone,Difficult UI,it is very expensive and very complicated to uese.,5.1,98.0,1.0,228.0,2023-12-14,2024-05-18
bioracerNA,Non-payment,,1.8,98.0,2.0,231.0,2021-01-11,2021-03-08
jayasinghedistributors2,Non-payment,,1.9,98.0,1.0,1309.0,2022-02-18,2022-04-17
marcatodirectlimitedprova1,Other - please specify,,1.0,98.0,0.0,1.0,2021-01-14,2021-02-14
palasupplycompanyincCo1,Not using their Method Account,we do not use it,11.2,98.0,166.0,2392.0,2021-02-17,2022-01-24
saarthy,Non-payment,,1.8,98.0,1.0,87.0,2021-01-09,2021-03-06
avronindustries,Non-payment,,1.9,98.0,0.0,9.0,2022-02-01,2022-04-01
keystonebrl,Other - please specify,,1.6,98.0,4.0,750.0,2022-06-28,2022-08-16
qrssolutions,Integration Gap,Did not have the integration with our Quickbooks that we expected. ,4.2,98.0,11.0,522.0,2019-08-28,2020-01-03
genesisproduce,Non-payment,,1.9,98.0,9.0,186.0,2020-04-11,2020-06-09
vipertecinc,Non-payment,,26.0,98.0,4.0,60.0,2022-03-08,2024-05-08
parkerjamesprotectivecoatingslimited,Other - please specify,,0.0,98.0,3.0,577.0,2022-01-04,2022-01-05
chicagostainlessequipment,Non-payment,,1.9,98.0,0.0,11.0,2022-05-04,2022-07-01
localflooringgroupwcbb250621,Non-payment,,1.9,98.0,25.0,1432.0,2021-02-04,2021-04-04
greentakcanada,Non-payment,,1.8,98.0,0.0,2.0,2021-01-05,2021-03-02
msecinc2,Tech Issue - Applications & Sync,"You did not resolve our issues related to running on our server, so your system has no value to us.Additionally, a bug created dozen of copies of the same Estimate and keep creating until no longer syncing.",2.0,98.0,6.0,1889.0,2022-03-05,2022-05-06
negocioseimportacionsa2,Non-payment,,2.4,98.0,2.0,512.0,2022-06-20,2022-09-01
rondoent,Non-payment,,1.9,98.0,15.0,27439.0,2022-04-26,2022-06-24
plustradingservicesandsolutionsinc,Non-payment,,1.8,98.0,0.0,1.0,2022-01-05,2022-03-02
ppcindustries,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
ppcindustries1",0.7,98.0,0.0,0.0,2022-01-06,2022-01-28
magtoolinctesting,Non-payment,,1.9,98.0,0.0,11982.0,2020-03-26,2020-05-23
durangowoodcompanyco2,Other - please specify,"Sub-par tech support
Customization not fully done 
Integration to QBO AND QB Enterprise do not work as advertised
Does not function how we want it to and no reasonable solutions provided by Method team.",1.2,98.0,7.0,445.0,2019-11-11,2019-12-19
empapelsa,Non-payment,,1.9,98.0,8.0,322.0,2022-07-14,2022-09-11
disinfechllc,Non-payment,,1.9,98.0,0.0,1.0,2022-04-28,2022-06-26
italianporcelainslabs,Tech Issue - Applications & Sync,it does not sync with quickbooks,52.5,98.0,0.0,863.0,2019-10-22,2024-03-08
sethermal,Not using their Method Account,We just haven't been using it.,12.8,98.0,2.0,796.0,2020-06-16,2021-07-12
jdsbuildingsupplyltd2,Non-payment,,1.9,98.0,3.0,151.0,2022-06-23,2022-08-20
redtowerarmoury2,Difficult to Customize,"Customer Feedback:customization times are too great with end results not being user friendly enough. Cost because to high with still too many glitches.

------

Internal Feedback:
Thinks the idea behind Method is great
Found the workflow and navigation throughout Method was a little choppy and not very smooth
They were hoping to achieve the following with customizations;
Create a quote > Convert to a Work Order > Convert in to an Invoice > Automatically create a sign off sheet that they send off to the customer.
They were hoping to do this without many clicks and as much automation as possible
Have a budget of about $2,500
During their Free Hour, they felt like their requests were addressed quickly
When they started their Pay Per Use, they realized that this was going to take a lot longer and more money than they hoped
They felt like there may have been a gap in experience between working with Thomas in their Free Hour and then with Zain in their Pay Per Use. They also said that Zain did a good job setting expectations and with his communication, just the overall investment to bring their requests to reality scared them off
I explained to Carl that we have a new consulting package that may be able to help them with their budget. I am going to send a follow up email speaking to PME vs PPU and see if they would be interested
Carl said to send this over and he will bring this to ownership to see if this is more aligned on what they are hoping for in regards to their budget. If so, they may reinstate their account and move forward with the work",5.5,98.0,1.0,672.0,2024-02-29,2024-08-14
eastcoasttropicals,"Failure to adopt, train, and engage CRM users",We didn't have user buy-in for the app.,37.4,98.0,25.0,1271.0,2022-06-30,2025-08-12
nuairventilation,Not using their Method Account,not used and signed up by former CFO,5.3,98.0,29.0,183.0,2021-02-02,2021-07-12
rockthebikeCo1,Tech Issue - Applications & Sync,Our company did not find it as a useful tool and the sync kept on creating issues in Quickbooks.,8.3,98.0,25.0,9437.0,2019-10-16,2020-06-26
bravadospicellc,Non-payment,,1.9,98.0,0.0,597.0,2022-04-06,2022-06-04
ibexxllc,Non-payment,,1.9,98.0,8.0,883.0,2020-05-11,2020-07-08
a3co,Non-payment,,1.8,98.0,7.0,7.0,2021-01-22,2021-03-19
IPW,Other - please specify,Grant and I have decided to put utilizing Method or any other CRM on hold for now. We like what Method had to offer so if and when we do decide to implement a CRM program we promise to revisit Method.,0.9,98.0,1.0,105.0,2021-01-27,2021-02-23
plasticsalesltd,Other - please specify,,1.2,98.0,8.0,787.0,2022-08-02,2022-09-07
innovareehs,Non-payment,,1.8,98.0,0.0,2.0,2021-01-05,2021-03-02
lazyman,Non-payment,,1.8,98.0,33.0,6935.0,2022-01-28,2022-03-25
susieqbrand,Service / Support / Help Center,"Just didn't deliver on our expectations, especially the customization services. For that hourly rate, we would expect a much more capable developer who knew the platform and could take our requirements and deliver a viable solution.",3.7,98.0,6.0,57588.0,2019-09-18,2020-01-09
METROSUPPLIESONLINE,Not using their Method Account,We did not use the product,37.5,98.0,6.0,193.0,2019-12-09,2023-01-24
thegreeniessderldecv,Not using their Method Account,Tuvimos recorte de personal y realmente ya no utilizamos la cuenta. Gracias!!,28.8,98.0,7.0,382.0,2021-01-04,2023-05-30
bellroad,Other - please specify,Can't get Quickbooks to link with your software. ,1.3,98.0,4.0,3044.0,2019-09-25,2019-11-05
REPAIRMAKERS21,Non-payment,,1.8,98.0,7.0,2005.0,2021-01-28,2021-03-25
aconcaguaarchitecturalproducts,Non-payment,,1.8,98.0,0.0,25.0,2021-01-04,2021-03-01
specialtyvalveandcontrol,Duplicate Account,"Account reopened for Data Migration

User deciding to go with a single account moving forward 	backflowpartsconnection",20.9,98.0,4.0,1568.0,2022-01-25,2023-10-24
laconserverieinc2,Non-payment,,1.8,98.0,1.0,313.0,2022-01-24,2022-03-21
boecosmetics,Non-payment,,1.4,98.0,0.0,1.0,2024-03-11,2024-04-23
negocioseimportacionsa,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
negocioseimportacionsa2",0.1,98.0,2.0,514.0,2022-06-19,2022-06-22
jadfoodsptyltd,Non-payment,,1.9,98.0,1.0,137.0,2020-06-05,2020-08-03
ironrodsteelco,Other - please specify,,1.0,98.0,11.0,1538.0,2022-01-21,2022-02-21
tonyssmokehousecannery,Not using their Method Account,Our sales rep does not have the time or willingness to try this app at this time.  Which made the app useless to our company. I hope to revisit using method in the future.,3.5,98.0,43.0,585.0,2019-11-13,2020-02-27
germguardllcCo1,Not using their Method Account,No one let us down. Method was very nice and we enjoyed the service. We have sold the company and no longer need the CRM. Thank you,7.3,98.0,0.0,7687.0,2021-02-02,2021-09-13
safradistribution3,Non-payment,,1.4,98.0,8.0,152.0,2024-02-28,2024-04-11
hps,Other - please specify,You didn't. This was just a test account. There is another account nic@helicalpilesolutions.co.uk which we'll be purchasing. ,1.1,98.0,0.0,2.0,2021-04-20,2021-05-24
kmscoinc,Duplicate Account,Churn Exception Reason: Duplicate AccountOther Account:logoknits1,9.7,98.0,0.0,76.0,2020-12-28,2021-10-18
cbrsteelfabricators,Other - please specify,,4.1,98.0,0.0,647.0,2018-06-29,2018-10-31
jjmacsolutions,Non-payment,,1.9,98.0,0.0,22.0,2020-10-22,2020-12-19
vivasanantoniobrewery,Other - please specify,,1.0,98.0,0.0,110.0,2021-06-07,2021-07-08
deltasteamsystemsptyltd,Other - please specify,,0.6,98.0,3.0,237.0,2023-08-11,2023-08-30
promationengineering,Other - please specify,Cancelling this.,2.5,98.0,17.0,285.0,2021-06-04,2021-08-18
phoenix1,Other - please specify,"- can't receive more deposit from customers if account has negative amount already.
- can't refund money
- vendor list was available for standard users",0.9,98.0,1.0,2322.0,2020-10-26,2020-11-23
gluemachinery2,Integration Gap,"This did not do what we needed it to do with Outlook and just takes too many steps.

Thanks!",1.1,98.0,0.0,6377.0,2023-03-07,2023-04-10
eclipsefireandsafetyltd,Difficult Workflows / Workflow Challenges,"Our salesperson that we purchased this for has moved on, waiting to find a replacement. Don't like what happens with new SKU items in Quickbooks because of having Method. Thanks",1.4,98.0,4.0,869.0,2023-08-08,2023-09-21
warehousetransportgroup1,Other - please specify,Marcos (the accountant) is out of business and Ryan had not used Method since the account was set up. They are using an inhouse CRM. ,6.0,98.0,4.0,239.0,2018-06-18,2018-12-18
chroniclebrewingco2,Other - please specify,Just didnt have the time to work through the quirks and integrate the software into our business.,0.9,98.0,9.0,134.0,2021-06-01,2021-06-29
sarasotagreengroup,Other - please specify,no response to hold ,1.6,98.0,0.0,494.0,2020-11-24,2021-01-13
efs1,Non-payment,,10.0,98.0,1.0,379.0,2018-05-15,2019-03-15
approvedtechnologyltd,Non-payment,,1.9,98.0,3.0,451.0,2020-11-23,2021-01-21
mcd,Non-payment,,1.9,98.0,0.0,571.0,2021-04-02,2021-05-31
adamsprecisionarcheryllc,Non-payment,,1.4,98.0,0.0,4.0,2023-03-23,2023-05-04
fabricatedinsanityllc,Non-payment,,1.9,98.0,0.0,39.0,2020-11-23,2021-01-21
nationwidearchitecturalmetalsinc,Other - please specify,dupe,0.0,98.0,20.0,887.0,2021-03-29,2021-03-30
thewilliamsbrotherscorpofamerica,Non-payment,,1.6,98.0,0.0,11689.0,2023-02-21,2023-04-12
mckennaboilerworks,Other - please specify,Decided to go with an industry specific program. thanks.,1.9,98.0,20.0,1136.0,2019-07-02,2019-08-28
alaskaruff,Other - please specify,,1.7,98.0,0.0,116.0,2021-06-28,2021-08-20
sturdypackprovidercorporation,Non-payment,,1.9,98.0,1.0,29.0,2021-07-19,2021-09-16
elmenterprises,Other - please specify,"Hi Ayushi. 

We won’t be continuing with Method. Thank you for your assistance throughout this trial. 

She was not the decision maker, and only person that actually used it. Ownership does not want to implement ",1.0,98.0,9.0,703.0,2021-03-23,2021-04-22
empoweringtechnologies,Not using their Method Account,No longer needed,56.3,98.0,4.0,724.0,2018-09-10,2023-05-22
coppercat,Not using their Method Account,"Method did not let me down, I let myself down... I have had to get rid of all of my help (due to lockdowns here in Michigan!) and do NOT have any time for running Marketing campaigns.  I have paid for this for 2 years and have not even tried to get on and do something with it. My Marketing person never used it either...although he said it would be the best solution for me with the Quick Books duplication...no double entering everything at least. I am very technically challenged, and need help to navigate almost everything- with NO time for a class or training.I would still recommend Method to any small business if they need a CRM system!Thank you.  Laurie",32.1,98.0,0.0,1121.0,2018-08-31,2021-05-05
urbanlumbercompany2,"Failure to adopt, train, and engage CRM users",The customers accountant initiated the process but their small sized team never had the right window of opportunity to adopt the system.,12.4,98.0,33.0,2132.0,2023-02-01,2024-02-14
jasoptyltd,Non-payment,,1.9,98.0,4.0,16.0,2021-07-07,2021-09-04
poriferous,Other - please specify,"We did not like that QuickBooks had to be signed on and logged in for them to sync.

 

It also did not have the same functionality as some of the other software on the market.

 ",0.9,98.0,10.0,445.0,2020-04-14,2020-05-11
atldiesel,Not using their Method Account,"Nothing, we just decided to go in a different direction.",41.4,98.0,0.0,1843.0,2018-08-31,2022-02-11
reevesextruded,Non-payment,,1.9,98.0,0.0,102.0,2020-11-30,2021-01-28
cleanprosupply,Not using their Method Account,We are not using this program at all.,17.4,98.0,6.0,11668.0,2020-11-27,2022-05-11
Jweske,Non-payment,,1.9,98.0,0.0,21.0,2021-03-25,2021-05-22
fmgindustriesptyltd2,Non-payment,,1.3,98.0,3.0,342.0,2023-08-21,2023-10-01
integritycustoms,Non-payment,,4.4,98.0,27.0,504.0,2018-08-30,2019-01-11
lynnandlianaserveware,Other - please specify,,0.1,98.0,33.0,4097.0,2021-06-30,2021-07-02
westwardsales1,Other - please specify,"The QBO integration is good which is why we signed up. However, the CRM side is one of the worst I've ever used.  ",14.9,98.0,0.0,971.0,2018-08-09,2019-11-06
duraready,Other - please specify,we are not utilizing the app enough to justify the cost,8.8,98.0,10.0,1742.0,2018-04-30,2019-01-24
burnewiincorp,Using another CRM Product,Never did complete sync of new Quickbooks company to Method.  We have moved to a new MRP and are switching CRMs to match with our new MRP.,50.0,98.0,4.0,1946.0,2020-10-28,2024-12-28
capitalcandyjar,"Failure to adopt, train, and engage CRM users",It wasn't a software issue.  The project we had planned to use this for didn't really pan out so we no longer need a CRM.,4.0,98.0,34.0,1403.0,2023-07-17,2023-11-15
subiscoinc,Non-payment,,1.4,98.0,0.0,181.0,2023-07-17,2023-08-29
mozoxpteltd,Non-payment,,1.4,98.0,0.0,1.0,2023-05-09,2023-06-20
AirFilterSalesInc,Other - please specify,"I was unable to use this account  after we had to create a new QB file. The reasoning I received was unfortunate and I was given no other option but to cancel this account, open a second account to my new QB file and go down that route as a workaround. In the future, there should be an easier way to go about this",26.1,98.0,23.0,489.0,2021-04-27,2023-06-30
lagoonfurnitureamericacorp,Other - please specify,"It is not convenient for user who is not able to select all contact we want to edit, we have to download and upload file. It's user friendly portal and it is connected with Quickbook pretty well, but I will give it a pass. Thanks for letting us to try.",0.8,98.0,4.0,6206.0,2020-11-13,2020-12-07
sabpinc,Difficult UI,"It is NOT user friendly and we are both not using it""""",2.4,98.0,11.0,1147.0,2018-02-06,2018-04-19
fabricatedinsanity,Other - please specify,,0.4,98.0,0.0,77.0,2021-04-14,2021-04-27
superiorhardwoodservice,Not using their Method Account,Wasn't serving enough of a purpose for our business,3.4,98.0,15.0,526.0,2021-04-15,2021-07-29
bmssi,Non-payment,,1.9,98.0,60.0,384.0,2020-11-11,2021-01-09
vineyardfloorslodi,Non-payment,,1.9,98.0,8.0,1257.0,2020-11-08,2021-01-05
greatwhiteindustriesllcCo2,Other - please specify,will not work with our flows that we need.,1.0,98.0,11.0,169.0,2020-11-10,2020-12-10
galwayhooker,Other - please specify,not being used,22.1,98.0,1.0,563.0,2018-01-23,2019-11-28
victorianfireplaceshop,Other - please specify,"I'm cancelling because METHOD can't automatically import pictures from an email for me. While I know how to save and import a picture, the installers in the field can't do this or, if I teach them how, are unlikely to comply.  I know the 3 guys I work with won't bother with it. I have to have something that's incredibly automatic for them to use it.",7.4,98.0,5.0,1455.0,2018-01-29,2018-09-10
greenington5,Non-payment,,1.4,98.0,0.0,51.0,2023-05-31,2023-07-12
phoenixsensors,Using another CRM Product,We have moved to Salessforece,21.4,98.0,19.0,1512.0,2023-05-18,2025-02-27
blindstitchllc,Non-payment,,1.9,98.0,1.0,27.0,2021-04-20,2021-06-18
chagen,Not using their Method Account,Employee's not utilizing,5.5,98.0,39.0,1961.0,2021-04-20,2021-10-04
signaramavaughan,Non-payment,,1.9,98.0,0.0,51.0,2021-04-27,2021-06-25
eliteledsupply2,Non-payment,,1.9,98.0,1.0,97.0,2021-04-29,2021-06-27
koindustriesllc,Other - please specify,We aren't ready to use a CRM,1.1,98.0,5.0,73.0,2020-11-17,2020-12-21
erosclothinginc,Non-payment,,1.4,98.0,0.0,785.0,2023-04-06,2023-05-18
barcodeautomationinc,Other - please specify,"Thank you for all your help. The Method team was very accommodating and
quick to help during our trial. For our immediate needs and purposes we
have decided to go another direction and implement a more flexible
solution with easier setup. We dont believe the suite we are going to
use integrates with Quickbooks so we may revisit Method in the future
if/when we think we must integrate with Quickbooks. At this point though
that isnt our top priority.",0.9,98.0,14.0,262.0,2021-05-18,2021-06-14
alqamraldahbifoodstuftradingllc,Non-payment,,1.9,98.0,6.0,16.0,2021-05-14,2021-07-11
dhhunterenterprises,Other - please specify,Unable to create reports needed to see sales details. ,0.8,98.0,10.0,902.0,2021-05-12,2021-06-04
dambusinessgroupllc,Non-payment,,1.9,98.0,3.0,29.0,2021-05-11,2021-07-08
thesofasource,Non-payment,,1.4,98.0,14.0,643.0,2023-07-05,2023-08-17
flooringandinteriorsbychris,Other - please specify,Cancelling the account.,1.6,98.0,1.0,28.0,2021-05-09,2021-06-28
asgletteringsystemsinc,Other - please specify,The client found it expensive for now,1.1,98.0,2.0,92.0,2020-11-19,2020-12-23
sparkysdistro,Feature Gap,"Customization needed were not possible within Method:CRM, this was throughly scoped with Arieze (see notes) ",4.4,98.0,16.0,540.0,2020-11-17,2021-03-30
metroledCo3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
Metroledlight",0.2,98.0,14.0,2388.0,2020-11-17,2020-11-24
erdllc,,,1.1,98.0,7.0,299.0,2018-03-27,2018-05-01
eshanimafabrics2,Other - please specify,Cannot afford it. ,0.7,98.0,7.0,2843.0,2023-04-13,2023-05-03
matrixswitchcorporation,Other - please specify,We're looking to maximize our investment in the QB Enterprise software we pay for currently. Just trying out the Method but we are declining to purchase any subscription at this time.,1.1,98.0,12.0,376.0,2021-05-03,2021-06-06
nisurplusinc,Sold Business / Closing Company,Company shut down,21.7,98.0,0.0,961.0,2021-04-09,2023-01-31
customwindowsandmore,Other - please specify,"I didnt get hold of David however based on my last call it must be
 due to the lack of built-in automation features. Specifically, they were looking for a way to automatically update the stage of leads in the Opportunities App, rather than having to update them manually. This was creating too much work for the customer, who was trying to cover the role of an office administrator. While customization was suggested as a possible solution, the customer did not book any further services.

In addition, the customer was also using the subtotal field on estimate & invoice line item, which is not available in our system.",0.4,98.0,0.0,60.0,2023-04-21,2023-05-02
hstudiomiami2,Non-payment,,1.3,98.0,2.0,946.0,2023-01-25,2023-03-06
shaktigroupusa2,Non-payment,,1.4,98.0,2.0,327.0,2023-08-28,2023-10-09
peakmetalroofingproductsllc,Non-payment,,1.4,98.0,0.0,27.0,2023-08-28,2023-10-09
affordablespas,Non-payment,,1.4,98.0,0.0,53.0,2022-10-31,2022-12-12
cleveridiotsinc2,Tech Issue - Applications & Sync,We've been having issues getting the program started with QuickBooks.  ,8.0,98.0,7.0,962.0,2022-09-30,2023-05-30
foodpackandcarryllc2,Other - please specify,Switched to Quickbooks desktop. Had to create new account,1.5,98.0,3.0,9.0,2021-10-15,2021-12-01
lindheimer,Non-payment,,1.9,98.0,0.0,71.0,2021-02-26,2021-04-26
choicebond,Other - please specify,Needed to connect a different QB file ,2.1,98.0,8.0,138.0,2019-05-16,2019-07-18
spirit1350,Using another CRM Product,We have a distributor using a different system,32.7,98.0,28.0,1920.0,2020-12-22,2023-09-12
bensoncobb,Using another CRM Product,We are using a different platform.,22.2,98.0,13.0,15403.0,2020-08-05,2022-06-13
creatureatelier,"Failure to adopt, train, and engage CRM users",We dont use the app much.,8.0,98.0,0.0,86.0,2023-11-07,2024-07-08
moleyinc,Not using their Method Account,was a trial,14.8,98.0,0.0,3684.0,2022-10-12,2024-01-04
stratcousincorporated,Non-payment,,12.0,98.0,0.0,128.0,2021-10-05,2022-10-05
InductionTherapiesLLC,Not using their Method Account,They do not want to use any CRM at the moment.,10.3,98.0,0.0,3224.0,2020-08-18,2021-06-28
srmi,Other - please specify,"Unable to organize by company rather than individual, no response from trainer",1.6,98.0,3.0,402.0,2019-04-12,2019-05-31
gesflooringltd2,Non-payment,,1.9,98.0,7.0,494.0,2021-09-23,2021-11-21
wholelogreclaimed,Difficult UI,Too Complicated for our needs.,2.1,98.0,7.0,1661.0,2021-03-01,2021-05-03
lyonandhealycorporation,Difficult Workflows / Workflow Challenges,Did not meet our expectations. ,4.1,98.0,1.0,489.0,2022-10-25,2023-02-28
yummysportssaleteam,Non-payment,,1.9,98.0,0.0,336.0,2021-03-02,2021-04-29
budgetblindswestboroughsudbury,Non-payment,,1.9,98.0,11.0,2672.0,2020-08-04,2020-10-01
dolphinheatexchangerinc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
dolphinheatexchangerusa",0.9,98.0,8.0,458.0,2022-09-29,2022-10-27
apexprojectsukltd,Not using their Method Account,Not using it.,12.7,98.0,0.0,70.0,2019-05-22,2020-06-12
ybrandmanagement,Non-payment,,1.9,98.0,0.0,0.0,2020-07-28,2020-09-25
theblindswarehousetanewhomeblinds,Non-payment,,1.9,98.0,2.0,41.0,2021-11-15,2022-01-13
boommarineinc,Non-payment,,1.9,98.0,2.0,366.0,2020-07-22,2020-09-19
parishhomefurnishings,Non-payment,,1.9,98.0,3.0,73.0,2020-07-26,2020-09-23
friendlysoapltd,Non-payment,,1.9,98.0,43.0,1596.0,2022-09-09,2022-11-06
gccenvironmental,Non-payment,,38.0,98.0,8.0,292.0,2022-09-11,2025-11-11
modularartsincCo1,Feature Gap,Does not integrate w email.,1.0,98.0,6.0,30377.0,2021-02-22,2021-03-24
gluemachinery,Other - please specify,"we are not moving forward at this time until we get our email migrated so we can see if it will work as we need with our email.

 

This will be revisited probably at the first of next year and thank you.",0.5,98.0,1.0,973.0,2022-09-12,2022-09-27
elioth,Non-payment,,23.9,98.0,2.0,384.0,2020-12-23,2022-12-22
gridworxwalls,Non-payment,,1.4,98.0,18.0,157.0,2023-11-27,2024-01-09
pioneervalleycannabisco,Using another CRM Product,using software with crm integrated,8.2,98.0,4.0,63.0,2021-02-22,2021-10-29
dynamiccontrolsinc,Other - please specify,"The issues we had with sales tax in QB (see case 46468 for ref) and not as dynamic with reporting and dashboard as other CRM’s.

 ",1.3,98.0,17.0,484.0,2022-09-22,2022-11-01
firstagricultureandlevagesarl,Non-payment,,1.9,98.0,29.0,1138.0,2022-09-25,2022-11-23
northcoastwinecompanylimited,Other - please specify,Not practical ,1.0,98.0,4.0,105.0,2021-02-25,2021-03-27
jspiegel,Other - please specify,Did not like the interface,4.9,98.0,14.0,4038.0,2019-06-04,2019-10-30
superhealthcenter,Using another CRM Product,"You actually didn't let us down at all.   You helped us greatly as our business grew.  We have purchased a full ERP solution, and no longer need Method services.  ",11.8,98.0,29.0,3056.0,2021-03-02,2022-02-25
torontostampinc,Duplicate Account,"Conversion Exception Reason: 
Duplicate Account
Other Account:
printicsinc",0.3,98.0,0.0,10.0,2022-11-09,2022-11-17
valencecoatings,Non-payment,,1.9,98.0,10.0,59.0,2021-03-22,2021-05-19
solentpowderfinishersltd,Non-payment,,1.9,98.0,12.0,89.0,2021-03-08,2021-05-05
rmgsolutionsCo1,Non-payment,,1.9,98.0,1.0,215.0,2021-03-12,2021-05-09
nuice,Not using their Method Account,"Although Method seems like a great CRM, we are not yet ready to implement it so we will need to cancel the account for now. We will contact you when we are ready in the future. Thanks!",4.4,98.0,0.0,184.0,2021-03-14,2021-07-27
sweetdreamsfurniture,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
sweetdreamsfurniturellc",0.0,98.0,1.0,919.0,2022-12-25,2022-12-26
lanarkcedar,Not using their Method Account,Not choosing to continue with Method. =========Customer signed up in 2018 -- didn't really start using until April 2019. Reasons / immediate needs slowing the onboarding process.Estimate & Print Templates- Needed to remove markup- Tax rate not calculating- Tax Code should be brought over from items- Company Information incomplete (Print)- Phone Number for customer missing (Print)- No subtotal (Print) Invoice & Print Templates- Tax Code not coming from items- Rounding of numbers- The Ability to Change email message- Customer phone number (Print)- Our Company information is incomplete (Print)- No subtotal (Print),27.4,98.0,9.0,4076.0,2018-10-31,2021-02-10
biogreen,Not using their Method Account,You didnt .. we just never used it as it doesnt give us the usabilty for sending out eshots to our clients etc,29.1,98.0,0.0,744.0,2018-10-26,2021-03-29
cvcedar5,Non-payment,,1.4,98.0,24.0,1596.0,2023-01-09,2023-02-20
coolsealgasketsllc,Other - please specify,Canceling this because we will create new Method account ,0.5,98.0,0.0,1.0,2023-01-09,2023-01-23
bentonmetaldepot1,Not using their Method Account,"We have reorganized our sales team and no longer use or have need to use this service.  Thanks, Jim",37.8,98.0,20.0,4096.0,2018-10-16,2021-12-10
molexcompany,Other - please specify,Moving to Salesforce,3.0,98.0,6.0,147.0,2018-10-12,2019-01-11
thehydrocarboncompanyok,Not using their Method Account,Do not use software,5.9,98.0,4.0,31.0,2021-07-26,2022-01-21
olmsteadwinecompany,Other - please specify,,1.6,98.0,6.0,310.0,2021-03-17,2021-05-05
ISOFinishingMN,Other - please specify,Method is a good product but we have to make some changes to our company within the sales/marketing end and are not able to utilize all the functions at this time.,6.7,98.0,23.0,248.0,2018-10-08,2019-05-01
ansunmetals,Non-payment,,1.4,98.0,0.0,131.0,2023-08-31,2023-10-12
centurymade,"Tech Issue - QuickBooks, Network, Initial Setup",Poor integration with QuickBooks,37.0,98.0,22.0,1081.0,2020-12-02,2024-01-03
corejavelinaholdingsllc,Other - please specify,,1.3,98.0,0.0,403.0,2021-07-22,2021-08-30
TheAMethod,Not using their Method Account,"Didn't, just don't think we need a CRM right now in addition to QB.",9.3,98.0,0.0,3228.0,2020-09-14,2021-06-23
personalbestoutdoorlifestyleinc,Non-payment,,1.9,98.0,0.0,1387.0,2021-08-12,2021-10-09
kraftwerkk9,Not using their Method Account,"We haven't used this service in over 2 years and we just found it due to an issue processing payment. As far as I'm aware, it was nothing the company did, the service is just unneeded.",36.1,98.0,5.0,3131.0,2018-11-21,2021-11-23
aimhighserviceandsupplyllc,Other - please specify,Not geared towards our unique business needs.  The program is great but not what we need right now.  ,0.2,98.0,3.0,414.0,2022-11-23,2022-11-28
iswcorporationCo2,Difficult UI,was not user friendly,12.7,98.0,10.0,1578.0,2020-12-16,2022-01-07
helicalpilesolutionslimited,No longer using QuickBooks,"You didn't let us down, QuickBooks did. They stopped their UK Desktop version which had Sales Order function while their online version didn't and therefore move to Sage back in April 2024 and have not really used Method since.",40.2,98.0,1.0,297.0,2021-09-16,2025-01-22
julianmaterialsllc,Not using their Method Account,"Great service, just didn't work for our business. ",12.8,98.0,9.0,369.0,2019-01-28,2020-02-21
boremax,Non-payment,,1.9,98.0,21.0,526.0,2020-08-25,2020-10-22
Albers,Non-payment,,1.9,98.0,55.0,574.0,2021-03-08,2021-05-05
