Account,SKU_Count,Avg_Delimiter_Count,Avg_Char_Length,Avg_Word_Count,Pct_With_SKU_Codes,Pct_With_Specs,Pct_With_Brand_Prefix,Pct_Service_Items,Pct_Inventory_Items,Pct_NonInventory_Items,Pct_Fee_Items,Primary_Business_Type,Catalog_Complexity_Score,Complexity_Tier,Sample_Products,SKU_Tier
drinkade,9,0.0,22.8,4.3,0.0,22.2,0.0,55.6,44.4,0.0,0.0,Service-Based,2.9,Ultra-Simple,"Boost - 6 Pack Mastercase, Prevention - 6 Pack Mastercase, Transition Payment",6-20 (Simple)
webcoteindustries2,50,1.88,38.8,3.2,98.0,16.0,98.0,2.0,90.0,0.0,6.0,Inventory-Based (Physical Products),47.5,Standard,"Charges BILL TO CUSTOMER:Shipping, CUSTOMER PRODUCTS:NATIONAL PEST SUPPLIES:NP72MBXP, CUSTOMER PRODUCTS:NATIONAL PEST SUPPLIES:NP72MBXU",21-50 (Standard)
internationalstairproductsinc,50,1.52,29.4,2.6,90.0,2.0,100.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),42.8,Standard,"MDF BOARD:MDF-08, Import:METAL BALUSTER TUBULAR:T-01-SB, MDF BOARD:MDF-12",21-50 (Standard)
topoffice,50,1.76,47.4,5.2,66.0,12.0,90.0,32.0,0.0,68.0,0.0,NonInventory-Based (Digital/Services),40.3,Standard,"SEC:Monitoring Services:TOP - Monitoring, TOP-Install, Standard, TOP-ServiceCall",21-50 (Standard)
perryco,50,0.0,7.9,1.2,74.0,0.0,0.0,0.0,10.0,12.0,2.0,Product-Based (Mixed Inventory),15.1,Ultra-Simple,"Freight, B Pallet, Standard Pallet",21-50 (Standard)
uniquewoodfloor,50,2.16,50.4,4.9,4.0,16.0,98.0,38.0,48.0,14.0,2.0,Hybrid (Mixed),35.3,Simple,"Service:Amazon Charge, Accessories:Underlayment:Floor Muffler Underlayment, Shipping Service:Freight-Curbside",21-50 (Standard)
grazianobrothers,50,1.36,36.8,4.2,0.0,10.0,96.0,2.0,0.0,98.0,0.0,NonInventory-Based (Digital/Services),28.5,Simple,"Sausage:Medium-Hot Italian Sausage - Ground, Sausage:Medium-Hot Italian Sausage - Coil Link, Sausage:Italian Sausage Patties",21-50 (Standard)
thomashayesstudio3,50,1.68,41.7,6.4,12.0,0.0,22.0,10.0,0.0,90.0,10.0,NonInventory-Based (Digital/Services),20.3,Simple,"Services/Fees:Handling Fee, Services/Fees:Shipping and Storage, Services/Fees:Credit Card Fee",21-50 (Standard)
amtonllcbabyclubchic,50,0.0,17.9,3.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),19.0,Ultra-Simple,"FOO49152 - 1244721, FOO21038 - 1220449, FOO49152 - 1244722",21-50 (Standard)
precisiondoors3,40,0.88,28.4,3.2,2.5,0.0,87.5,32.5,0.0,67.5,2.5,NonInventory-Based (Digital/Services),22.5,Simple,"Exterior Doors:Single Door System, Exterior Doors:Door, Garage Door:Garage Door",21-50 (Standard)
integratedmedical,50,0.0,7.1,1.1,98.0,0.0,0.0,24.0,76.0,0.0,0.0,Inventory-Based (Physical Products),18.7,Ultra-Simple,"WEB ORDER, SHIPPING, DELFEE",21-50 (Standard)
kodiakbreakersandsuppliesinc,50,0.02,8.3,1.8,88.0,0.0,0.0,0.0,0.0,94.0,0.0,NonInventory-Based (Digital/Services),17.3,Ultra-Simple,"BREAKERS, SHIPPING, STARTER / CONTACTOR",21-50 (Standard)
todaytomorrowapparel,50,0.0,11.2,1.1,44.0,0.0,0.0,2.0,94.0,2.0,0.0,Inventory-Based (Physical Products),10.6,Ultra-Simple,"Shipping & Handling, 5300-V.BK-L, 5300-V.BK-XL",21-50 (Standard)
bl2systemsllc,50,0.08,13.4,1.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,NonInventory-Based (Digital/Services),18.0,Ultra-Simple,"freight, BL-SWX-222-1, BL-SWX-121-WH",21-50 (Standard)
midwestbuildingsupply,50,0.0,4.0,1.1,0.0,0.0,0.0,98.0,0.0,2.0,0.0,Service-Based,4.0,Ultra-Simple,"cabinets (deleted), Cabinetry, misc",21-50 (Standard)
artbrandsholdings,50,1.0,24.7,2.1,92.0,0.0,58.0,2.0,86.0,12.0,0.0,Inventory-Based (Physical Products),33.2,Simple,"MISC, Shipping, CT-DTF-GS",21-50 (Standard)
abhasafinancialservices2,50,0.34,22.0,3.7,18.0,2.0,12.0,6.0,86.0,8.0,2.0,Inventory-Based (Physical Products),11.0,Ultra-Simple,"Sales, Sediment Filter 919, LABOUR AND TRANSPORT - LB",21-50 (Standard)
strongwellness,50,0.46,24.8,3.1,0.0,12.0,10.0,20.0,0.0,80.0,4.0,NonInventory-Based (Digital/Services),9.8,Ultra-Simple,"2 Year Warranty, 10% Military discount, DeVilbliss 10L Concentrator (deleted)",21-50 (Standard)
ocutech,50,0.1,6.1,1.0,16.0,0.0,0.0,8.0,72.0,0.0,0.0,Inventory-Based (Physical Products),7.1,Ultra-Simple,"9999, 9001, 9101",21-50 (Standard)
metaltechinc2,50,0.92,30.6,3.5,66.0,6.0,92.0,94.0,0.0,6.0,2.0,Service-Based,34.4,Simple,"Misc Welding and Repair, Flo Fuel:Flo Fuel - Misc, BYERS PRODUCTS:BPG-LSA-L2-L3",21-50 (Standard)
donecdistributors,50,1.02,30.4,3.9,56.0,2.0,94.0,6.0,94.0,0.0,6.0,Inventory-Based (Physical Products),33.5,Simple,"Credit Card Processing Fee, Regular:Amazon Fire TV Stick 4K, Regular:Amazon Echo Dot 5th, Black, B09B8V1LZ3",21-50 (Standard)
miminternationalinc,50,1.16,45.0,7.6,66.0,12.0,62.0,6.0,94.0,0.0,0.0,Inventory-Based (Physical Products),32.1,Simple,"Services in behalf of third parties:Freight Service, SCM Services:SCM01 Supply Chain Management Services, STYLE 920N MECH-T:3"" X 1"" Style 920 Mech-T Outlet THRD (F)",21-50 (Standard)
ghentindustrialsupplyinc,50,0.0,9.6,1.0,88.0,2.0,0.0,0.0,82.0,14.0,2.0,Inventory-Based (Physical Products),17.4,Ultra-Simple,"SHIP, TR99, SURCHARGE",21-50 (Standard)
byisbeveragellc2,42,0.02,13.9,2.6,11.9,66.7,0.0,97.6,0.0,2.4,0.0,Service-Based,12.0,Ultra-Simple,"PPP-12oz, LG-16oz, PF-16oz",21-50 (Standard)
pspglobalwines2,50,0.0,24.5,4.2,0.0,4.0,0.0,0.0,100.0,0.0,0.0,Inventory-Based (Physical Products),4.4,Ultra-Simple,"VdO Prosecco Extra Dry, I Lauri MdA Bajo 2022, I Lauri PG Tavo 2023",21-50 (Standard)
medallionfence,50,0.0,6.1,1.0,40.0,0.0,0.0,0.0,96.0,4.0,0.0,Inventory-Based (Physical Products),10.0,Ultra-Simple,"SPECIAL, 5976-PYR, 4901",21-50 (Standard)
nearymartin,50,0.78,20.7,2.1,14.0,0.0,62.0,24.0,16.0,60.0,4.0,NonInventory-Based (Digital/Services),20.6,Simple,"Freight:Freight, Apparel:2XL Upcharge, Apparel:T-shirts",21-50 (Standard)
rawlovesunscreen,25,0.4,29.3,5.3,4.0,56.0,40.0,12.0,44.0,4.0,0.0,Product-Based (Mixed Inventory),16.9,Ultra-Simple,"Individual Wholesale:2 oz SPF Tin, 2 oz SPF Display (9 cnt), Individual Wholesale:3 oz SPF  Tube",21-50 (Standard)
reaganwirelesscorp,50,0.04,14.5,2.1,72.0,0.0,0.0,6.0,88.0,0.0,4.0,Inventory-Based (Physical Products),15.1,Ultra-Simple,"Subtotal, 90-PH-IPHONEMH, 90-PH-SAMMH",21-50 (Standard)
kabsolution2,11,0.73,26.1,2.8,9.1,0.0,63.6,72.7,0.0,27.3,0.0,Service-Based,16.6,Ultra-Simple,"Modules sur mesure, Quincaillerie:Accessoires & quincaillerie, Service:Service installation",6-20 (Simple)
rockymountainstickerco,14,0.0,9.6,1.6,0.0,0.0,0.0,50.0,0.0,50.0,0.0,Hybrid (Mixed),1.1,Ultra-Simple,"Sticker, Mini Sticker, Discount",6-20 (Simple)
memiairellc,50,0.0,5.9,1.3,62.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,13.3,Ultra-Simple,"1352 - HAY, FREIGHT, 1385 - Trailer Spot",21-50 (Standard)
durawattle,14,0.57,22.4,3.4,57.1,0.0,57.1,28.6,57.1,0.0,0.0,Hybrid (Mixed),22.1,Simple,"SWPPP:Cap Nails & Washers, SWPPP:DuraWattle 12', DuraWattle 12' Bundle",6-20 (Simple)
awcomm2,50,0.0,12.2,1.3,78.0,0.0,0.0,16.0,76.0,0.0,2.0,Inventory-Based (Physical Products),15.7,Ultra-Simple,"S&H (Non-Taxable), S&H (Taxable), RENTAL",21-50 (Standard)
amarenusa,50,3.46,50.3,6.6,62.0,82.0,100.0,0.0,98.0,2.0,0.0,Inventory-Based (Physical Products),56.5,Standard,"Pipe Tobacco:Zomo:ZM 250Grm:Zomo 250gm, Pipe Tobacco:Amaren:AT 250Grm:MINT - (250g /8.82 OZ), Pipe Tobacco:Amaren:AT 250Grm:LOVE POTION - (250g /8.82 OZ)",21-50 (Standard)
superiorcleaningequipmentinc,50,0.72,20.0,2.0,60.0,2.0,62.0,20.0,62.0,10.0,0.0,Product-Based (Mixed Inventory),27.3,Simple,"Labor - Service Dept., Freight (Variable), Miscellaneous",21-50 (Standard)
assembledproductspecialists,50,0.0,8.9,1.0,76.0,2.0,0.0,2.0,92.0,4.0,2.0,Inventory-Based (Physical Products),15.6,Ultra-Simple,"Shipping Charges, S140, B9038",21-50 (Standard)
classicexhaustsystemsllc,50,1.2,45.2,5.0,18.0,0.0,92.0,24.0,0.0,76.0,18.0,NonInventory-Based (Digital/Services),28.5,Simple,"Dual Exhaust System:Exhaust System Dual Aluminized, Transaction Fee:eBay-1 (classicexhaust440) Transaction Fees, Transaction Fee:eBay- 2 (classic-exhaust) Transaction Fees",21-50 (Standard)
mokanfastenerandsupply,50,0.0,5.9,1.0,80.0,0.0,0.0,0.0,98.0,0.0,0.0,Inventory-Based (Physical Products),16.0,Ultra-Simple,"1000, FW38, FW12",21-50 (Standard)
picturethisframinginc,50,0.0,13.8,1.4,86.0,0.0,0.0,18.0,82.0,0.0,0.0,Inventory-Based (Physical Products),16.9,Ultra-Simple,"40000923 3599, 400010689156, PmntDiscount_Sales  Wholesale",21-50 (Standard)
freemansreachgreenhouses,50,0.04,10.4,1.3,40.0,10.0,4.0,10.0,0.0,90.0,0.0,NonInventory-Based (Digital/Services),11.9,Ultra-Simple,"Gz140, GI140, HERB125",21-50 (Standard)
badgerham,50,0.0,3.6,1.0,6.0,0.0,0.0,0.0,96.0,4.0,2.0,Inventory-Based (Physical Products),4.9,Ultra-Simple,"111, 131, 240",21-50 (Standard)
militarypilotsupplyoftexasllc,50,0.0,10.5,1.1,80.0,0.0,0.0,4.0,68.0,0.0,0.0,Product-Based (Mixed Inventory),16.0,Ultra-Simple,"Shopify Shipping, Shopify Sales TAX, Shopify Discounts",21-50 (Standard)
australiannaturalsoap,50,0.34,8.4,1.2,26.0,0.0,34.0,0.0,86.0,0.0,0.0,Inventory-Based (Physical Products),15.3,Ultra-Simple,"FREIGHT, WL-8-SOAP-BARS, S4",21-50 (Standard)
easternwireproducts,50,0.0,14.3,2.9,50.0,0.0,0.0,0.0,96.0,0.0,0.0,Inventory-Based (Physical Products),11.5,Ultra-Simple,"FREIGHT, 11J GALV 14X14, 11J GALV-12X14",21-50 (Standard)
coloradoheartrescue,50,0.66,27.1,2.5,16.0,0.0,50.0,32.0,8.0,60.0,0.0,NonInventory-Based (Digital/Services),18.3,Ultra-Simple,"Transfer, Item_Inventory asset (deleted), Shipping",21-50 (Standard)
revivehealthcaregroup,50,0.96,23.1,2.5,52.0,2.0,94.0,12.0,34.0,54.0,0.0,NonInventory-Based (Digital/Services),32.5,Simple,"Shipping/Pick Up Information, GLOVES:Gloves, GLOVES:TouchFlex - Medium",21-50 (Standard)
horticulturalalliancellc,50,1.58,34.7,3.6,62.0,30.0,82.0,4.0,2.0,0.0,0.0,Product-Based (Mixed Inventory),39.1,Simple,"Freight:UPS, Freight:Fedex, DIEHARD Brand:DIEHARD Transplant:DH T8OZX55",21-50 (Standard)
miabsgpteltd,50,0.6,53.9,4.9,2.0,0.0,8.0,0.0,96.0,4.0,0.0,Inventory-Based (Physical Products),9.5,Ultra-Simple,"Default Shipping Product, Red Wine - Bordeaux Blend:Rainbow's End-Blend-Family reserve-2020, Cap Classique:Domaine Des Dieux-MCC-Sharon-2013",21-50 (Standard)
thecarekioskptyltd,50,1.08,46.2,6.1,2.0,10.0,64.0,24.0,40.0,36.0,0.0,Hybrid (Mixed),22.1,Simple,"Freight and Shipping, Alinker:Alinker walker - Small / Hire - Our monthly rate, Misc non inventory product",21-50 (Standard)
dosesteel2,50,0.78,30.9,3.1,72.0,0.0,70.0,0.0,8.0,6.0,0.0,Product-Based (Mixed Inventory),30.5,Simple,"Freight, Shipping & Handling, Subtotal, HEADER TRAILER:97-030500-GRN Original",21-50 (Standard)
labedahockeygear,18,0.11,25.2,4.3,0.0,5.6,11.1,5.6,0.0,94.4,0.0,NonInventory-Based (Digital/Services),4.4,Ultra-Simple,"(A) Hockey Jersey (X2 - Home & Away), (A) Hockey Jersey (X1), (A) Hockey Pant Set",6-20 (Simple)
lot49llcdbabox7imports,31,0.97,38.9,5.3,0.0,0.0,74.2,96.8,0.0,3.2,12.9,Service-Based,20.1,Simple,"Hours, Services, Consulting:Joe Dickson / Hourly Advisory Services (Wolf & Associates)",21-50 (Standard)
clandestinelabz,41,1.1,53.1,8.1,14.6,61.0,80.5,17.1,46.3,36.6,4.9,Product-Based (Mixed Inventory),31.0,Simple,"Distribution Product:Hu7k Strawberry 40mg x10 CP, Distribution Product:HU7K:Hu7k Strawberry XL 40mg Gravity Feed - 30 units, Distribution Product:HU7K:Hu7k Watermelon XL 40mg Gravity Feed - 30 units",21-50 (Standard)
nationcor,3,0.0,7.0,1.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.2,Ultra-Simple,"Sales, Credit Memo, Hours",1-5 (Ultra-Simple)
cyclallc,50,0.24,20.1,3.3,2.0,0.0,0.0,30.0,64.0,0.0,2.0,Hybrid (Mixed),5.9,Ultra-Simple,"Rags MIR, Freight Origin EXW, Shoes Used Thrift A/B/C",21-50 (Standard)
pcparlor,10,0.1,10.9,1.3,80.0,0.0,0.0,0.0,50.0,50.0,0.0,Product-Based (Mixed Inventory),13.5,Ultra-Simple,"MISC, 1010-042-40-SC, 1010-042-40",6-20 (Simple)
lloydwatersandassociates,50,1.5,30.6,4.2,0.0,2.0,74.0,62.0,0.0,38.0,0.0,Service-Based,25.3,Simple,"Freight, PO Printing-Outside (deleted), Signs (deleted)",21-50 (Standard)
maaribu,32,0.97,36.6,4.3,0.0,0.0,96.9,12.5,0.0,87.5,0.0,NonInventory-Based (Digital/Services),23.5,Simple,"Wholesale:BULK Seasonal Crumble Bar, Wholesale:BULK Lemon Poppyseed Muffin, Wholesale:BULK Coffee Cake Muffin",21-50 (Standard)
boninfantefrictioninc,50,0.0,14.1,1.3,74.0,0.0,0.0,2.0,10.0,58.0,2.0,NonInventory-Based (Digital/Services),15.1,Ultra-Simple,"SHIPPING, UPS Ground, HANDLING",21-50 (Standard)
electricalgeneratorsandpumpservicesltd,50,0.08,15.0,2.5,58.0,2.0,0.0,12.0,74.0,14.0,4.0,Inventory-Based (Physical Products),13.4,Ultra-Simple,"Gen Hire, Labour, Parts & Labour",21-50 (Standard)
fullcitysupply3,50,0.72,35.4,5.1,0.0,66.0,72.0,6.0,82.0,0.0,2.0,Inventory-Based (Physical Products),26.2,Simple,"Container Deposit 12, Ecology fee - case, Barista Milks:Pacific Almond Milk Plain",21-50 (Standard)
outriggerpads,50,0.82,24.0,2.2,78.0,0.0,78.0,16.0,0.0,84.0,2.0,NonInventory-Based (Digital/Services),32.9,Simple,"Shipping & Hand, Credit, LATE FEE",21-50 (Standard)
greenandchapmanjv,50,1.34,41.7,6.8,38.0,10.0,70.0,4.0,72.0,24.0,8.0,Inventory-Based (Physical Products),30.1,Simple,"Wholesale Fuel:ULDSL, Federal Taxes:Federal Excise Diesel, AR Taxes:AR Excise Diesel",21-50 (Standard)
sigtinc,50,0.04,11.9,1.2,90.0,14.0,0.0,0.0,40.0,2.0,0.0,Product-Based (Mixed Inventory),19.2,Ultra-Simple,"S & H, MPS-A0, MPS-B0",21-50 (Standard)
premiumpb2,50,0.16,19.8,4.9,68.0,2.0,0.0,70.0,0.0,28.0,2.0,Service-Based,15.5,Ultra-Simple,"TOOLING DIE, P&B  PAD # 1- 8 1/4"" X 16 1/4"", FREIGHT CHARGE",21-50 (Standard)
surecaninc,50,0.0,8.7,1.3,74.0,0.0,0.0,2.0,2.0,12.0,0.0,Product-Based (Mixed Inventory),15.1,Ultra-Simple,"SUR5SFG2, ups ground, SUR2SFG2",21-50 (Standard)
insightsurgical,50,0.2,17.8,2.3,32.0,10.0,16.0,20.0,0.0,80.0,6.0,NonInventory-Based (Digital/Services),13.5,Ultra-Simple,"GS60-Pure II, Late fee, FC120-Pure",21-50 (Standard)
boschfamilybrewingcompanyllc,50,1.2,24.9,4.3,4.0,0.0,60.0,16.0,80.0,4.0,2.0,Inventory-Based (Physical Products),21.6,Simple,"Square Item, Square Tips, Keg Deposit",21-50 (Standard)
sabradental,50,2.04,35.1,3.5,78.0,14.0,62.0,0.0,52.0,34.0,0.0,Product-Based (Mixed Inventory),40.0,Standard,"Shipping & Ha, Service Fee, PARTS:ORINGS:SP-105",21-50 (Standard)
sportexsales,50,0.0,21.5,2.9,26.0,0.0,0.0,2.0,0.0,98.0,0.0,NonInventory-Based (Digital/Services),7.9,Ultra-Simple,"CAR.K121.BLK.REG - LRG, CAR.K121.BLK.REG - XLG, CAR.K121.BLK.REG - MED",21-50 (Standard)
coffeebeancorral2,50,1.72,28.7,1.5,98.0,0.0,94.0,0.0,78.0,14.0,0.0,Inventory-Based (Physical Products),44.3,Standard,"SHIPPING, SHIPPING:UPS Priority, EQUIPMENT:ROASTER PARTS:SREMCHAFF",21-50 (Standard)
woodforminteriorsltd,9,0.0,11.4,2.0,0.0,0.0,0.0,66.7,0.0,33.3,11.1,Service-Based,0.7,Ultra-Simple,"Woodform, CVC, CVC - Dealer",6-20 (Simple)
nupointsystems2,50,0.0,16.1,1.4,96.0,0.0,0.0,50.0,44.0,6.0,0.0,Hybrid (Mixed),18.4,Ultra-Simple,"901-107-0001, 901-108-0001, Old-901-107-0001 (deleted)",21-50 (Standard)
interstategraphics,15,0.13,16.3,2.1,0.0,0.0,6.7,73.3,0.0,26.7,0.0,Service-Based,3.1,Ultra-Simple,"Sales- Digital, Sales- Banner, Sales- Litho/Offset",6-20 (Simple)
holeintheroof2,50,0.84,20.0,2.3,18.0,0.0,30.0,2.0,0.0,66.0,8.0,NonInventory-Based (Digital/Services),16.8,Ultra-Simple,"Apparel Sale, Ship Charge, Invoice Notes:HTR PRODUCTION PC",21-50 (Standard)
chairstuff3,50,0.0,12.2,3.1,66.0,2.0,0.0,0.0,98.0,2.0,0.0,Inventory-Based (Physical Products),14.1,Ultra-Simple,"LUB - 2035, LUB - 118305, SCA - 350",21-50 (Standard)
acsdistributionllc,50,0.54,15.0,1.1,90.0,24.0,44.0,2.0,14.0,84.0,2.0,NonInventory-Based (Digital/Services),30.1,Simple,"Splitters:1/32SPTSCAPC, Late fee, Fiber:91057",21-50 (Standard)
rainbowconcreteindustrieslimited,50,0.0,6.0,1.0,86.0,2.0,0.0,0.0,6.0,94.0,0.0,NonInventory-Based (Digital/Services),17.1,Ultra-Simple,"40910, 41000, EWC",21-50 (Standard)
automatedatticstair,21,1.0,47.1,5.5,0.0,14.3,100.0,33.3,0.0,66.7,0.0,NonInventory-Based (Digital/Services),24.8,Simple,"Install:Attic Lift Installation (Max), Install:Attic Stair Installation, Attic Lift:(Max) Automated Attic Lift 28.75” x 56”",21-50 (Standard)
red88eyewearinc,50,1.46,22.0,2.1,72.0,0.0,76.0,0.0,74.0,2.0,0.0,Inventory-Based (Physical Products),35.9,Simple,"Subtotal, Shipping, CARIN:Accessories:WARRANTY CARDS",21-50 (Standard)
doubleldistributors,50,2.18,21.8,1.0,84.0,0.0,0.0,2.0,80.0,18.0,0.0,Inventory-Based (Physical Products),31.1,Simple,"Delivery, PlatesRMEA, TTCAG177100X155/C40/250",21-50 (Standard)
hddsupply,50,1.22,39.4,5.1,32.0,6.0,62.0,6.0,62.0,32.0,6.0,Product-Based (Mixed Inventory),26.8,Simple,"Late fee, MUD:MaxBore (OneSack) (deleted), CC Usage Fee:CC Usage Fee (deleted)",21-50 (Standard)
poochiepets2,50,1.94,69.7,7.5,2.0,2.0,98.0,2.0,2.0,96.0,0.0,NonInventory-Based (Digital/Services),32.1,Simple,"PoochieBells:Standard:PoochieBells Standard - Signature Tracks - Black, PoochieBells:Standard:PoochieBells Standard - Solids - Midnight Black, PoochieBells:Standard:PoochieBells Standard - Signature Tracks - Pink",21-50 (Standard)
magicgreensinc,50,0.82,46.1,9.2,18.0,32.0,0.0,0.0,0.0,100.0,0.0,NonInventory-Based (Digital/Services),15.4,Ultra-Simple,"15G PODOCARPUS YEW, 3 G Deco Pot Bush:3 G Dwf Mulberry Everbearing Bush Deco Pot, 3 G Deco Pot Bush:3 G Purple Possum Passion Fruit Tripod Deco Pot",21-50 (Standard)
epccigar,50,1.02,34.2,5.6,0.0,0.0,86.0,0.0,90.0,0.0,0.0,Inventory-Based (Physical Products),23.7,Simple,"Shipping, Pledge:Pledge 20ct Prequel 5 x 50, Pledge:Pledge 20ct Sojourn 6 x 52",21-50 (Standard)
greenmoab,50,1.38,34.3,3.0,100.0,0.0,100.0,96.0,0.0,0.0,0.0,Service-Based,43.2,Standard,"SHIPPING & FEES:SHIP-US, HYBRIDOMA GENERATION:04 - SUBCLONING:04-20001, HYBRIDOMA GENERATION:03  SCREENING:01-31011",21-50 (Standard)
osupplies,50,0.0,11.6,1.5,76.0,0.0,0.0,0.0,46.0,28.0,0.0,Product-Based (Mixed Inventory),15.4,Ultra-Simple,"FRTFuelSurcharge, PS Color Copies, OSUPAPER",21-50 (Standard)
southernaggregates2,50,1.64,29.1,3.9,84.0,0.0,18.0,4.0,0.0,96.0,0.0,NonInventory-Based (Digital/Services),30.2,Simple,"Surcharges:NPLT, Surcharges:DCB, Sales - Marble:Sales - GWM:ATGWMB-50",21-50 (Standard)
sobremesamanagement2,50,0.1,24.3,4.7,2.0,82.0,0.0,4.0,96.0,0.0,0.0,Inventory-Based (Physical Products),13.2,Ultra-Simple,"VC Sparklg Water 1L, BAWI PassionFruit 12oz/12pk, MOG Blue B & F EVOO 16.9oz",21-50 (Standard)
norenthermal,50,1.32,20.3,2.0,94.0,0.0,70.0,4.0,2.0,94.0,10.0,NonInventory-Based (Digital/Services),37.4,Simple,"freight, FILTERS / FILTER PACKS/GASKET:NP0748A-221 F, HEX:CC6361P4115",21-50 (Standard)
codipsausa,7,1.0,51.3,7.7,0.0,85.7,100.0,28.6,71.4,0.0,0.0,Inventory-Based (Physical Products),30.8,Simple,"Starches:Native Tapioca Starch 55 lb (25 kg) Neutral bags, Starches:Native Corn Starch 50 lb (22.68kg) Neutral Bags, Starches:Native Potato Starch 55 lb ( 25 kg) Neutral bags",6-20 (Simple)
rillfoods5,50,0.0,10.0,2.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,Service-Based,4.0,Ultra-Simple,"Square Item, Freight, Lg Columbia",21-50 (Standard)
allenproducts,40,0.0,8.8,1.2,90.0,2.5,0.0,2.5,2.5,95.0,0.0,NonInventory-Based (Digital/Services),17.0,Ultra-Simple,"V-14-U RED, TY127SWH2X, RRGFIV100",21-50 (Standard)
gtsimulators,50,0.02,5.7,1.2,46.0,0.0,0.0,24.0,56.0,2.0,2.0,Hybrid (Mixed),11.0,Ultra-Simple,"S&H, **, *",21-50 (Standard)
gsova,41,0.24,39.3,6.8,2.4,34.1,22.0,12.2,53.7,34.1,0.0,Product-Based (Mixed Inventory),12.0,Ultra-Simple,"Melon 10mg - High Point, Tangerine 10mg, Peak Potency Single Bottle Small (Restock) - Skyline Citrus",21-50 (Standard)
decoblades,50,0.98,22.8,2.4,80.0,4.0,94.0,10.0,0.0,90.0,2.0,NonInventory-Based (Digital/Services),37.0,Simple,"Retip & Regrind:R-1268-01, Retip & Regrind:R-1194-01, Shipping Out",21-50 (Standard)
elevatedmetalscorp2,3,0.0,21.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Service-Based,0.2,Ultra-Simple,"Custom Metal Fabrication, Services, Bend Metal Provided by Customer",1-5 (Ultra-Simple)
dubgifcollc,50,2.02,32.9,2.5,26.0,4.0,96.0,8.0,84.0,0.0,0.0,Inventory-Based (Physical Products),36.2,Simple,"Miscellaneous Sevice:Shipping Charges, Samuel Lamont:Poli-Dri:706Rd, Samuel Lamont:Poli-Dri:706Bl",21-50 (Standard)
toolrange2,50,0.0,9.1,1.3,72.0,6.0,0.0,8.0,92.0,0.0,4.0,Inventory-Based (Physical Products),15.4,Ultra-Simple,"Credit Card Surcharge (deleted), Sales, Credit Card Surcharge Fees",21-50 (Standard)
elixirwinegroup2,50,0.54,16.3,2.3,92.0,0.0,32.0,0.0,28.0,0.0,0.0,Product-Based (Mixed Inventory),26.2,Simple,"W - PURCHDISC, Shipping, E - PURCHDISC:SE - Discount",21-50 (Standard)
smcclainstonecoinc,50,0.02,24.8,5.1,82.0,0.0,0.0,8.0,0.0,92.0,4.0,NonInventory-Based (Digital/Services),16.4,Ultra-Simple,"FLAG PALLETS, 22 - FREIGHT, 22 (deleted)",21-50 (Standard)
cooksmart2,50,0.84,23.6,2.6,86.0,4.0,62.0,18.0,72.0,0.0,0.0,Inventory-Based (Physical Products),32.2,Simple,"SHORTENING:1488, BREADING (BLENDED) ITEMS:1011 ASSY PT, PACKAGING:60636",21-50 (Standard)
breittechnologiesllc,50,0.64,13.5,1.4,4.0,4.0,62.0,8.0,86.0,2.0,0.0,Inventory-Based (Physical Products),18.6,Ultra-Simple,"Shipping, BT-010 Matte:NW-LS-010, BT25:SF-LS-026",21-50 (Standard)
supremeice,23,0.0,22.2,3.2,0.0,13.0,0.0,4.3,91.3,4.3,0.0,Inventory-Based (Physical Products),3.1,Ultra-Simple,"10# Crushed Ice-Beaver, 10# Crushed Ice-Orem2, 10# Pressed Block-Orem",21-50 (Standard)
waterlandscapesupply,50,2.1,30.8,2.6,90.0,2.0,78.0,6.0,90.0,2.0,0.0,Inventory-Based (Physical Products),43.4,Standard,"Freight, NPN, AIR MAX:WINSTON:ALGAE OFF:CC074-8",21-50 (Standard)
rayhil2,50,1.48,27.3,2.5,86.0,0.0,74.0,4.0,86.0,4.0,2.0,Inventory-Based (Physical Products),37.9,Simple,"ALUMINUM PROFILES:LB54002, POWER SUPPLY - DRIVERS:24 VOLTS:LB55472, Shipping Charge",21-50 (Standard)
progressivewestman3,50,1.98,52.7,5.4,12.0,30.0,98.0,94.0,6.0,0.0,0.0,Service-Based,36.7,Simple,"Rental Services:Rental Services - Other:ENVIRO5, Rental Services:Rental Services - Other:Mat Inventory Mtce (deleted), Rental Services:Rental Services - Other:Inv. Maintenance (deleted)",21-50 (Standard)
flipoffice4,50,0.02,9.5,1.1,54.0,0.0,0.0,14.0,78.0,0.0,0.0,Inventory-Based (Physical Products),12.2,Ultra-Simple,"Delivery, Notes, Labor",21-50 (Standard)
chempenn,50,0.06,7.4,1.1,90.0,0.0,0.0,0.0,32.0,2.0,2.0,Product-Based (Mixed Inventory),17.9,Ultra-Simple,"S&H, 211117/24, 111026",21-50 (Standard)
