Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $,Reason_Clean,Category
editsllc,Other - please specify,"1. You don't handle qbo bundle products properly.
2. It's slow.
3. You have a ton of tracking services on a paid account.
4. You're customization are done per hour instead of per spec. You also have to be on the phone with your agent, and they don't have enough time to understand your problem.
5. Your PDF template feature is not compatible with MAC and it's hard to use.
6. No ring-centeral integration",1.8,147.0,"1. You don't handle qbo bundle products properly.
2. It's slow.
3. You have a ton of tracking services on a paid account.
4. You're customization are done per hour instead of per spec. You also have to be on the phone with your agent, and they don't have enough time to understand your problem.
5. Your PDF template feature is not compatible with MAC and it's hard to use.
6. No ring-centeral integration",Feature Gaps
ohyabreadscorporation,Other - please specify,"Not a good time to evaluate CRM system as my clients business is really slow. 

We will re-visit later.",1.1,147.0,"Not a good time to evaluate CRM system as my clients business is really slow. 

We will re-visit later.",Performance Issues
solsticeroasters,Not using their Method Account,COVID-19 plus the rest of the team wasn't sold on the speed/effectiveness of the software when in the field.,12.7,147.0,COVID-19 plus the rest of the team wasn't sold on the speed/effectiveness of the software when in the field.,Uncategorized
juniperridge,Using QuickBooks Only (no other app),"Hello, the biggest issue was the complicated method of keeping track of communications. We ended up only using Method as a way for remote users to enter orders into QB and we no longer need that. Thanks",29.8,147.0,"Hello, the biggest issue was the complicated method of keeping track of communications. We ended up only using Method as a way for remote users to enter orders into QB and we no longer need that. Thanks",Too Complex/Clunky
GreenThumbPlantscapes,Other - please specify,The software is not user friendly enough for our sales team. We just have two sales reps and it’s too much for our small business.,3.0,147.0,The software is not user friendly enough for our sales team. We just have two sales reps and it’s too much for our small business.,Uncategorized
virgosteel,Other - please specify,"I logged into their Admin portal RN and they are on the  Intuit Core  package



They do not want to pay $40 extra to upgrade their RN and thus they cannot install the MIE



Their owner declined the upgrade and they will not move forward with Method CRM",0.0,147.0,"I logged into their Admin portal RN and they are on the  Intuit Core  package



They do not want to pay $40 extra to upgrade their RN and thus they cannot install the MIE



Their owner declined the upgrade and they will not move forward with Method CRM",UX/UI Issues
falconindustrialinc,No longer using QuickBooks,We are switching away from Quickbooks to an ERP system with CRM built in.,33.6,147.0,We are switching away from Quickbooks to an ERP system with CRM built in.,Competitor Loss
itemnineenterprisesllc,Using QuickBooks Only (no other app),"You didn't let us down, are business has moved away from needing this type of tracking customer interactions.",6.9,147.0,"You didn't let us down, are business has moved away from needing this type of tracking customer interactions.",Uncategorized
westprimedcm,Other - please specify,There's no use for us at this time.,8.0,147.0,There's no use for us at this time.,Uncategorized
growersnurserysupply,"Failure to adopt, train, and engage CRM users",I wasn't using it enough to make the subscription worth it.,13.1,147.0,I wasn't using it enough to make the subscription worth it.,Uncategorized
tobaccocigardist,Other - please specify,not the product they were looking for.,5.0,147.0,not the product they were looking for.,Uncategorized
ravescoolerdoors,Other - please specify,They moved to a different CRM. Did not mention which one but thats what they replied,0.4,147.0,They moved to a different CRM. Did not mention which one but thats what they replied,Competitor Loss
thebunkiestoreandmore2,Not using their Method Account,"We haven't used it since signing up.  If things change, I will reach out.  
Lisa",5.3,147.0,"We haven't used it since signing up.  If things change, I will reach out.  
Lisa",Uncategorized
fgvamericainc,Using another CRM Product,We are merging into another company that utilizes SalesForce so we no longer have need for the Method CRM,33.0,147.0,We are merging into another company that utilizes SalesForce so we no longer have need for the Method CRM,Competitor Loss
mojotestfeet,Other - please specify,We've decided to stay with Method Classic version.  Thank you,0.9,147.0,We've decided to stay with Method Classic version.  Thank you,Uncategorized
woodandsons4,Other - please specify,"I was going to email you today. I spoke with our boss, the one who has been using this and he doesnt think its going to be worth it for us. Thank you for your time and all youve done! We really appreciated the second trial.",0.3,147.0,"I was going to email you today. I spoke with our boss, the one who has been using this and he doesnt think its going to be worth it for us. Thank you for your time and all youve done! We really appreciated the second trial.",Uncategorized
generalpolymers,Not using their Method Account,"we are just not using it.  we are too small of a company but the software is good.  we will be back once we grow.  thanks,",9.4,147.0,"we are just not using it.  we are too small of a company but the software is good.  we will be back once we grow.  thanks,",Uncategorized
ussparsinc,Other - please specify,We liked your product but pricing was out of range for us.,0.9,146.0,We liked your product but pricing was out of range for us.,Price/Value
dirtbagteacompany,Other - please specify,"We are a small company and don't need a CRM as powerful as this one, yet. ",0.5,146.0,"We are a small company and don't need a CRM as powerful as this one, yet.",Uncategorized
skydeckusallc,Difficult to Customize,Customization is way too technical for us to do on our own and costs too much to have your staff do.,1.0,146.0,Customization is way too technical for us to do on our own and costs too much to have your staff do.,Poor Customization
etradeinvestmentall,Difficult to Customize,Too much trouble with customization and programming.,1.1,146.0,Too much trouble with customization and programming.,Poor Customization
gutsykombucha,Other - please specify,"Hello Harsh, 

Thank you for the follow up and the time you took to meet with me. We will not be continuing with Method. As of right now, our actual CRM meets our requirements and we will continue using it.

Hope you have a good day and happy holidays!",0.8,146.0,"Hello Harsh, 

Thank you for the follow up and the time you took to meet with me. We will not be continuing with Method. As of right now, our actual CRM meets our requirements and we will continue using it.

Hope you have a good day and happy holidays!",UX/UI Issues
cabinetworks,Difficult UI,"The user interface is not intuitive. 
Moving aroudn the program requires a lot of clicking through window.
Looking at everything all in one place is hard with the filtering of the list as thye  are",18.9,146.0,"The user interface is not intuitive. 
Moving aroudn the program requires a lot of clicking through window.
Looking at everything all in one place is hard with the filtering of the list as thye  are",Too Complex/Clunky
revivestudio,Other - please specify,To complicated to work with. Need an easier solution that can be done ad hoc internally.,2.7,146.0,To complicated to work with. Need an easier solution that can be done ad hoc internally.,Too Complex/Clunky
fritzfryerlighting2,Other - please specify,We are a small company with 20 employees - method seemed too complicated.,1.5,146.0,We are a small company with 20 employees - method seemed too complicated.,Too Complex/Clunky
northiowabrewing,Other - please specify,"Remove me from your email why would I want to have continued emails from you? asshole design. I will flag as spam

Other than that just didn't work for me",0.1,146.0,"Remove me from your email why would I want to have continued emails from you? asshole design. I will flag as spam

Other than that just didn't work for me",UX/UI Issues
smokinbrothers,Other - please specify,"Synced wrong file, trial QBO

Cancelling to free up email for QBDT signup",0.2,146.0,"Synced wrong file, trial QBO

Cancelling to free up email for QBDT signup",Integration Issues
goldrange,Difficult to Customize,Customization is very complicated and time-consuming. Needs to be more intuitive and user friendly.,1.4,146.0,Customization is very complicated and time-consuming. Needs to be more intuitive and user friendly.,Too Complex/Clunky
chaircarepatio,Not using their Method Account,We were not using it. Not a software issue.,6.2,144.0,We were not using it. Not a software issue.,Uncategorized
assertivecreativity,Other - please specify,They are working on other projects right now and might revisit Method at a later stage,7.5,144.0,They are working on other projects right now and might revisit Method at a later stage,Uncategorized
globalhp,Other - please specify,embedded html code in report downloads were never solved. made reporting cumbersome having to manually delete all the &nbsp that ended up in all excel spreadsheets.,15.3,140.0,embedded html code in report downloads were never solved. made reporting cumbersome having to manually delete all the &nbsp that ended up in all excel spreadsheets.,Uncategorized
bioskinaesthetics2,Tech Issue - Applications & Sync,"Customer has experienced a number of sync issues over the years.

The major factor is that Leads when converted to customers were not syncing to QuickBooks. 

This is likely his feedback on  over and over again . They were heavily impacted by this for their lead management.",33.9,140.0,"Customer has experienced a number of sync issues over the years.

The major factor is that Leads when converted to customers were not syncing to QuickBooks. 

This is likely his feedback on  over and over again . They were heavily impacted by this for their lead management.",Integration Issues
shipcentral,,Too clunkly. Took too long to figure out. Switching to Hubspot for our CRM.,9.0,140.0,Too clunkly. Took too long to figure out. Switching to Hubspot for our CRM.,Competitor Loss
clslaundry,Tech Issue - Applications & Sync,1.  Difficult synching with QB with conflicts and minor conflicts stopping synchs.2.  Difficulties with synch app on desktop not auto connecting.3.  Migrating to QBO which allows us to have more users.,65.3,139.0,1.  Difficult synching with QB with conflicts and minor conflicts stopping synchs.2.  Difficulties with synch app on desktop not auto connecting.3.  Migrating to QBO which allows us to have more users.,Too Complex/Clunky
flushfasteners,"Failure to adopt, train, and engage CRM users",nothing.  just not using at this time and business is slow to launch.,6.9,138.0,nothing.  just not using at this time and business is slow to launch.,Performance Issues
tropicalbrazilptyltd,"Failure to adopt, train, and engage CRM users","Unfortunately the guys do not use the Method and for this reason there are not point to continue the payments without use the system.

Kind Regards,
Ana",6.9,138.0,"Unfortunately the guys do not use the Method and for this reason there are not point to continue the payments without use the system.

Kind Regards,
Ana",Uncategorized
hortall,Other - please specify,Not utilized enough to justify cost,13.4,136.0,Not utilized enough to justify cost,Price/Value
frameindustries,Difficult Workflows / Workflow Challenges,Has to many features that we don't need and the features we do need aren't working the way we would like.,2.0,136.0,Has to many features that we don't need and the features we do need aren't working the way we would like.,Feature Gaps
eversmileinc,,"Terrible platform, not user friendly, limited options. Not happy at all and has been a nightmare from the start. ",19.3,135.0,"Terrible platform, not user friendly, limited options. Not happy at all and has been a nightmare from the start.",Uncategorized
starvationalley,,Method isn’t a good fit for my business,1.7,135.0,Method isn’t a good fit for my business,Uncategorized
monster,,Method was missing the following features,1.1,135.0,Method was missing the following features,Feature Gaps
proslatlaurence,Other - please specify,Does not sync over individual warehouse locations' inventory. Needs this in a CRM,1.5,135.0,Does not sync over individual warehouse locations' inventory. Needs this in a CRM,Integration Issues
ibixnorthamerica,Duplicate Account,We currently have two accounts open.  This is the old one we are migrating away from.,67.9,135.0,We currently have two accounts open.  This is the old one we are migrating away from.,Uncategorized
netzerotools,Not using their Method Account,We just don't use the service.  It had nothing to do you with you guys,85.1,135.0,We just don't use the service.  It had nothing to do you with you guys,Uncategorized
integralsecuritysolutions,Not using their Method Account,"My team did not use it. 
Our account manager, Phuong Phan was really great. always available, polite and clear.
Please thank her.
",12.2,135.0,"My team did not use it. 
Our account manager, Phuong Phan was really great. always available, polite and clear.
Please thank her.",Uncategorized
bendbeautyinc,,We are setting up a new account with Method.  There are some glitchy things going on and the data is outdated.,20.6,135.0,We are setting up a new account with Method.  There are some glitchy things going on and the data is outdated.,Uncategorized
afoxsolutionsllc,Not using their Method Account,"didn't fit, too many emails back and forth.  Sorry.",1.1,135.0,"didn't fit, too many emails back and forth.  Sorry.",Uncategorized
booe2,Using QuickBooks Only (no other app),"Just not the right time for it, could still be our CRM in the future.",7.0,135.0,"Just not the right time for it, could still be our CRM in the future.",Not Meeting Needs
ataramllc,Other - please specify,"""HI, WE NEED TO CANCEL OUR ACCOUNT, AND THE CANCEL ACCOUNT BUTTON IS GREYED OUT.""",2.0,135.0,"""HI, WE NEED TO CANCEL OUR ACCOUNT, AND THE CANCEL ACCOUNT BUTTON IS GREYED OUT.""",Uncategorized
antegowheels1,Other - please specify,We are not using method like we thought we would. too time consuming. ,12.0,135.0,We are not using method like we thought we would. too time consuming.,Uncategorized
dutchmasternutrients,,"Very disappointed to have spent the money and time on this and have not been able to initiate the use of it in our company. It wasn't until 3/4 way through customization that we were advised that the software was not capable of functioning per our requirements, of which were all laid out very clearly in our initial discovery meetings. I will be emailing regarding the refund of moneys spent, as we have now spend 4 months of our time and money.",3.9,135.0,"Very disappointed to have spent the money and time on this and have not been able to initiate the use of it in our company. It wasn't until 3/4 way through customization that we were advised that the software was not capable of functioning per our requirements, of which were all laid out very clearly in our initial discovery meetings. I will be emailing regarding the refund of moneys spent, as we have now spend 4 months of our time and money.",Poor Customization
barcoderesourcinginc,Other - please specify,method provided an excellent service. We are just no longer in need of this.,24.4,135.0,method provided an excellent service. We are just no longer in need of this.,Uncategorized
pumpinpal,Other - please specify,"You did not disappoint us, we are just not using it and not planning on hiring any sales people that would benefit from the use at the current time.  We are not planning on it in the near future, so decided to cancel it at this time.

Thank you!",37.5,135.0,"You did not disappoint us, we are just not using it and not planning on hiring any sales people that would benefit from the use at the current time.  We are not planning on it in the near future, so decided to cancel it at this time.

Thank you!",Uncategorized
innovativebowling,Other - please specify,At this time we chose to stick with helpscout and see how the works for us. Method was nice but it didn’t give us that seamless stream of email chains that we were looking for and we believe it would be harder for our older employees to navigate.,0.5,134.0,At this time we chose to stick with helpscout and see how the works for us. Method was nice but it didn’t give us that seamless stream of email chains that we were looking for and we believe it would be harder for our older employees to navigate.,Uncategorized
anchorsupply,Other - please specify,I am actually pretty happy with Method. I just want to start fresh now that I have had a chance to work with it for a few days.,0.1,134.0,I am actually pretty happy with Method. I just want to start fresh now that I have had a chance to work with it for a few days.,Uncategorized
davismetalsandplastics,"Failure to adopt, train, and engage CRM users",We're taking a break until we hire on more sales people.,3.5,134.0,We're taking a break until we hire on more sales people.,Uncategorized
comtronix,Other - please specify,"No, your CRM needs a bit of work before we could use it. See my feedback to Dhruv from your Technical Team.  I would take our feedback and fix the issues before making your product available to businesses.",0.5,134.0,"No, your CRM needs a bit of work before we could use it. See my feedback to Dhruv from your Technical Team.  I would take our feedback and fix the issues before making your product available to businesses.",Uncategorized
SLC,,"We have moved to a simpler system to manage customer accounts.
There isn't enough free help for us as a small company to need a system this complicated.
We like how it syncs with Quick Books but hasn't been effective for us as a pipeline. 
Takes a lot of time to train our employees and to log the needed entries (our average value per customer isn't high enough to handle this).",14.0,134.0,"We have moved to a simpler system to manage customer accounts.
There isn't enough free help for us as a small company to need a system this complicated.
We like how it syncs with Quick Books but hasn't been effective for us as a pipeline. 
Takes a lot of time to train our employees and to log the needed entries (our average value per customer isn't high enough to handle this).",Competitor Loss
drspluscom,Other - please specify,Love Method... but not presently using a CRM for this enterprise. ,4.9,133.0,Love Method... but not presently using a CRM for this enterprise.,Uncategorized
augustamedicalsystems,Other - please specify,"We have made a decision to discontinue our relationship and future work with Method CRM as we are going to stay where we are. Thank you for the opportunity to work with you and please contact me with any questions or requirements necessary on our end to discontinue the relationship.

Thank You,

Michael Osbon cancel",9.3,132.0,"We have made a decision to discontinue our relationship and future work with Method CRM as we are going to stay where we are. Thank you for the opportunity to work with you and please contact me with any questions or requirements necessary on our end to discontinue the relationship.

Thank You,

Michael Osbon cancel",UX/UI Issues
etkie,Other - please specify,"""want to unsubscribe 
from method. its literally 
impossible to change 
anything without a consultant. """,2.2,132.0,"""want to unsubscribe 
from method. its literally 
impossible to change 
anything without a consultant. """,Uncategorized
bluecardinalchemicalllc,Using another CRM Product,I am creating my own app and no longer need method,14.0,129.0,I am creating my own app and no longer need method,Uncategorized
woodfieldpressllc,"Failure to adopt, train, and engage CRM users",You did not.  I do not have a use for this App nor the staff to use it. I may come back.  Thank you.,2.6,129.0,You did not.  I do not have a use for this App nor the staff to use it. I may come back.  Thank you.,Uncategorized
flashequipment2,Feature Gap,"We could not receive inventory, aisle and bin did not come over from Quickbooks.   The templates were difficult to customize.",13.5,129.0,"We could not receive inventory, aisle and bin did not come over from Quickbooks.   The templates were difficult to customize.",Too Complex/Clunky
bendbeautyinc1,Other - please specify,We weren't let down.  We are developing a custom CRM/marketing tool so we no longer have the need for Method.,6.5,129.0,We weren't let down.  We are developing a custom CRM/marketing tool so we no longer have the need for Method.,Uncategorized
MarksThomasArchitects,Other - please specify,Partner had requested to cancel the account.,22.1,128.36,Partner had requested to cancel the account.,Uncategorized
dobiesupplyllc,Other - please specify,not as user friendly as we had hoped. ,15.2,128.0,not as user friendly as we had hoped.,Uncategorized
DV8,Other - please specify,"clients email response:
Not a training or customization issue.
We’re just not set up internally the right way to use a CRM.
When we mature and develop our sales efforts then we’ll take
another look at a CRM and will consider Method again.",17.8,128.0,"clients email response:
Not a training or customization issue.
We’re just not set up internally the right way to use a CRM.
When we mature and develop our sales efforts then we’ll take
another look at a CRM and will consider Method again.",Poor Customization
bluefishmkt,,Just wasn't the right product for us. Thank you.,3.0,126.0,Just wasn't the right product for us. Thank you.,Uncategorized
astrapouchnorthamerica,Integration Gap,no way to log gmail email messages,82.9,126.0,no way to log gmail email messages,Uncategorized
madebymydadllc,Other - please specify,No longer using QBO. Already have M:Account for QBD [madebymydad1],22.2,125.0,No longer using QBO. Already have M:Account for QBD [madebymydad1],Integration Issues
ruebelle,Other - please specify,"i has been great but its not fitting our team for now. the main thing is that we cant add quick notes with every sales order. It is cumbersome""""",8.6,125.0,"i has been great but its not fitting our team for now. the main thing is that we cant add quick notes with every sales order. It is cumbersome""""",UX/UI Issues
SACtrial,,no longer needed.  too many issues,11.9,125.0,no longer needed.  too many issues,Uncategorized
LanternaDistributors,,Was supposed to be cancelled many months ago. Have not used the software however charges have continued.  Could not customize to suit our business.,19.6,125.0,Was supposed to be cancelled many months ago. Have not used the software however charges have continued.  Could not customize to suit our business.,Poor Customization
outbackflashlightsllc,Other - please specify,We aren't unhappy with the method. My salespeople aren't using it so we are going to cancel.,17.9,125.0,We aren't unhappy with the method. My salespeople aren't using it so we are going to cancel.,Uncategorized
acerwatertanks,,"We switched to new inventory software that includes CRM, so we have no need for two CRM systems.",24.1,125.0,"We switched to new inventory software that includes CRM, so we have no need for two CRM systems.",Competitor Loss
accinn,Not using their Method Account,"You didn't. We started using Method for a salesperson that no longer works with us. We're not using it anymore, so  we need to cancel.",66.3,125.0,"You didn't. We started using Method for a salesperson that no longer works with us. We're not using it anymore, so  we need to cancel.",Uncategorized
AmericanHoltzkraft,Other - please specify,No longer need it for our business.,7.2,125.0,No longer need it for our business.,Uncategorized
Connoils,,We do not have enough time to invest in your program at this time.,3.9,125.0,We do not have enough time to invest in your program at this time.,Uncategorized
MilkhouseCreameryInc,,Sorry Method.  We've enjoyed having you!,11.8,125.0,Sorry Method.  We've enjoyed having you!,Uncategorized
KRISS,,Decided to go with another solution (Salesforce).,7.3,125.0,Decided to go with another solution (Salesforce).,Competitor Loss
vioskimethod,,Could not cost effectively get Method to work with our other systems and our team did not like using it as it was.,5.2,125.0,Could not cost effectively get Method to work with our other systems and our team did not like using it as it was.,Price/Value
eaglecompac,,I gave notice last month that the system was not satisfying my needs. We did try to use it but the entire process for our business was too long winded. We require a simple system to allow us to track warranty claims and associated repairs.,8.0,125.0,I gave notice last month that the system was not satisfying my needs. We did try to use it but the entire process for our business was too long winded. We require a simple system to allow us to track warranty claims and associated repairs.,UX/UI Issues
skindustriesthevalvecompany,Using another CRM Product,I switched to another software.,28.5,125.0,I switched to another software.,Competitor Loss
allboxesdirect,,We found it was cumbersome to enter data. ,7.8,125.0,We found it was cumbersome to enter data.,Uncategorized
dynamicsps,Other - please specify,"No longer has a need for the product, and found the syncing was slowing down their processes in QuickBooks (on RN - I think they ran syncs during the day).",29.9,125.0,"No longer has a need for the product, and found the syncing was slowing down their processes in QuickBooks (on RN - I think they ran syncs during the day).",Integration Issues
axiumlistingpro,Not using their Method Account,Will revisit Method in the future but for now I do not have the need for it,5.1,124.0,Will revisit Method in the future but for now I do not have the need for it,Uncategorized
allanchemicalcorporation2,Other - please specify,"We have spent quite a bit of time testing method as an application. Method is probably the best CRM on the market from Quickbooks integration, but it did not integrate in the areas we needed. At this time, we have decided not to move forward with the product.

Spoke with Phuong, this lead has tested Method several times, booked demos but didn t subscribe",0.2,123.0,"We have spent quite a bit of time testing method as an application. Method is probably the best CRM on the market from Quickbooks integration, but it did not integrate in the areas we needed. At this time, we have decided not to move forward with the product.

Spoke with Phuong, this lead has tested Method several times, booked demos but didn t subscribe",Integration Issues
rigalipackaging,Difficult Workflows / Workflow Challenges,"You  did not let us down, we are just going in a different direction. Thanks",13.4,122.0,"You  did not let us down, we are just going in a different direction. Thanks",Competitor Loss
hawaiihingesllc,Sold Business / Closing Company,YOU DID NOT LETY US DOWN WE ARE CLOSING THE BUSINESS  -THANKS,6.1,122.0,YOU DID NOT LETY US DOWN WE ARE CLOSING THE BUSINESS  -THANKS,Uncategorized
elmoremountainfarm,Other - please specify,You didn't let us down--the transition from our current CRM platform is no where as simple as I assumed it would be.  We need to work out some ideas as to how we will transition from our old platform.,0.8,122.0,You didn't let us down--the transition from our current CRM platform is no where as simple as I assumed it would be.  We need to work out some ideas as to how we will transition from our old platform.,Uncategorized
acc86712,Difficult Workflows / Workflow Challenges,"Customer service was great, easy to use, just not a good fit for my application",5.7,122.0,"Customer service was great, easy to use, just not a good fit for my application",Uncategorized
zanottiusacorp,Difficult Workflows / Workflow Challenges,"Customer Comment - Not sure, just not a good fit.----------------------------------------------John came to Method because he felt he was going to outgrow QBO and eventually move to SAP.He was doing sales and accounting himself.  Their company deals with the Manufacturing of Refrideration equipment. He managed a group of external dealers who were responsible for working with End Users.Dealers had incredibly long sales cycles since they worked with contractors. He was also looking for a centralized place to capture his dealers / end-customers machinery specifically (refrigeration).",28.8,122.0,"Customer Comment - Not sure, just not a good fit.----------------------------------------------John came to Method because he felt he was going to outgrow QBO and eventually move to SAP.He was doing sales and accounting himself.  Their company deals with the Manufacturing of Refrideration equipment. He managed a group of external dealers who were responsible for working with End Users.Dealers had incredibly long sales cycles since they worked with contractors. He was also looking for a centralized place to capture his dealers / end-customers machinery specifically (refrigeration).",Integration Issues
yusupovumar92atgmailcomscompany,Other - please specify,I am registering to other e-mail address ,0.5,122.0,I am registering to other e-mail address,Uncategorized
sanantoniolaserengravning,Not using their Method Account,Too complicated to navigate. No enough info available without paying for time.,7.6,122.0,Too complicated to navigate. No enough info available without paying for time.,Too Complex/Clunky
pottsdevicesandsystems,Other - please specify,Method looks too expensive for our requirements as a startup company.,0.2,122.0,Method looks too expensive for our requirements as a startup company.,UX/UI Issues
twowayradiocom,Using another CRM Product,We did some CRM comparison's and found that Keap was a better fit for us. We never were able to get our QB's data to fully sync with Method.,1.2,122.0,We did some CRM comparison's and found that Keap was a better fit for us. We never were able to get our QB's data to fully sync with Method.,Integration Issues
midwestsidewalls,Other - please specify,We are connecting method to you desktop version instead of QBO. Will be making a new account today.,0.0,122.0,We are connecting method to you desktop version instead of QBO. Will be making a new account today.,Integration Issues
integritymfs2,Other - please specify,"I needed more details with the CRM system and decided on Nutshell. I did like the QB integration, but overall the Nutshell CRM was more robust with more sales accounting options.",1.2,122.0,"I needed more details with the CRM system and decided on Nutshell. I did like the QB integration, but overall the Nutshell CRM was more robust with more sales accounting options.",Integration Issues
cedarwooddistribution,Feature Gap,Not as functional as other crms,31.1,122.0,Not as functional as other crms,Competitor Loss
cmrsalesincdbainfanteultrasonics,Other - please specify,Joseph like Method CRM pricing and the sync with QB. However he needed more customizations on the Email Campaign side which he was not ready to pay. He will revisit Method CRM but for now he will continue to use Quickbooks and look for an email marketing tool,0.8,122.0,Joseph like Method CRM pricing and the sync with QB. However he needed more customizations on the Email Campaign side which he was not ready to pay. He will revisit Method CRM but for now he will continue to use Quickbooks and look for an email marketing tool,Poor Customization
entrowholesale,"Failure to adopt, train, and engage CRM users","not at team level of managin and operating CRM, great product just not right time for us, thanks",2.9,122.0,"not at team level of managin and operating CRM, great product just not right time for us, thanks",Uncategorized
southernprinting,Other - please specify,"Looking at setting up a POS system for now. May be looking at a CRM for sales in the spring, will followup",0.4,122.0,"Looking at setting up a POS system for now. May be looking at a CRM for sales in the spring, will followup",Uncategorized
minneselameats,"Failure to adopt, train, and engage CRM users",need to have a system i can take payments on the go and keep track of the customers,1.9,122.0,need to have a system i can take payments on the go and keep track of the customers,Uncategorized
usdryice2,Feature Gap,i thought it was suppose to be able to send texts messages and it was not full circle enough for me since you couldn't see the reply and also to cumbersome to use for email back and forth tried for 1 day top get it to work and still nothing.,0.5,122.0,i thought it was suppose to be able to send texts messages and it was not full circle enough for me since you couldn't see the reply and also to cumbersome to use for email back and forth tried for 1 day top get it to work and still nothing.,Uncategorized
autec2,Other - please specify,Called the customer and they will not implement any CRM at the moment. They will continue to use what they are using right now,0.6,122.0,Called the customer and they will not implement any CRM at the moment. They will continue to use what they are using right now,Uncategorized
weavertechnologies,Other - please specify,We cancelled our account in QuickBooks. I no longer have access to it.,0.9,122.0,We cancelled our account in QuickBooks. I no longer have access to it.,Integration Issues
selectdistribution3,Other - please specify,"too much options with in customer when working daily.
Sales reps need to make activity or notes and move on quickly.
Please remove pager and add social feeds within customers.",1.5,122.0,"too much options with in customer when working daily.
Sales reps need to make activity or notes and move on quickly.
Please remove pager and add social feeds within customers.",UX/UI Issues
thepinchedpleatllc,Feature Gap,No ability to incorporate estimates into proposals.,1.1,122.0,No ability to incorporate estimates into proposals.,Uncategorized
s4sdental2,Difficult Workflows / Workflow Challenges,It's not quite suited to what we want to achieve as a dental lab.,2.3,122.0,It's not quite suited to what we want to achieve as a dental lab.,UX/UI Issues
kingindustrialllc,Difficult to Customize,product is to basic out of the box and customizing is to difficult. ,18.7,122.0,product is to basic out of the box and customizing is to difficult.,Too Complex/Clunky
KineticSolutions,Difficult UI,"We tried Method with our office scheduler and field staff. We received significant feedback that Method was not as intuitive for our service staff as Jobber which is the platform we had been using. My original goal with Method was better integration with QB online but I soon realized and was greatly disappointed that the two-way numbering only works with QB if we have custom transaction numbers turned off. We need to have that ability so we were back to manually having to enter invoice and estimate numbers. All in all, my team demanded the simplicity of Jobber. Out of the box, Jobber meets almost all of our needs and Method would require too much customization to get there. Thank you.",4.6,122.0,"We tried Method with our office scheduler and field staff. We received significant feedback that Method was not as intuitive for our service staff as Jobber which is the platform we had been using. My original goal with Method was better integration with QB online but I soon realized and was greatly disappointed that the two-way numbering only works with QB if we have custom transaction numbers turned off. We need to have that ability so we were back to manually having to enter invoice and estimate numbers. All in all, my team demanded the simplicity of Jobber. Out of the box, Jobber meets almost all of our needs and Method would require too much customization to get there. Thank you.",Poor Customization
windowsdoorsandmore3,Other - please specify,creating a new account as we connected this one to an incorrect file. thank you,0.2,122.0,creating a new account as we connected this one to an incorrect file. thank you,Uncategorized
windowsdoorsandmorefl,"Tech Issue - QuickBooks, Network, Initial Setup",information was not sharing/syncing in a timely manner.,2.7,122.0,information was not sharing/syncing in a timely manner.,Integration Issues
tppinc,"Tech Issue - QuickBooks, Network, Initial Setup",too many issues with setup and never really accomplished what was needed in a reasonable time so we had to seek alternatives,3.3,122.0,too many issues with setup and never really accomplished what was needed in a reasonable time so we had to seek alternatives,Onboarding Failed
bluewatercas,Other - please specify,Misunderstood ME. Doesnt need it. Wants to cancel so they can set up both independently.,0.4,122.0,Misunderstood ME. Doesnt need it. Wants to cancel so they can set up both independently.,Uncategorized
denovainc,Other - please specify,They would like to sync with their attachments and expenses from QB into Method CRM,0.0,122.0,They would like to sync with their attachments and expenses from QB into Method CRM,Integration Issues
tnvc,Other - please specify,"Unfortunately, we are no longer pursuing adding a CRM. We will contact if these changes down the road.",1.6,122.0,"Unfortunately, we are no longer pursuing adding a CRM. We will contact if these changes down the road.",UX/UI Issues
greenfoundryco,Not using their Method Account,My team did not use the platform enough to justify keeping it,7.5,122.0,My team did not use the platform enough to justify keeping it,Uncategorized
spraydown,Other - please specify,wasnt suitable for the processes we require,0.2,122.0,wasnt suitable for the processes we require,UX/UI Issues
sunstonempCo1,Integration Gap,"Not enough solutions out of the box and didnt want to pay to have you build something, and tried building apps myself but too complicated. I built own system using several apps and shopify and other crm also that rout doest charge per user and is less money for scaling into larger sales company. There are some drawbacks like not syncing with quickbooks but there are also other bebefits. Some applications I would have like to see with method much better are the following:  1. Dealer Portal with products they can purchase that syncs with quickbooks. 2. CRM which also shows dealers on MAP so sales people can identify their market and plan sales trips. 3. SOme more Custom Branding with own logo etc. ",8.3,122.0,"Not enough solutions out of the box and didnt want to pay to have you build something, and tried building apps myself but too complicated. I built own system using several apps and shopify and other crm also that rout doest charge per user and is less money for scaling into larger sales company. There are some drawbacks like not syncing with quickbooks but there are also other bebefits. Some applications I would have like to see with method much better are the following:  1. Dealer Portal with products they can purchase that syncs with quickbooks. 2. CRM which also shows dealers on MAP so sales people can identify their market and plan sales trips. 3. SOme more Custom Branding with own logo etc.",Competitor Loss
utahmobility,Other - please specify,Main account user wants to use Zoho,0.4,122.0,Main account user wants to use Zoho,Uncategorized
duncanduncanmedicalincsb1633460,Difficult to Customize,"Need more functionality and customization, moving toward PipeDrive & HubSpot Sales Hub",34.9,122.0,"Need more functionality and customization, moving toward PipeDrive & HubSpot Sales Hub",Feature Gaps
