Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
raicescubanas2,Other - please specify,Were cancelling this fake account and setting up the real one rn.,0.5,147.0
brewerinternational,Tech Issue - Applications & Sync,They were looking at Method as a temporary solution to the new startups. They had issues with Proposals App and the real time sync was not working for them due to their network restrictions.,3.3,147.0
pop49,Other - please specify,"I wasn't able to fully test your software within the trial period. The combination of our busy schedule, the installation process, integration with QuickBooks, and the need to determine if it was the right fit before onboarding the entire team proved to be a significant undertaking. When I inquired about a trial extension, the salesperson informed me that it was not possible due to hardcoded limitations.

In the meantime, I continued evaluating other software options and have since found a solution that better suits our needs. Therefore, we will be proceeding with the cancellation of our account.

Thanks again",0.8,147.0
homevillestorellc,Other - please specify,Cant afford it at the moment,0.4,146.0
goldrange,Difficult to Customize,Customization is very complicated and time-consuming. Needs to be more intuitive and user friendly.,1.4,146.0
americancomputeropticsinc,Difficult Workflows / Workflow Challenges,Was not working for us,3.9,146.0
smokinbrothers,Other - please specify,"Synced wrong file, trial QBO

Cancelling to free up email for QBDT signup",0.2,146.0
matafindustriesmsdnbhd,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
matafindustriesmsdnbhd2",0.1,146.0
northiowabrewing,Other - please specify,"Remove me from your email why would I want to have continued emails from you? asshole design. I will flag as spam

Other than that just didn't work for me",0.1,146.0
allstateautosupply,Other - please specify,not interested,1.2,146.0
genuinecomfort,Other - please specify,will be back,0.8,146.0
northwestmodular,Other - please specify,Using QB desktop instead.,0.5,146.0
fritzfryerlighting3,Other - please specify,Too complex for our needs,1.7,146.0
fritzfryerlighting2,Other - please specify,We are a small company with 20 employees - method seemed too complicated.,1.5,146.0
adafuneralsupplies,Other - please specify,too expensive,0.8,146.0
revivestudio,Other - please specify,To complicated to work with. Need an easier solution that can be done ad hoc internally.,2.7,146.0
cabinetworks,Difficult UI,"The user interface is not intuitive. 
Moving aroudn the program requires a lot of clicking through window.
Looking at everything all in one place is hard with the filtering of the list as thye  are",18.9,146.0
gutsykombucha,Other - please specify,"Hello Harsh, 

Thank you for the follow up and the time you took to meet with me. We will not be continuing with Method. As of right now, our actual CRM meets our requirements and we will continue using it.

Hope you have a good day and happy holidays!",0.8,146.0
etradeinvestmentall,Difficult to Customize,Too much trouble with customization and programming.,1.1,146.0
skydeckusallc,Difficult to Customize,Customization is way too technical for us to do on our own and costs too much to have your staff do.,1.0,146.0
dirtbagteacompany,Other - please specify,"We are a small company and don't need a CRM as powerful as this one, yet. ",0.5,146.0
ussparsinc,Other - please specify,We liked your product but pricing was out of range for us.,0.9,146.0
painmanagementtechnologies,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
painmanagementtechnologies2",0.0,146.0
paladinpower,Other - please specify,we have another account... this was for testing.,0.6,146.0
S4NdoBrasil,Non-payment,No response to hold,34.0,145.0
hoganarchitectural,Other - please specify,Moved to QBDE,8.7,145.0
revnaq,Difficult Workflows / Workflow Challenges,We dont use it often.,22.5,145.0
jcmgreenhousemfgllc,Not using their Method Account,not used,18.1,145.0
chaircarepatio,Not using their Method Account,We were not using it. Not a software issue.,6.2,144.0
assertivecreativity,Other - please specify,They are working on other projects right now and might revisit Method at a later stage,7.5,144.0
shipcentral,,Too clunkly. Took too long to figure out. Switching to Hubspot for our CRM.,9.0,140.0
globalhp,Other - please specify,embedded html code in report downloads were never solved. made reporting cumbersome having to manually delete all the &nbsp that ended up in all excel spreadsheets.,15.3,140.0
bioskinaesthetics2,Tech Issue - Applications & Sync,"Customer has experienced a number of sync issues over the years.

The major factor is that Leads when converted to customers were not syncing to QuickBooks. 

This is likely his feedback on  over and over again . They were heavily impacted by this for their lead management.",33.9,140.0
clslaundry,Tech Issue - Applications & Sync,1.  Difficult synching with QB with conflicts and minor conflicts stopping synchs.2.  Difficulties with synch app on desktop not auto connecting.3.  Migrating to QBO which allows us to have more users.,65.3,139.0
tropicalbrazilptyltd,"Failure to adopt, train, and engage CRM users","Unfortunately the guys do not use the Method and for this reason there are not point to continue the payments without use the system.

Kind Regards,
Ana",6.9,138.0
AccurateLE,Not using their Method Account,1,27.0,138.0
atworkOLD,Other - please specify,No longer needed by Jason,3.9,138.0
flushfasteners,"Failure to adopt, train, and engage CRM users",nothing.  just not using at this time and business is slow to launch.,6.9,138.0
germanhaus1,Not using their Method Account,Dont use it,27.2,138.0
telcoden,Difficult Workflows / Workflow Challenges,"too expensive, never used.",84.7,137.0
hortall,Other - please specify,Not utilized enough to justify cost,13.4,136.0
frameindustries,Difficult Workflows / Workflow Challenges,Has to many features that we don't need and the features we do need aren't working the way we would like.,2.0,136.0
eversmileinc,,"Terrible platform, not user friendly, limited options. Not happy at all and has been a nightmare from the start. ",19.3,135.0
monster,,Method was missing the following features,1.1,135.0
antegowheels1,Other - please specify,We are not using method like we thought we would. too time consuming. ,12.0,135.0
spilltackle,Other - please specify,switching to easier CRM ,18.1,135.0
booe2,Using QuickBooks Only (no other app),"Just not the right time for it, could still be our CRM in the future.",7.0,135.0
powersportswarehouse,Other - please specify,.,7.1,135.0
barcoderesourcinginc,Other - please specify,method provided an excellent service. We are just no longer in need of this.,24.4,135.0
dieseloutboardsnorthwest,Sold Business / Closing Company,Business closing,29.7,135.0
pumpinpal,Other - please specify,"You did not disappoint us, we are just not using it and not planning on hiring any sales people that would benefit from the use at the current time.  We are not planning on it in the near future, so decided to cancel it at this time.

Thank you!",37.5,135.0
ataramllc,Other - please specify,"""HI, WE NEED TO CANCEL OUR ACCOUNT, AND THE CANCEL ACCOUNT BUTTON IS GREYED OUT.""",2.0,135.0
afoxsolutionsllc,Not using their Method Account,"didn't fit, too many emails back and forth.  Sorry.",1.1,135.0
streamlinefulfillment,Using another CRM Product,Switched to hub spot ,14.5,135.0
smartesthorticultureinc,,closing business,5.9,135.0
starvationalley,,Method isn’t a good fit for my business,1.7,135.0
integralsecuritysolutions,Not using their Method Account,"My team did not use it. 
Our account manager, Phuong Phan was really great. always available, polite and clear.
Please thank her.
",12.2,135.0
netzerotools,Not using their Method Account,We just don't use the service.  It had nothing to do you with you guys,85.1,135.0
ibixnorthamerica,Duplicate Account,We currently have two accounts open.  This is the old one we are migrating away from.,67.9,135.0
proslatlaurence,Other - please specify,Does not sync over individual warehouse locations' inventory. Needs this in a CRM,1.5,135.0
dutchmasternutrients,,"Very disappointed to have spent the money and time on this and have not been able to initiate the use of it in our company. It wasn't until 3/4 way through customization that we were advised that the software was not capable of functioning per our requirements, of which were all laid out very clearly in our initial discovery meetings. I will be emailing regarding the refund of moneys spent, as we have now spend 4 months of our time and money.",3.9,135.0
bendbeautyinc,,We are setting up a new account with Method.  There are some glitchy things going on and the data is outdated.,20.6,135.0
darllyeuropeltd,Not using their Method Account,its not for us.,7.1,135.0
innovativebowling,Other - please specify,At this time we chose to stick with helpscout and see how the works for us. Method was nice but it didn’t give us that seamless stream of email chains that we were looking for and we believe it would be harder for our older employees to navigate.,0.5,134.0
elixirwinegroup,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
elixirwinegroup2",0.1,134.0
anchorsupply,Other - please specify,I am actually pretty happy with Method. I just want to start fresh now that I have had a chance to work with it for a few days.,0.1,134.0
davismetalsandplastics,"Failure to adopt, train, and engage CRM users",We're taking a break until we hire on more sales people.,3.5,134.0
snsconcreteproductsptyltd,Due to economic reasons,Financial reasons,4.9,134.0
ampcraneandhoist,Not using their Method Account,cause,4.6,134.0
SLC,,"We have moved to a simpler system to manage customer accounts.
There isn't enough free help for us as a small company to need a system this complicated.
We like how it syncs with Quick Books but hasn't been effective for us as a pipeline. 
Takes a lot of time to train our employees and to log the needed entries (our average value per customer isn't high enough to handle this).",14.0,134.0
comtronix,Other - please specify,"No, your CRM needs a bit of work before we could use it. See my feedback to Dhruv from your Technical Team.  I would take our feedback and fix the issues before making your product available to businesses.",0.5,134.0
drspluscom,Other - please specify,Love Method... but not presently using a CRM for this enterprise. ,4.9,133.0
ectradingglobal2,Other - please specify,not now,1.1,132.0
augustamedicalsystems,Other - please specify,"We have made a decision to discontinue our relationship and future work with Method CRM as we are going to stay where we are. Thank you for the opportunity to work with you and please contact me with any questions or requirements necessary on our end to discontinue the relationship.

Thank You,

Michael Osbon cancel",9.3,132.0
etkie,Other - please specify,"""want to unsubscribe 
from method. its literally 
impossible to change 
anything without a consultant. """,2.2,132.0
prochemsolutions2,Using another CRM Product,went to new system,22.8,129.0
bluecardinalchemicalllc,Using another CRM Product,I am creating my own app and no longer need method,14.0,129.0
woodfieldpressllc,"Failure to adopt, train, and engage CRM users",You did not.  I do not have a use for this App nor the staff to use it. I may come back.  Thank you.,2.6,129.0
flashequipment2,Feature Gap,"We could not receive inventory, aisle and bin did not come over from Quickbooks.   The templates were difficult to customize.",13.5,129.0
bendbeautyinc1,Other - please specify,We weren't let down.  We are developing a custom CRM/marketing tool so we no longer have the need for Method.,6.5,129.0
EndobotanicalLLC,Other - please specify,Dupe,1.6,129.0
MarksThomasArchitects,Other - please specify,Partner had requested to cancel the account.,22.1,128.36
DV8,Other - please specify,"clients email response:
Not a training or customization issue.
We’re just not set up internally the right way to use a CRM.
When we mature and develop our sales efforts then we’ll take
another look at a CRM and will consider Method again.",17.8,128.0
dobiesupplyllc,Other - please specify,not as user friendly as we had hoped. ,15.2,128.0
adataconcepts,,Was just doing some testing...,3.0,128.0
voltar,Other - please specify,Business closing.,52.0,128.0
bluefishmkt,,Just wasn't the right product for us. Thank you.,3.0,126.0
cashionfishingrods,Duplicate Account,Churn Exception Reason:   cancelled post migrationDuplicate AccountOther Account:cashionfishingrods2,1.9,126.0
astrapouchnorthamerica,Integration Gap,no way to log gmail email messages,82.9,126.0
litramanufacturing,Other - please specify,Client felt lack of support ,3.0,126.0
dynamicsps,Other - please specify,"No longer has a need for the product, and found the syncing was slowing down their processes in QuickBooks (on RN - I think they ran syncs during the day).",29.9,125.0
allboxesdirect,,We found it was cumbersome to enter data. ,7.8,125.0
skindustriesthevalvecompany,Using another CRM Product,I switched to another software.,28.5,125.0
eaglecompac,,I gave notice last month that the system was not satisfying my needs. We did try to use it but the entire process for our business was too long winded. We require a simple system to allow us to track warranty claims and associated repairs.,8.0,125.0
vioskimethod,,Could not cost effectively get Method to work with our other systems and our team did not like using it as it was.,5.2,125.0
KRISS,,Decided to go with another solution (Salesforce).,7.3,125.0
spinballspoillc,Other - please specify,Found a better solution.,35.5,125.0
MilkhouseCreameryInc,,Sorry Method.  We've enjoyed having you!,11.8,125.0
Connoils,,We do not have enough time to invest in your program at this time.,3.9,125.0
Kemper,,Not for us.,2.0,125.0
madebymydadllc,Other - please specify,No longer using QBO. Already have M:Account for QBD [madebymydad1],22.2,125.0
accinn,Not using their Method Account,"You didn't. We started using Method for a salesperson that no longer works with us. We're not using it anymore, so  we need to cancel.",66.3,125.0
acerwatertanks,,"We switched to new inventory software that includes CRM, so we have no need for two CRM systems.",24.1,125.0
outbackflashlightsllc,Other - please specify,We aren't unhappy with the method. My salespeople aren't using it so we are going to cancel.,17.9,125.0
AmericanHoltzkraft,Other - please specify,No longer need it for our business.,7.2,125.0
LanternaDistributors,,Was supposed to be cancelled many months ago. Have not used the software however charges have continued.  Could not customize to suit our business.,19.6,125.0
SACtrial,,no longer needed.  too many issues,11.9,125.0
ruebelle,Other - please specify,"i has been great but its not fitting our team for now. the main thing is that we cant add quick notes with every sales order. It is cumbersome""""",8.6,125.0
axiumlistingpro,Not using their Method Account,Will revisit Method in the future but for now I do not have the need for it,5.1,124.0
allanchemicalcorporation2,Other - please specify,"We have spent quite a bit of time testing method as an application. Method is probably the best CRM on the market from Quickbooks integration, but it did not integrate in the areas we needed. At this time, we have decided not to move forward with the product.

Spoke with Phuong, this lead has tested Method several times, booked demos but didn t subscribe",0.2,123.0
KineticSolutions,Difficult UI,"We tried Method with our office scheduler and field staff. We received significant feedback that Method was not as intuitive for our service staff as Jobber which is the platform we had been using. My original goal with Method was better integration with QB online but I soon realized and was greatly disappointed that the two-way numbering only works with QB if we have custom transaction numbers turned off. We need to have that ability so we were back to manually having to enter invoice and estimate numbers. All in all, my team demanded the simplicity of Jobber. Out of the box, Jobber meets almost all of our needs and Method would require too much customization to get there. Thank you.",4.6,122.0
thepinchedpleatllc,Feature Gap,No ability to incorporate estimates into proposals.,1.1,122.0
mrinternational,Other - please specify,Too Expensive for CRM,0.4,122.0
s4sdental2,Difficult Workflows / Workflow Challenges,It's not quite suited to what we want to achieve as a dental lab.,2.3,122.0
acmouldingmillworktest,Other - please specify,Original is: acmouldingandmillworkltd,0.3,122.0
kingindustrialllc,Difficult to Customize,product is to basic out of the box and customizing is to difficult. ,18.7,122.0
windowsdoorsandmore3,Other - please specify,creating a new account as we connected this one to an incorrect file. thank you,0.2,122.0
windowsdoorsandmorefl,"Tech Issue - QuickBooks, Network, Initial Setup",information was not sharing/syncing in a timely manner.,2.7,122.0
tppinc,"Tech Issue - QuickBooks, Network, Initial Setup",too many issues with setup and never really accomplished what was needed in a reasonable time so we had to seek alternatives,3.3,122.0
selectdistribution3,Other - please specify,"too much options with in customer when working daily.
Sales reps need to make activity or notes and move on quickly.
Please remove pager and add social feeds within customers.",1.5,122.0
denovainc,Other - please specify,They would like to sync with their attachments and expenses from QB into Method CRM,0.0,122.0
duncanduncanmedicalincsb1633460,Difficult to Customize,"Need more functionality and customization, moving toward PipeDrive & HubSpot Sales Hub",34.9,122.0
chemicaldynamicsinc3,"Failure to adopt, train, and engage CRM users",Not using it,6.5,122.0
pgstoragesystemspteltd,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
pgstoragesystemspteltd2",0.2,122.0
tnvc,Other - please specify,"Unfortunately, we are no longer pursuing adding a CRM. We will contact if these changes down the road.",1.6,122.0
greenfoundryco,Not using their Method Account,My team did not use the platform enough to justify keeping it,7.5,122.0
mustangmh,Duplicate Account,Accidentally paid for another account when we only needed one.,14.6,122.0
spraydown,Other - please specify,wasnt suitable for the processes we require,0.2,122.0
sunstonempCo1,Integration Gap,"Not enough solutions out of the box and didnt want to pay to have you build something, and tried building apps myself but too complicated. I built own system using several apps and shopify and other crm also that rout doest charge per user and is less money for scaling into larger sales company. There are some drawbacks like not syncing with quickbooks but there are also other bebefits. Some applications I would have like to see with method much better are the following:  1. Dealer Portal with products they can purchase that syncs with quickbooks. 2. CRM which also shows dealers on MAP so sales people can identify their market and plan sales trips. 3. SOme more Custom Branding with own logo etc. ",8.3,122.0
utahmobility,Other - please specify,Main account user wants to use Zoho,0.4,122.0
zokosgroup,Other - please specify,dup,0.6,122.0
wilevco,Other - please specify,Not needed,0.3,122.0
bpcoilsCo1,Subscription price too high,Is becoming very expensive,21.6,122.0
bluewatercas,Other - please specify,Misunderstood ME. Doesnt need it. Wants to cancel so they can set up both independently.,0.4,122.0
weavertechnologies,Other - please specify,We cancelled our account in QuickBooks. I no longer have access to it.,0.9,122.0
twowayradiocom,Using another CRM Product,We did some CRM comparison's and found that Keap was a better fit for us. We never were able to get our QB's data to fully sync with Method.,1.2,122.0
usdryice2,Feature Gap,i thought it was suppose to be able to send texts messages and it was not full circle enough for me since you couldn't see the reply and also to cumbersome to use for email back and forth tried for 1 day top get it to work and still nothing.,0.5,122.0
hawaiihingesllc,Sold Business / Closing Company,YOU DID NOT LETY US DOWN WE ARE CLOSING THE BUSINESS  -THANKS,6.1,122.0
elmoremountainfarm,Other - please specify,You didn't let us down--the transition from our current CRM platform is no where as simple as I assumed it would be.  We need to work out some ideas as to how we will transition from our old platform.,0.8,122.0
solaronline3,Difficult Workflows / Workflow Challenges,not what we are looking for,1.5,122.0
acc86712,Difficult Workflows / Workflow Challenges,"Customer service was great, easy to use, just not a good fit for my application",5.7,122.0
cascadestainlesssolutionsllc,Difficult Workflows / Workflow Challenges,Did not like the usability.,20.5,122.0
zanottiusacorp,Difficult Workflows / Workflow Challenges,"Customer Comment - Not sure, just not a good fit.----------------------------------------------John came to Method because he felt he was going to outgrow QBO and eventually move to SAP.He was doing sales and accounting himself.  Their company deals with the Manufacturing of Refrideration equipment. He managed a group of external dealers who were responsible for working with End Users.Dealers had incredibly long sales cycles since they worked with contractors. He was also looking for a centralized place to capture his dealers / end-customers machinery specifically (refrigeration).",28.8,122.0
yusupovumar92atgmailcomscompany,Other - please specify,I am registering to other e-mail address ,0.5,122.0
sanantoniolaserengravning,Not using their Method Account,Too complicated to navigate. No enough info available without paying for time.,7.6,122.0
pottsdevicesandsystems,Other - please specify,Method looks too expensive for our requirements as a startup company.,0.2,122.0
rigalipackaging,Difficult Workflows / Workflow Challenges,"You  did not let us down, we are just going in a different direction. Thanks",13.4,122.0
midwestsidewalls,Other - please specify,We are connecting method to you desktop version instead of QBO. Will be making a new account today.,0.0,122.0
integritymfs2,Other - please specify,"I needed more details with the CRM system and decided on Nutshell. I did like the QB integration, but overall the Nutshell CRM was more robust with more sales accounting options.",1.2,122.0
cedarwooddistribution,Feature Gap,Not as functional as other crms,31.1,122.0
endaraenterprisesllc,Not using their Method Account,Not using,31.5,122.0
cmrsalesincdbainfanteultrasonics,Other - please specify,Joseph like Method CRM pricing and the sync with QB. However he needed more customizations on the Email Campaign side which he was not ready to pay. He will revisit Method CRM but for now he will continue to use Quickbooks and look for an email marketing tool,0.8,122.0
autec2,Other - please specify,Called the customer and they will not implement any CRM at the moment. They will continue to use what they are using right now,0.6,122.0
entrowholesale,"Failure to adopt, train, and engage CRM users","not at team level of managin and operating CRM, great product just not right time for us, thanks",2.9,122.0
threedenterprise,Other - please specify,Never got started.,0.5,122.0
southernprinting,Other - please specify,"Looking at setting up a POS system for now. May be looking at a CRM for sales in the spring, will followup",0.4,122.0
minneselameats,"Failure to adopt, train, and engage CRM users",need to have a system i can take payments on the go and keep track of the customers,1.9,122.0
riomobilityCANCELLED,Other - please specify,Switched to riomobility1,30.1,121.0
Supersonic,Non-payment,No response to hold,10.0,120.0
cgr,Other - please specify,Business changes.  This is a great platform. ,42.5,120.0
FreedomAirFiltration,Duplicate Account,New QB file and created new account. Marked exception,4.9,120.0
zenithglobalmktg,Difficult Workflows / Workflow Challenges,change in plans,13.2,120.0
ChampionGloves,Non-payment,No response to hold,4.9,120.0
AllProPackaging,,do not use it anymore,3.9,120.0
kitchensandworktopsltd,Other - please specify,They switched their QB from Desktop to Online. New account: kitchensandworktopsltd3,106.1,120.0
nvt,,waiting for version 2.0,4.1,120.0
ecoxotic,Non-payment,No response to hold,9.0,120.0
SajaCoffee,,Not using any unique features.,22.8,120.0
emco,Other - please specify,Customer is no longer using Method. ,63.2,120.0
PV,,Closing,22.3,120.0
elijahtooling3,,"We found that our users were having an easier time just using Outlook by itself.  Method wasn't automated enough, so taking the time to set everything up cost money on top of the monthly fee.  It is a decent CRM, just not suited for us.",6.0,120.0
Jaguar,,We do not utilize the software and can't afford the monthly charges. Thanks,13.6,120.0
xibeo,,"I was not at all satisfied with the level of customer service.  Our issues were not solved, though we tried several months working with you to address them.  I would not recommend this product.  We'll be going back to Goldmine.",3.1,120.0
kamdar,Other - please specify,Non-Payment,4.0,120.0
felixloeb,,moving to other product,7.1,120.0
FreakerUSA,,"Sales orders weren't syncing or if they did it would take too long. It REALLY slowed down the admin quickbooks. When we switched to QB15 it would automatically start syncing, which would mess things up.",11.1,120.0
VioskiManufacturingLLC,,Could not get it to work as i needed and it was taking too much time and money trying.,7.7,120.0
balancedguru2,,Found a different CRM solution better suited to our needs.,1.9,120.0
freskofood,Other - please specify,On Customer's request. He has another account called Fresko.,36.9,120.0
DedicatedPower,,not being used,2.8,120.0
BWFusion,Not using their Method Account,No longer need system,30.4,120.0
TeamPhoton,Other - please specify,"We would like to cancel our subscription before next cycle.""""",38.7,120.0
VentureHeatedClothing,,We found a different software that fits our needs.,10.6,120.0
TroubleFreeSkylightsInc,,"Unfortunately we haven't been able to use Method a lot as it is not really as usable in the field as we need it to be. And most of our work is done in the field. :( So, until we can have an actual app that connects to the desktop version with the same features in a more user friendly manner, we cannot really use it. The owner has asked me to disconnect. Possibly because he recently was charged and we haven't used method in over a month I believe. Ok. 
Well, sorry for having to stop it.",7.3,120.0
vangovapes,Other - please specify,Did not need it anymore,24.1,120.0
currentcultureh2o,Other - please specify,No longer needed,43.5,120.0
enlivenplanters3,Other - please specify,Using another service.,23.6,120.0
Rbiopharm,,System too complex for use,1.1,120.0
Entraway,,Have taken on a new accounting system,19.7,120.0
globalpaktrak13,,It's not user friendly and it's been very difficult for my employees to use.,8.0,120.0
KitchensToday,Other - please specify,Wasn't using it,11.2,120.0
SWSGroupInc,,"We felt the platform was to difficult to customize to our requirements. Our customer service team also found Method CRm cumbersome to navigate, particularily when trying to create reports regarding leads, sales etc. We are going back to Sales Force.",8.9,120.0
medfreeliving,Not using their Method Account,No longer using Method,21.0,120.0
DMMI,,It was hard getting in touch with your reps for help with questions & consultation about this software.,1.8,120.0
DAG,Difficult Workflows / Workflow Challenges,It’s not working for our company,11.0,120.0
SFMixology,,this is terrible crm software.,3.9,120.0
NoahsPark,Other - please specify,System too complicated for her staff to pick up - offered training but she doesn't think it would help - PW,12.0,120.0
MobileSmallBusinessApps,,Too much overhead for too little benefit.,4.1,120.0
independenceled,,Have never used the product in over two years. I have tried to set up and integrate and even consulted with two separate Method Solution Providers but have never been successful at getting Method to work for our company.,24.1,120.0
quantummachinery,Other - please specify,do not use account anymore. ,9.9,120.0
SoundQAV,,Loved the software. Had to cut cost... maybee later we can pick it back up...,5.1,120.0
EnergyConservationManagement,Due to economic reasons,The company has dissolved.,48.9,120.0
wholesaleirondoors,Using another CRM Product,"Our company outgrew QuickBooks, and we're operating in NetSuite now.",20.6,120.0
aconlabs,,done,9.2,120.0
LightsToGoInc,,"Method not being used by staff at this time.  May look for this in the future. 

Thanks.",15.4,120.0
PuremedyInc,,Owner was not satisfied and will be transferring to an all in one software. Thank you so much!,6.1,120.0
Meltsnow,Other - please specify,"System is not intuitive enough to sign up and start using. Rob wanted to have a Partner come out and help him set it up + customize it, but it was going to cost him way too much to do that.",7.6,120.0
traktolampllc,Feature Gap,Difficult to generate reports for backorders on sales order,48.2,120.0
JohnPaulSelect,Other - please specify,Bad experience with Partner. Closing this account and will probably open up a new account on his own - PW,5.0,120.0
ecofinishllc,Other - please specify,non-payment,35.0,120.0
engineeringsales,,No longer using method.,23.0,120.0
svgoods,Using another CRM Product,"New Software, included for free.",4.5,120.0
Morehouse,Other - please specify,"We need to cancel our service with your company completely. We have transitioned to an on-site system, which we plan to use going forward. We are also moving away from Quickbooks.",9.0,120.0
argusind,Not using their Method Account,"We have many reasons, all of which were outlined in serval emails to your customer service team over a span of several months.  ",6.8,120.0
MidsouthProwash,Non-payment,No response to hold,1.9,120.0
signalnutrition,Other - please specify,No need for service ,14.8,120.0
ModernMetal,Difficult UI,"Antiquated system, inability to integrate with current systems or adapt, too clunky",58.4,120.0
nationalt,,Have an account that is operable at ntgproducts,1.3,120.0
FamilyFarmSupply,Difficult Workflows / Workflow Challenges,Business is too small at this time for a CRM,9.1,120.0
DeadwoodBiofuels,,"Duplicate system to QuickBooks, not needed for National Accounts contacts. ",12.0,120.0
StirlingInsources,,We chose to move to a CRM that was easier to integrate with our other office systems,6.2,120.0
Metroledlight,Using another CRM Product,New CRM,52.2,117.0
solgaarddesigninc,Not using their Method Account,not giving refund when cancelling subscription is indicative of the lack of truly caring about the account,25.3,117.0
asvinventions,Not using their Method Account,"Just not using. 'I don't have time for all of this, we are just not using it anymore'----------------------------------------------Customer's needs were pretty simple, wanted to use the CRM + custom fields to keep track of their customers and get other employees helping with admin work.",38.1,117.0
environmentalsafetysolutionsinc,Not using their Method Account,Didn't utilize,10.6,117.0
amdiscountfurniture1,Using another CRM Product,Customer has tried the CRM 4x in the last year.They most recently wanted to use our field service module to help we delivering furniture to their customers. --------Find other solutions (Customer Reason),4.9,117.0
panca7,Other - please specify,"Migration Account
Churn Exception Reason: 
Duplicate Account
Other Account:
unm6",3.3,116.0
fireplacedoorsonline,,Method was missing the following features,2.0,116.0
unitytacticalllc,Feature Gap,Backorder Management.,12.0,115.0
harvestfuels,Not using their Method Account,"It has never worked for us. We don’t use the product. Unfortunately, its been a waste of money and we didn't realize we still have it until we are billed. We thought in the beginning we could customize a product that would be specific for our business and funnel it through quickbooks. It just hasn’t worked for us.",41.6,114.0
dimondbikes,Other - please specify,User another active account,21.4,114.0
floralexpress,Difficult Workflows / Workflow Challenges,Never realized value from the software.,9.2,113.0
dpilot,Other - please specify,Test Acc,0.5,113.0
vineproimports,Other - please specify,needs lots of customization for my use.,6.8,113.0
dxzinternational,Subscription price too high,too expensive,5.1,113.0
cohopsbrewingco,Feature Gap,"Customer Response: Program Sucks--------------------------------------------------Customer History:1.) They wanted a web portal where users could submit orders (like a shopping cart)2.) We created a portal Sales Order Solution for customers to create new orders.3.) However, additional investment in customization was required to accommodate their ordering process.",3.5,113.0
ntic,Other - please specify,Spammer,0.3,113.0
remarkusa,Other - please specify,after start using it.  It don't have all the functions that i need.  ,1.3,113.0
tributetax2,Not using their Method Account,no longer need this service please cancel this account as we no longer use it.,20.6,113.0
screeneze1,Not using their Method Account,.,77.5,112.0
jubileebrands,Not using their Method Account,Doesn't work well,12.9,112.0
smoochvapes,Other - please specify,"we find the system to complex to custom all the time and we are not interested in paying extra fees for the custom ongoing work

 

We will stick with QBO for the time being",0.5,112.0
zenhairCo1,Not using their Method Account,we do not require it anymore,14.6,111.0
allanchemicalcorporation,Other - please specify,"They are creating a new account, did a bad import in this.",0.1,111.0
tropicalacai,Other - please specify,no money,1.1,111.0
emulso,Difficult UI,My salespeople did not like the program.,1.7,111.0
collinbox3,Feature Gap,Sales team prefers to use another CRM that allows emails to be logged automatically and the ability to integrate with zoominfo / apollo,0.5,111.0
alexairapparatus2,Difficult Workflows / Workflow Challenges,"Changing pricing was a pain, also couldnt change who email/text quotes went to.",4.8,110.0
outdoorroomsbydesign,Other - please specify,Duplicate: outdoorroomsbydesignllc2,4.8,110.0
londontec,Other - please specify,it didnt work us espected,2.8,110.0
dcooper,Other - please specify,started a 2nd account,1.1,110.0
cobraenergyservices,"Failure to adopt, train, and engage CRM users",not actively using,9.7,110.0
suvatileCo1,Other - please specify,"Too complicated for what I want to do. All of your folks are great, very helpful. Thanks",1.0,110.0
utahicf2,Using another CRM Product,"Good afternoon Harsh, I am emailing you to let you know that I will be cancelling my Method subscription.  After 7 months of use, we have decided to switch to HubSpot CRM and move away from Method.  We have found Method to be good to use, but not great.",6.1,110.0
idealmfg,,Lack of support over the past few months. Hard to use,12.4,110.0
midwestairfil4,"Failure to adopt, train, and engage CRM users",WE are not ready to implement right now.,1.5,110.0
escanada,Other - please specify,"Hi Harsh,

Went with Hubspot.

Easier to modify the fields + project level vu for the deals + we realize the quickbook integration was not as important as we thought.

Thank you

Alain",0.7,110.0
saturnmaple,Other - please specify,I'm not happy,7.1,110.0
mannscreativedesigns,Other - please specify,You did not. We are a small company and we will need this eventually but right now the training and time to use this outweighs the benefits when we only have 100 customers to manage.,0.3,110.0
premierwindowtreatments,Subscription price too high,To much for our small business.,2.4,110.0
roma,Using QuickBooks Only (no other app),"We’ve decided to cancel our subscription because the CRM does not sync properly with our QuickBooks account, which creates inefficiencies in our accounting workflow. Additionally, our sales team hasn’t adopted the platform as expected, so it no longer fits our current needs.",5.2,110.0
jegrill,Not using their Method Account,We do not need it.,9.5,110.0
dgcosmetics,"Tech Issue - QuickBooks, Network, Initial Setup",My acvccounting person is out of office and it difficult the connection,3.9,110.0
TechRoll,No longer using QuickBooks,We are switching to NetSuite and going away from QuickBooks,68.8,110.0
thecornercabinet,Not using their Method Account,"the set up of the system didn't function well for us and therefore we had to customize a lot, which then lead to out of date customization, that had to expensively and continuously be updated. ",66.0,110.0
