Account Name,Vertical,Industry (Research),Website,Annual Sales
artcofabricsnorthamericainc2,Wholesale and distribution services (MWD),PENDING RESEARCH,me.com,"12,025"
gowesttshirtcompany,Manufacturing (MWD),PENDING RESEARCH,,"1,666,811"
rjdrews3,Wholesale and distribution services (MWD),PENDING RESEARCH,rjdrews.com,"1,995,024"
jjsprotap,Wholesale and distribution services (MWD),PENDING RESEARCH,,"167,988"
legacysipsllc,Manufacturing (MWD),PENDING RESEARCH,,432
bluewatercas2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,947,876"
revivalhome,Retail,PENDING RESEARCH,,"4,800"
pssmanufacturing,Manufacturing (MWD),PENDING RESEARCH,,"2,628,095"
mitralsolution,Manufacturing (MWD),PENDING RESEARCH,mitralsolution.com,"125,304"
flagguard,Retail,PENDING RESEARCH,gmail.com,0
coffeeman,Wholesale and distribution services (MWD),PENDING RESEARCH,,"182,652"
stonesystemsllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"3,506,907"
boninfantefriction2,Manufacturing (MWD),PENDING RESEARCH,boninfanteracing.com,"45,120,098"
kodiakbreakersandsuppliesinc,Retail,PENDING RESEARCH,,"1,576,278"
thermalbridgingsolutions,Wholesale and distribution services (MWD),PENDING RESEARCH,,"5,103,660"
statestreetproductsllc,Retail,PENDING RESEARCH,,0
freemansreachgreenhouses,Wholesale and distribution services (MWD),PENDING RESEARCH,,"831,953"
worryfreefood,Manufacturing (MWD),PENDING RESEARCH,,0
cefiro4,Wholesale and distribution services (MWD),PENDING RESEARCH,cefiro.ca,"1,859,841"
palmchemical,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
trueworldfoodsseattlellc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"12,409,675"
jellchemicals,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
rscinc2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"8,248,384"
masterchefpr2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,209,741"
alltrussinc,Manufacturing (MWD),PENDING RESEARCH,,0
bestquiltsewknitproductsltd,Wholesale and distribution services (MWD),PENDING RESEARCH,,"350,813"
harborcitysupply,Retail,PENDING RESEARCH,,"2,102,866"
donamireyainc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"3,136,648"
twentyoneagain,Manufacturing (MWD),PENDING RESEARCH,,"96,300"
independenteyewearcollective,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
shopsosafe,Retail,PENDING RESEARCH,,0
wcsoilworks,Manufacturing (MWD),PENDING RESEARCH,,0
rivergatedoorsupply,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
floorsandtilesinc2,Retail,PENDING RESEARCH,,"2,690"
jaecoortho,Manufacturing (MWD),PENDING RESEARCH,,"130,756"
cvhinternational,Manufacturing (MWD),PENDING RESEARCH,,"8,502,126"
dylanblakecustoms,Retail,PENDING RESEARCH,,0
hrroofingsupply,Wholesale and distribution services (MWD),PENDING RESEARCH,,"5,707,887"
sigscompany,Wholesale and distribution services (MWD),PENDING RESEARCH,,"12,162"
bcfluidpowerofflorence2,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
brazukacorp,Wholesale and distribution services (MWD),PENDING RESEARCH,,"448,678"
lubelska,Retail,PENDING RESEARCH,,"925,163"
cotektheamericas,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,586,103"
jollygl,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
earthworksnaturalorganics,Wholesale and distribution services (MWD),PENDING RESEARCH,,"23,772,698"
thunderbirdjewelryinc3,Retail,PENDING RESEARCH,,0
blissgourmet,Manufacturing (MWD),PENDING RESEARCH,,"922,470"
echolifellc,Retail,PENDING RESEARCH,,0
gsi2,Manufacturing (MWD),PENDING RESEARCH,,0
airtecusa,Wholesale and distribution services (MWD),PENDING RESEARCH,,"3,953,669"
terraboundsolutions,Retail,PENDING RESEARCH,,"1,408,958"
fetterenterprisesincdbadebrovys,Wholesale and distribution services (MWD),PENDING RESEARCH,,"11,973"
proautodealersupplyinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"771,025"
thebuyingnetwork2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,114,269"
evenmix,Manufacturing (MWD),PENDING RESEARCH,,"1,506,470"
turnkeylogisticsdbamegamaterials,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
terrastonellc2,Retail,PENDING RESEARCH,,"1,835,192"
marlinzpharma2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"7,914,293"
risecannabis,Retail,PENDING RESEARCH,,"298,224"
cmtenvironmetnalcontrols,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
absoluteworkwear,Manufacturing (MWD),PENDING RESEARCH,,"453,738"
jdcsupply,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,653,356"
metspeedlabel,Manufacturing (MWD),PENDING RESEARCH,,"5,372,292"
aragososouthllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"20,016"
ipibybison,Manufacturing (MWD),PENDING RESEARCH,,"2,650,186"
honestwaterfilter,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,598,511"
castlebar3,Wholesale and distribution services (MWD),PENDING RESEARCH,,72
oakridgefoamandcoatingsystemsinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,824,503"
dragonpowerpromo,Wholesale and distribution services (MWD),PENDING RESEARCH,,"201,477"
protronixcontrols3,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,868,670"
rawfood,Manufacturing (MWD),PENDING RESEARCH,,0
expresscrossdockingllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"385,835"
novalighting,Wholesale and distribution services (MWD),PENDING RESEARCH,,"13,426,652"
gonzalezcarpetsuppliesllc,Retail,PENDING RESEARCH,,"2,630,905"
octopusgdn,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,046,201"
advancedmarinefabricationllc2,Manufacturing (MWD),PENDING RESEARCH,,"328,284"
mobilitycityoflubbocktx,Wholesale and distribution services (MWD),PENDING RESEARCH,www.mobilitycity.com,0
stockman,Manufacturing (MWD),PENDING RESEARCH,manex-usa.com,"1,574,872"
eworkflows,Wholesale and distribution services (MWD),PENDING RESEARCH,,
laaztecafoods,Wholesale and distribution services (MWD),PENDING RESEARCH,,"6,662,658"
minagroafricaresources,Manufacturing (MWD),PENDING RESEARCH,,0
btlrtl2,Retail,PENDING RESEARCH,,0
latortillavelozinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"5,165,401"
sunshinedaydreamfarm,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
bcfluidpowerofflorence3,Wholesale and distribution services (MWD),PENDING RESEARCH,,"4,430"
goldanddiamonds,Retail,PENDING RESEARCH,,"47,247"
zendeskinc2,Retail,PENDING RESEARCH,,0
synergyelectricsales,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
emblembuilt,Manufacturing (MWD),PENDING RESEARCH,emblembuilt.com,"240,000"
koatji3,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,536,263"
judeclothingservice,Manufacturing (MWD),PENDING RESEARCH,,0
hengemiami,Retail,PENDING RESEARCH,,0
arkconcrete,Wholesale and distribution services (MWD),PENDING RESEARCH,,"9,835"
mccartyofficemachinesinc,Retail,PENDING RESEARCH,,"1,899,891"
hydroeci,Manufacturing (MWD),PENDING RESEARCH,,0
plainhonest,Retail,PENDING RESEARCH,,0
bellevilleindustries,Manufacturing (MWD),PENDING RESEARCH,,0
devtrial,Manufacturing (MWD),PENDING RESEARCH,,0
intelligentvistamedinc,Retail,PENDING RESEARCH,,0
pipeandmetalcenteroftexas,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
woodfieldpress,Wholesale and distribution services (MWD),PENDING RESEARCH,,"203,789"
cajunkleenproductsllc,Manufacturing (MWD),PENDING RESEARCH,cajunkleen.com,"387,495"
saeed3,Manufacturing (MWD),PENDING RESEARCH,,"1,958,197"
doorsmith,Manufacturing (MWD),PENDING RESEARCH,,"10,631,010"
dvt,Manufacturing (MWD),PENDING RESEARCH,,0
harmonyalexapressllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,167,568"
comfortworkspace,Wholesale and distribution services (MWD),PENDING RESEARCH,,"515,096"
trinivamanagementgroup,Manufacturing (MWD),PENDING RESEARCH,,0
capitalsuppliesinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,332,802"
aqbconsultancy,Retail,PENDING RESEARCH,,"120,000"
evitabletransportationagencyllc2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"42,072"
jrunited3,Wholesale and distribution services (MWD),PENDING RESEARCH,jrunited.com,0
miltonwbosleyandco,Manufacturing (MWD),PENDING RESEARCH,,"1,427,627"
unitedglobaltradingcorp9,Wholesale and distribution services (MWD),PENDING RESEARCH,unitedglobaltradingcorp.com,0
csw2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"390,830"
ampedsoftwareusa,Retail,PENDING RESEARCH,,"2,111,100"
handicapsign,Retail,PENDING RESEARCH,,0
m11errolqbdtrightdemo,Retail,PENDING RESEARCH,,"7,510"
bisonoutdoorproducts2,Wholesale and distribution services (MWD),PENDING RESEARCH,,"107,382"
environmentalequipment2,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
chipmunkhillwoodworking,Manufacturing (MWD),PENDING RESEARCH,,"2,281,574"
williselectricalsalesoftexas,Manufacturing (MWD),PENDING RESEARCH,williselectrical.com,0
cardinalcomms3,Retail,PENDING RESEARCH,cardinalcomms.com,"1,593,557"
cmshuster,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
anylabtestnow3,Retail,PENDING RESEARCH,,"117,320"
bostonwhaler,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
calpacificsupply,Retail,PENDING RESEARCH,,0
abcorlandolumberandhardware2,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
waccessoriesnyc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"2,828,007"
chicagofirefurniture2,Manufacturing (MWD),PENDING RESEARCH,,"26,160"
xinyujiangxicn,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
pittmanoilcompany,Wholesale and distribution services (MWD),PENDING RESEARCH,,"6,067,755"
brivester,Retail,PENDING RESEARCH,,"93,740,171"
tropicalroots,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
indigenousimaginationworkshop,Retail,PENDING RESEARCH,,"36,313"
deltalogisticsinc,Wholesale and distribution services (MWD),PENDING RESEARCH,glopak.com,"9,600"
ibidmachinery,Wholesale and distribution services (MWD),PENDING RESEARCH,,"15,444"
luxuryharrods,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
ptharargeneraltrading,Wholesale and distribution services (MWD),PENDING RESEARCH,,"7,084,716"
hifresh,Wholesale and distribution services (MWD),PENDING RESEARCH,,"65,427"
mngfoods,Wholesale and distribution services (MWD),PENDING RESEARCH,,"23,948"
acapp,Manufacturing (MWD),PENDING RESEARCH,,"182,568"
toronaturallabsltd,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
tweezerdistributors,Retail,PENDING RESEARCH,,"12,384,759,914"
zephyrbhs,Manufacturing (MWD),PENDING RESEARCH,,60
corbymechanicalservices,Manufacturing (MWD),PENDING RESEARCH,cms-spares.co.uk,"411,952"
frispycrispy,Retail,PENDING RESEARCH,,"7,564,204"
maritimegoodfood,Wholesale and distribution services (MWD),PENDING RESEARCH,,"668,538"
manexusa5restore20251219,Manufacturing (MWD),PENDING RESEARCH,manex-usa.com,"2,934,264"
supremeconceptsproprietarylimited,Retail,PENDING RESEARCH,,0
preferpack,Wholesale and distribution services (MWD),PENDING RESEARCH,,"3,808,650"
jandgculvertsinc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"1,689,436"
fabbian,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
bmdistributorsllc,Wholesale and distribution services (MWD),PENDING RESEARCH,,"825,927"
theappliancebarnfl,Retail,PENDING RESEARCH,,0
agoradistributioninc,Manufacturing (MWD),PENDING RESEARCH,,"980,483"
garcyusa,Manufacturing (MWD),PENDING RESEARCH,,0
test212,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
cravenscoffee,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
joeythecoffeeguy,Manufacturing (MWD),PENDING RESEARCH,,0
aeromarinebiotechllc,Manufacturing (MWD),PENDING RESEARCH,,"610,920"
trikketechinc,Manufacturing (MWD),PENDING RESEARCH,trikke.com,"2,294,395"
dukesmetal,Wholesale and distribution services (MWD),PENDING RESEARCH,,"14,509,137"
simplywardrobes,Retail,PENDING RESEARCH,,0
hyfloequipmentcompany3restore20260106,Retail,PENDING RESEARCH,,"4,837,738"
m11megaelevatorparts2qbdttoqbdt,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
allantest,Manufacturing (MWD),PENDING RESEARCH,,0
test188,Retail,PENDING RESEARCH,,0
m11harmanqbdtdesktop,Manufacturing (MWD),PENDING RESEARCH,,"6,044,178"
georgiapowdercoating3restore20251005,Manufacturing (MWD),PENDING RESEARCH,,0
strigliaenterprisesdemos,Manufacturing (MWD),PENDING RESEARCH,striglia.net  and cloudservicegeeks.com,0
georgiapowdercoating2restore20250813,Manufacturing (MWD),PENDING RESEARCH,,0
tppincrestore20250705,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
tppincrestore20250625,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
m11leonidas2,Retail,PENDING RESEARCH,,0
m11michaeldemo2025,Manufacturing (MWD),PENDING RESEARCH,,0
m11populatorqbdt,Retail,PENDING RESEARCH,,0
m112025salesa,Wholesale and distribution services (MWD),PENDING RESEARCH,,"924,876"
m11nirmithdalmeida,Retail,PENDING RESEARCH,,0
m11arshimt,Retail,PENDING RESEARCH,,0
rainbowconcreteindustrieslimitedrestore20251124,Manufacturing (MWD),PENDING RESEARCH,,0
m11qbdtmethodlearns,Retail,PENDING RESEARCH,,"7,680"
gtsimulatorsrestore20250502,Retail,PENDING RESEARCH,www.ibtcusa.com,0
progressivewestman3restore20250625,Wholesale and distribution services (MWD),PENDING RESEARCH,progressivewestman.ca,0
progressivewestman3restore20250703,Wholesale and distribution services (MWD),PENDING RESEARCH,progressivewestman.ca,0
m11harmanluxbranding,Retail,PENDING RESEARCH,,0
m18milafieldservices,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
terrapin2restore20251202,Manufacturing (MWD),PENDING RESEARCH,gmail.com,0
m11newinderqbo,Wholesale and distribution services (MWD),PENDING RESEARCH,,"76,863"
m11katherinquijano,Manufacturing (MWD),PENDING RESEARCH,,0
m11tfriedlapril4th2024,Wholesale and distribution services (MWD),Printed Circuit Board Manufacturing Equipment & Supplies,,0
m11ayushipatel,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
m11yasarzamanmethodlearns,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
m11karman,Retail,PENDING RESEARCH,,0
m11weightechusaqbdttoqbdtrestore20240220,Retail,PENDING RESEARCH,,0
legalpuppymill,Retail,PENDING RESEARCH,,0
transmetroninc3restore20250119,Retail,PENDING RESEARCH,gmail.com,0
transmetroninc3restore20250218,Retail,PENDING RESEARCH,gmail.com,0
m11glicksmanglicklane,Retail,PENDING RESEARCH,,0
m11justincos,Retail,PENDING RESEARCH,,0
enzusaincrestore20251223,Manufacturing (MWD),Sewer & Pipe Cleaning Equipment - Water Jetting Technology,enz.com,"5,908,753"
m11jakemurrayqbdtc,Retail,PENDING RESEARCH,,0
cbsi,Manufacturing (MWD),PENDING RESEARCH,live.com,0
vipsupplycorestore20250904,Retail,PENDING RESEARCH,vipsupplyco.com,0
vipsupplycorestore20250903,Retail,PENDING RESEARCH,vipsupplyco.com,0
vipsupplycorestore20250915,Retail,PENDING RESEARCH,vipsupplyco.com,0
getboldrestore20250306,Manufacturing (MWD),PENDING RESEARCH,getbold.com,0
b2bepartners,Manufacturing (MWD),PENDING RESEARCH,www.b2bepartners.com,0
kearfabricationrestore20251218,Manufacturing (MWD),PENDING RESEARCH,kearmfg.com,"3,022,005"
retrocraft,Manufacturing (MWD),PENDING RESEARCH,retrocraft.co.za,0
rightnetworks5,Retail,PENDING RESEARCH,,0
m11testaccount3,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
megaelevatorparts2restore20250904,Wholesale and distribution services (MWD),PENDING RESEARCH,pnatc.com,0
megaelevatorparts2restore20251119,Wholesale and distribution services (MWD),PENDING RESEARCH,pnatc.com,0
m11prestigeislandexportsmigration,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
walicom,Wholesale and distribution services (MWD),PENDING RESEARCH,gmail.com,"1,568,823"
m11accountqboappstore1,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
westerndovetailinc2restore20250523,Manufacturing (MWD),PENDING RESEARCH,drawer.com,0
westerndovetailinc2restore20251001,Manufacturing (MWD),PENDING RESEARCH,drawer.com,0
westerndovetailinc2restore20251006,Manufacturing (MWD),PENDING RESEARCH,drawer.com,0
westerndovetailinc2restore20251014,Manufacturing (MWD),PENDING RESEARCH,drawer.com,0
m11marinaqbg,Retail,PENDING RESEARCH,,0
m11NonSyncingApps,Retail,PENDING RESEARCH,,0
m11errolqbdt20211105,Retail,PENDING RESEARCH,,0
pinnacleindustrialsupplyrestore20250910,Wholesale and distribution services (MWD),PENDING RESEARCH,pinnacleca.com,0
pinnacleindustrialsupplyrestore20251007,Wholesale and distribution services (MWD),PENDING RESEARCH,pinnacleca.com,0
m11carpetcleaningxero049,Retail,PENDING RESEARCH,,0
pcjuicerestaurant,Manufacturing (MWD),PENDING RESEARCH,,0
pl32457001,Retail,PENDING RESEARCH,,0
hettagloggrestore20250218,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
PopAndSkateCompany2021,Manufacturing (MWD),PENDING RESEARCH,,0
m11testQBDTAnna,Retail,PENDING RESEARCH,,0
DMM2021,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
knexmethodrestore20241222,Manufacturing (MWD),PENDING RESEARCH,knex-ww.com,0
knexmethodrestore20250209,Manufacturing (MWD),PENDING RESEARCH,knex-ww.com,0
knexmethodrestore20250325,Manufacturing (MWD),PENDING RESEARCH,knex-ww.com,0
m11QAXeroAccount1,Retail,PENDING RESEARCH,,0
m11MilaMulticurrencyUS,Manufacturing (MWD),PENDING RESEARCH,,0
m11MilaMulticurrencyCA,Retail,PENDING RESEARCH,,0
m18ErrolFieldServices,Manufacturing (MWD),PENDING RESEARCH,,0
m11milaautoqboca6,Retail,PENDING RESEARCH,,0
m1testmethod,Retail,PENDING RESEARCH,,0
m11AnjaliBootcamp,Manufacturing (MWD),PENDING RESEARCH,,0
TemplateMethodNewXero,Retail,PENDING RESEARCH,,0
saasdirectCo1,Manufacturing (MWD),PENDING RESEARCH,,0
yoderbiltrestore20251215,Manufacturing (MWD),Outdoor Living Products Manufacturing,yoderbilt.com,"2,925,213"
m11vgqbo,Retail,PENDING RESEARCH,,0
m11milaautoqboca4,Retail,PENDING RESEARCH,,0
labelbubble,Retail,PENDING RESEARCH,,0
m11AcentrixStockCA,Retail,PENDING RESEARCH,,0
tfriedlrestore20231025,Wholesale and distribution services (MWD),Printed Circuit Board Manufacturing Equipment & Supplies,,0
tfriedlrestore20240612,Wholesale and distribution services (MWD),Printed Circuit Board Manufacturing Equipment & Supplies,,0
m11StockAppsQBDT,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
best4youservicescom,Manufacturing (MWD),PENDING RESEARCH,,0
best4u,Manufacturing (MWD),PENDING RESEARCH,,0
dhsoftwarealliance1,Manufacturing (MWD),PENDING RESEARCH,,0
m11ErrolZapier,Manufacturing (MWD),PENDING RESEARCH,,0
m11ErrolQBDTCustomize,Manufacturing (MWD),PENDING RESEARCH,,"221,016"
afghanicts,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
cunninghampianocorestore20250515,Retail,PENDING RESEARCH,,0
cunninghampianocorestore20250526,Retail,Piano Sales & Service,,0
blkcorprestore20240930,Wholesale and distribution services (MWD),Shadow Board & Foam Inlay Manufacturing,,0
blkcorprestore20251119,Wholesale and distribution services (MWD),Shadow Board & Foam Inlay Manufacturing,,0
dimagesinc,Manufacturing (MWD),PENDING RESEARCH,,"16,734"
fujimatsrestore20251204,Manufacturing (MWD),Sporting Goods Manufacturing - Martial Arts Equipment,,"108,284"
m11methoddanst,Retail,PENDING RESEARCH,,0
ctrestore20251124,Wholesale and distribution services (MWD),European Tile & Stone Importing - Premium Ceramics,,0
m11errolpuzzles,Manufacturing (MWD),PENDING RESEARCH,,0
m11sammydemo,Manufacturing (MWD),PENDING RESEARCH,,0
hidcorindrestore20241027,Manufacturing (MWD),PENDING RESEARCH,,0
hidcorindrestore20241124,Manufacturing (MWD),PENDING RESEARCH,,0
agralarm1restore20241015,Manufacturing (MWD),PENDING RESEARCH,,0
agralarm1restore20251012,Manufacturing (MWD),Agricultural Monitoring & Alarm Systems - Poultry/Livestock,,0
elmusarestore20250420,Wholesale and distribution services (MWD),MULTIPLE COMPANIES - Requires Clarification,,0
elmusarestore20250529,Wholesale and distribution services (MWD),MULTIPLE COMPANIES - Requires Clarification,,0
templatepsqboglobal,Manufacturing (MWD),PENDING RESEARCH,,0
m11demomarciaqbd,Retail,PENDING RESEARCH,,0
atlanticgraphicsrestore20250507,Manufacturing (MWD),Printing Machinery Distribution - New & Pre-Owned,,0
m11methodyuriint,Manufacturing (MWD),PENDING RESEARCH,,0
globalgatecontrolsrestore20250303,Retail,Access Control Equipment Distribution,,0
ntgproductsrestore20251031,Manufacturing (MWD),Precision Tool & Centerless Grinding Services,,0
demootbt,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
pcdoctor,Retail,PENDING RESEARCH,,0
templatecas,Wholesale and distribution services (MWD),PENDING RESEARCH,www.businessqb.com,0
templatekerryriddle,Wholesale and distribution services (MWD),PENDING RESEARCH,www.riddleinc.net,0
templatepaulettedreher,Manufacturing (MWD),PENDING RESEARCH,,"6,832,607"
templatedavidglantz,Wholesale and distribution services (MWD),PENDING RESEARCH,,0
