account,industry,sub_industry,workflow_pattern,total_events,classification_source,confidence,website,annual_sales,qbo_industry
vortex2,Consumer Goods,Jewelry,transactional,967,llm_classification,medium,sbsassociates.com,"4,448,367",Manufacturing
galaxy2,Other,Unclassified,crm_pipeline,782,unclassified,,galaxygroupcorp.com,0,WholesaleDistributionandSales
atlanticrestaurantandsupermarketequipment,Consumer Goods,Jewelry,crm_pipeline,8755,llm_classification,medium,atlanticse.net,0,WholesaleDistributionandSales
perlite,Food & Beverage,Spirits,crm_pipeline,108,llm_classification,medium,perlite.com,"323,106",
planetarydesign2,Food & Beverage,Coffee,mixed,1578,llm_classification,medium,planetarydesign.us,0,WholesaleDistributionandSales
pfpspokane2,Industrial,Air Filtration,transactional,13251,manual_verification,high,pfpspokane.com,"3,065,439",wholesale_distribution
sixdegreesnorthbeveragegroup,Food & Beverage,Coffee,transactional,7278,llm_classification,medium,sixdegreesnorth.net,"5,185,292",
brewersicecompanyllc,Food & Beverage,Craft Beer,mixed,808,llm_classification,medium,yahoo.com,"533,102",
yudoinc,Consumer Goods,Jewelry,crm_pipeline,311,llm_classification,medium,www.yudo.com,"11,348,359",
quipementsvegtech,Technology,Software/Technology,quote_driven,103,llm_classification,medium,vegtech.ca,"4,260,186",
periodmouldings2,Construction & Building,Mouldings/Millwork,mixed,1501,manual_verification,high,periodmouldings.co.uk,"330,575",
fuelinjectorclinic2,Consumer Goods,Jewelry,crm_pipeline,2299,llm_classification,medium,fuelinjectorclinic.com,"5,698,557",wholesale_distribution
aandmdiscountfurniture4,Consumer Goods,Jewelry,transactional,4384,llm_classification,medium,amdiscountfurniture.com,"4,229,494",RetailSummary
mustangnorth,Industrial,Material Handling Equipment,quote_driven,2500,manual_verification,high,mustangmh.com,"6,031,579",WholesaleDistributionandSales
pma13,Consumer Goods,Jewelry,quote_driven,16365,llm_classification,medium,clarkesystems.com,"3,275,615",Manufacturing
energycurve,Retail,Retail/General,quote_driven,2278,manual_verification,low,energycurve.com,0,AgricultureRanchingorFarming
ebamethod,Industrial,Power Tools/Drilling Equipment,transactional,10009,manual_verification,high,euroboor.com,"3,769,720",
flooringrva,Construction & Building,Flooring,crm_pipeline,11508,manual_verification,high,flooringrva.com,"2,947,351",
halosilinternationalnxtllc,Other,Unclassified,quote_driven,134,unclassified,,halosil.com,"859,722",Manufacturing
area51sportsltd,Consumer Goods,Jewelry,transactional,1682,llm_classification,medium,area51sports.ca,"612,350",
championproducts2,Industrial,Industrial Supplies,transactional,1352,manual_verification,low,championproductsusa.com,"5,084,980",WholesaleDistributionandSales
atlanticindustrialcorp,Industrial,Industrial Distribution,transactional,1113,manual_verification,high,atlanticindustrialcorp.com,"1,490,479",GeneralProductbasedBusiness
nationalfiltersupply,Industrial,Filtration,crm_pipeline,30,llm_classification,medium,natfiltsupply.com,0,
jemmcollc,Other,Unclassified,quote_driven,104,unclassified,,jemmco.com,"808,967",wholesale_distribution
goldnerdockconstruction,Consumer Goods,Jewelry,quote_driven,3431,llm_classification,medium,goldnerdock.com,"5,496,663",Marine Construction
limbbusterllc,Industrial,Tree Trimming Equipment,crm_pipeline,5179,manual_verification,high,limbbuster.com,"6,111,300",
pghorticulturelimited,Consumer Goods,Jewelry,quote_driven,853,llm_classification,medium,pghorticulture.co.uk,"858,243",
wearingwilliamsltd2,Consumer Goods,Jewelry,transactional,6131,llm_classification,medium,wearingwilliams.com,"881,172",
tandssalesinc,Food & Beverage,Craft Beer,quote_driven,67,llm_classification,medium,nwgrainaugers.com,"11,043,004",other
commfitness3,Construction & Building,Flooring,crm_pipeline,704,llm_classification,medium,commfitness.com,"3,478,797",sales_manufacturers-rep
transmetroninc3,Industrial,Distribution/Shipping,transactional,1217,manual_verification,medium,gmail.com,"734,341",retail
whiteherrinmetals,Manufacturing,Metal Fabrication,quote_driven,426,llm_classification,medium,whiteherrinmetals.com,"4,742",
hongkongmarket,Other,Unclassified,crm_pipeline,44,unclassified,,hongkongmarketvegas.com,0,Wholesale/Distribution
luxuryair,Construction & Building,HVAC,transactional,176,llm_classification,medium,gmail.com,0,Online & Wholesale Retailers
dalmatianfireequipment,Safety Equipment,Fire Safety,mixed,1533,llm_classification,medium,dalmatianfire.com,"2,843,749",Manufacturing
jdshouseoftrophies,Consumer Goods,Awards/Trophies,transactional,8943,manual_verification,high,jdshot.com,"701,116",
autorescuetools,Industrial,Tools/Hardware,transactional,2591,llm_classification,medium,autorescuetools.com,"3,407,880",AutomotiveSalesorRepair
jafedecorating,Food & Beverage,Spirits,quote_driven,57,llm_classification,medium,jafedeco.com,"8,293,774",Manufacturing
acheerfulgiver,Consumer Goods,Home Fragrance/Candles,mixed,16164,manual_verification,high,acheerfulgiver.com,"3,748,792",OtherNone
informedag3,Food & Beverage,Spirits,quote_driven,127,llm_classification,medium,informedag.com,"270,522",
americanlithiumenergy2,Food & Beverage,Spirits,quote_driven,72,llm_classification,medium,americanlithiumenergy.com,0,
baconmail,Consumer Goods,Pet/Garden Supplies,transactional,1973,manual_verification,medium,baconproducts.com,"2,923,191",Manufacturing
prionesource,Construction & Building,Doors & Windows,quote_driven,903,llm_classification,medium,prionesource.com,"625,920",
enzusainc,Industrial,Sewer Cleaning Equipment,crm_pipeline,2316,manual_verification,high,enz.com,"10,127,687",GeneralProductbasedBusiness
buddyventuresinternationalltd2,Other,Unclassified,transactional,187,unclassified,,gmail.com,"185,590",
americanbackcountry,Consumer Goods,Apparel,quote_driven,1444,llm_classification,medium,americanbackcountry.com,"23,178,055",Wholesale/Distribution
fencetrac2,Construction & Building,Fencing/Decking,crm_pipeline,994,llm_classification,medium,fencetrac.com,"2,068,912",GeneralServicebasedBusiness
accurateforklift3,Industrial,Material Handling Equipment,transactional,21156,manual_verification,high,accurateforklift.net,"15,898,987",Manufacturing
cappadociarugsllc,Food & Beverage,Spirits,transactional,57,llm_classification,medium,yahoo.com,"827,490",Home furnishing merchant wholesalers
muleresophonicguitars,Other,Unclassified,transactional,140,unclassified,,www.muleresophonic.com,"1,162,943",
wktrincdbafloridadocks,Other,Unclassified,crm_pipeline,102,unclassified,,fldocks.com,"142,642",WholesaleDistributionandSales
halderinc,Other,Unclassified,crm_pipeline,226,unclassified,,halderusa.com,"13,511,763",
flowmeasurementservices,Other,Unclassified,quote_driven,262,unclassified,,flowmeasurementservices.com,"4,115,249",
ambessenterprisesinc3,Other,Unclassified,mixed,631,unclassified,,ambess.com,"5,847,530",WholesaleDistributionandSales
spatialgenomics3,Other,Unclassified,crm_pipeline,62,unclassified,,spatialgenomics.com,"174,279",
qualityflooring,Construction & Building,Flooring,quote_driven,1179,llm_classification,medium,qfjax.com,"2,489,336",contractor
southwestenvirotxpartnersllc,Other,Unclassified,quote_driven,956,unclassified,,lmbizsolutions.com,"43,860",
hattrickdistributioninc,Construction & Building,Doors & Windows,mixed,2340,llm_classification,medium,voodoolabs.co,"3,022,009",
kinetictoolsinc,Industrial,Tools/Hardware,crm_pipeline,687,llm_classification,medium,gmail.com,"14,436,255",gen_service-based_bus
steerintrailersales,Food & Beverage,Craft Beer,quote_driven,99,llm_classification,medium,steerin.com,"21,134,931",AutomotiveSalesorRepair
vipsupplyco,Industrial,Safety Supplies,mixed,2031,manual_verification,medium,vipsupplyco.com,"2,575,955",
cggschmidt2,Industrial,Woodworking Tools,quote_driven,3385,manual_verification,high,sbsassociates.com,"2,033,072",AccountingorBookkeeping
topsecretcustoms,Other,Unclassified,quote_driven,598,unclassified,,topsecretcustoms.com,0,GeneralProductbasedBusiness
getbold,Consumer Goods,Apparel,quote_driven,2391,llm_classification,medium,getbold.com,"2,826,447",
smokinggoose2,Food & Beverage,Artisan Meats/Charcuterie,crm_pipeline,3324,manual_verification,high,smokinggoose.com,"6,751,903",Manufacturing
saveonlaser,Technology,Printer Supplies/Toner,quote_driven,2965,manual_verification,high,saveonlaser.ca,"702,010",
aplpg3,Other,Unclassified,quote_driven,92,unclassified,,aplpg.com,"5,578,344",WholesaleDistributionandSales
cumsausa,Other,Unclassified,mixed,1055,unclassified,,cumsausa.com,"596,572",
vintagemakesllc,Food & Beverage,Wine,transactional,2373,llm_classification,medium,vintagemakers.com,"2,753,209",WholesaleDistributionandSales
kearfabrication,Construction & Building,Doors & Windows,quote_driven,2328,llm_classification,medium,kearmfg.com,"4,414,808",Manufacturing
tripdrip,Consumer Goods,Hemp/Cannabis Products,transactional,14027,manual_verification,high,trip-drip.com,"4,742,790",
elysianlabsllc3,Healthcare & Medical,Lab Equipment,transactional,108,llm_classification,medium,elysianlabs.co,"33,051",
vcssalesanddistribution,Food & Beverage,Craft Beer,transactional,336,llm_classification,medium,vcsdistribution.com,"463,584",
siquesttechnologysdnbhd,Technology,Software/Technology,crm_pipeline,165,llm_classification,medium,siquest.net,"8,324,771",
foodsalive,Food & Beverage,Food Distribution,mixed,3854,llm_classification,medium,foodsalive.com,0,AgricultureRanchingorFarming
adkfragrancefarm,Consumer Goods,Home Fragrance,transactional,70,llm_classification,medium,adkfragrancefarm.com,"2,187,744",Manufacturing
iceworksbathco,Manufacturing,Cold Therapy Equipment,quote_driven,1091,manual_verification,high,outlook.com,"1,355,787",
welshhottubs2,Other,Unclassified,crm_pipeline,32,unclassified,,welshhottubs.co.uk,"667,415",
blueridgescreenproducts,Industrial,Screen Printing Equipment,transactional,7600,manual_verification,high,blueridgescreenproducts.com,"6,507,690",
delmarvadesigncenter,Construction & Building,Flooring,transactional,7824,llm_classification,medium,gmail.com,"10,327,431",
lumienlighting,Electrical,Lighting,quote_driven,136,llm_classification,medium,lumienlighting.com,"5,481,373",Manufacturing
millibar,Food & Beverage,Spirits,crm_pipeline,120,llm_classification,medium,millibar.com,0,Manufacturing
lafittesseafood,Food & Beverage,Seafood,transactional,7642,llm_classification,medium,lafitteseafood.com,"4,840,977",
sterlinghardwareltd,Industrial,Tools/Hardware,transactional,3327,llm_classification,medium,sterlinghardware.ca,"6,213,324",WholesaleDistributionandSales
sawsolutionsinc,Other,Unclassified,crm_pipeline,16,unclassified,,sawsolutions.com,0,WholesaleDistributionandSales
actionlighting,Construction & Building,Doors & Windows,quote_driven,2301,llm_classification,medium,actionlighting.com,"1,072,672",Manufacturing
endlessfunllc,Consumer Goods,Novelty Products,quote_driven,1635,manual_verification,medium,,"2,774,086",ManufacturerRepresentativeorAgent
fibonaccillc,Food & Beverage,Spirits,mixed,1734,llm_classification,medium,,"913,044",
victorcastilloincdbatortilleriatemecula,Food & Beverage,Tortilla Manufacturing,transactional,3865,manual_verification,high,gmail.com,"407,897",
surfaceteccorp3,Other,Unclassified,transactional,676,unclassified,,surfaceteccorp.com,"2,224,008",
rhinoskintoughusainc,Consumer Goods,Beauty/Personal Care,transactional,2846,llm_classification,medium,gmail.com,"510,649",Wholesale trade agents and brokers
traxandmore,Other,Unclassified,crm_pipeline,19,unclassified,,traxandmore.com,0,WholesaleDistributionandSales
holdit,Retail Fixtures & Display,POS Display Solutions,quote_driven,57216,manual_verification,high,holdit.co.za,"24,661,439",8
permarkbadges2,Consumer Goods,Promotional Products,transactional,5241,manual_verification,high,permarkbadges.com,"653,560",General Product-based Business
northamericamattresscorp,Furniture,Furniture,mixed,2143,llm_classification,medium,namattress.com,0,(No Type)
multiseal2,Automotive,Tire Sealants,quote_driven,30177,manual_verification,high,multiseal.us,"3,951,985",
netzerousa2,Other,Unclassified,quote_driven,534,unclassified,,netzero-usa.com,"2,156,565",ConstructionTradesPlumberElectricianHVAC
unicellsupply2,Healthcare & Medical,Medical Equipment,transactional,2672,llm_classification,medium,unicellsupply.com,"208,753",
dolphinheatexchangerusa,Manufacturing,Radiators/Heat Exchangers,mixed,2374,manual_verification,high,dolphinradiator.com,"11,145,897",
procurementequipment,Industrial,Industrial Supplies Distribution,quote_driven,32314,manual_verification,high,www.pe-energy.com,"14,393,508",WholesaleDistributionandSales
nationalkitchensbathsandmore1,Construction & Building,Doors & Windows,transactional,172,llm_classification,medium,nkbmd.com,"1,881,960",
bodegatile,Construction & Building,Flooring,quote_driven,18713,llm_classification,medium,bodegatile.com,"3,381,460",ConstructionTradesPlumberElectricianHVAC
repssinc,Food & Beverage,Spirits,mixed,1819,llm_classification,medium,repss.com,"6,791,940",sales_manufacturers-rep
mobilitycityofomaha,Other,Unclassified,transactional,1006,unclassified,,www.mobilitycity.com,"608,563",Medical Equipment and Supplies Manufacturing
thewristbandcompany,Construction & Building,Flooring,mixed,821,llm_classification,medium,thewristbandcompany.co.uk,"455,345",
jouffreinc2,Other,Unclassified,quote_driven,756,unclassified,,jouffre.com,"6,185,058",Upholstered household furniture manufacturing
botanaway,Healthcare & Medical,Contract Manufacturing (cGMP),transactional,51439,manual_verification,high,botanaway.com,"34,341,260",
sierraloghomes,Construction & Building,Log Homes,quote_driven,846,manual_verification,high,sierraloghomes.com,"2,366,505",
paladinpower2,Other,Unclassified,quote_driven,311,unclassified,,paladinpower.com,"1,831,224",
hccigarsdaytonallc2,Other,Unclassified,quote_driven,774,unclassified,,gmail.com,"590,359",
johnmarksre2,Food & Beverage,Spirits,crm_pipeline,18,llm_classification,medium,artfit3d.com,0,Printing
kingoillubricantsllc,Food & Beverage,Spirits,quote_driven,2916,llm_classification,medium,kingoillubricants.com,"1,931,934",Manufacturing
theattachmentcompanyllc,Other,Unclassified,crm_pipeline,68,unclassified,,attachmentco.com,"1,849,192",
privatelabelsupport,Healthcare & Medical,Lab Equipment,transactional,5579,llm_classification,medium,privatelabelsupport.com,"965,620",Wholesale
bignotemusic,Food & Beverage,Spirits,transactional,5511,llm_classification,medium,bignotemusic.com,"945,851",RepairandMaintenance
kandbfloorcoveringllc,Construction & Building,Flooring,quote_driven,2561,llm_classification,medium,kandbfloorcovering.com,"714,320",Flooring Contractors
imperialprivacysystemsllc,Healthcare & Medical,Privacy Systems,quote_driven,17966,manual_verification,high,imperialprivacy.com,"4,156,174",
roadrunner2,Industrial,Sanitary Supplies,transactional,21284,manual_verification,medium,gmail.com,"1,947,479",wholesale_distribution
cathxmedicalinc2,Food & Beverage,Spirits,crm_pipeline,54,llm_classification,medium,zeusinc.com,0,Manufacturing
georgiastage,Food & Beverage,Spirits,quote_driven,3831,llm_classification,medium,georgiastage.com,"10,313,373",Manufacturing
doozlandllc,Other,Unclassified,quote_driven,449,unclassified,,,"9,294,095",Fruit and vegetable markets
maxinesniderinc,Other,Unclassified,quote_driven,73,unclassified,,,"163,442",
camachocoffee,Food & Beverage,Coffee,transactional,2906,llm_classification,medium,,"519,377",Coffee and tea manufacturing
impulseradarusainc,Other,Unclassified,quote_driven,192,unclassified,,impulseradar.se,"14,175,969",
profwhytekratom,Food & Beverage,Kratom Products,quote_driven,6423,manual_verification,high,,"5,319,771",
hsabearings,Consumer Goods,Jewelry,transactional,5136,llm_classification,medium,hsabearings.com,"3,078,708",WholesaleDistributionandSales
durabikelocker,Security Equipment,Safes/Security,quote_driven,87,llm_classification,medium,durabikelocker.com,"2,953,618",
heritagesheds,Other,Unclassified,quote_driven,607,unclassified,,heritagesheds.net,"632,210",ConstructionGeneralContractor
hydeparkpartners,Other,Unclassified,quote_driven,220,unclassified,,hydeparkpartners.us,0,WholesaleDistributionandSales
animalhospitalsupplyinc2,Healthcare & Medical,Medical Equipment,quote_driven,1271,llm_classification,medium,animalhospitalsupply.com,"5,917,318",WholesaleDistributionandSales
colorantic,Construction & Building,Paint/Coatings,mixed,1934,manual_verification,high,colorantic.com,0,
access2mobilityinc,Healthcare & Medical,Mobility Equipment,transactional,6059,manual_verification,high,access2mobility.com,"8,617,750",other
goodchemistry,Healthcare & Medical,Medical Equipment,transactional,219,llm_classification,medium,,"10,578,320",NonProfit
perine2,Other,Unclassified,mixed,15988,unclassified,,gmail.com,"967,186",WholesaleDistributionandSales
inspiredsciencesllc,Healthcare & Medical,Spa/Wellness Products,quote_driven,8306,manual_verification,high,www.thermablisswellness.com,"1,451,085",
cashionfishingrods2,Food & Beverage,Seafood,mixed,1006,llm_classification,medium,cashionrods.com,"2,822,538",
lampnutra2,Electrical,Lighting,transactional,18666,llm_classification,medium,lampnutra.com,"5,414,180",
rlhindustriesinc2,Technology,Fiber Optic Equipment,quote_driven,23692,manual_verification,high,fiberopticlink.com,"11,981,957",Manufacturing
prestigeislandexports,Construction & Building,Doors & Windows,transactional,550,llm_classification,medium,prestigeislandexports.com,"174,281,058",All other specialty trade contractors
lancoacquisitionllc,Retail,E-commerce Reseller,quote_driven,1876,manual_verification,medium,lanco-corp.com,"6,549,749",
wholelogreclaimed3,Food & Beverage,Spirits,quote_driven,421,llm_classification,medium,wholelogreclaimed.com,"366,507",
ameritechfacilitysupplyllc,Construction & Building,Doors & Windows,quote_driven,2166,llm_classification,medium,ameritechfs.com,0,WholesaleDistributionandSales
cpffloorsllc,Construction & Building,Flooring,transactional,41324,manual_verification,high,cpffloors.com,"13,332,885",
jpmdistributors,Other,Unclassified,transactional,82,unclassified,,thegreenblazer.com,0,
vtechnicaltextiles,Construction & Building,Flooring,crm_pipeline,221,llm_classification,medium,vtechtextiles.com,0,manufacturing
trioniccorp2,Manufacturing,Marine/RV Products,crm_pipeline,4213,manual_verification,high,trioniccorp.com,0,Manufacturing
furnitureprocorp,Furniture,Furniture,crm_pipeline,1494,llm_classification,medium,furnitureprocorp.com,0,wholesale_distribution
centricityvisioninc3,Other,Unclassified,crm_pipeline,58,unclassified,,centricityvision.com,"3,289,202",
universalpowerconversion,Food & Beverage,Spirits,quote_driven,342,llm_classification,medium,universalpowerconversion.com,"781,237",Manufacturing
firstmedicalinternationalcorp2,Food & Beverage,Spirits,crm_pipeline,27,llm_classification,medium,firstmedicalint.com,0,(No Type)
ThePianoPlaceMichigan,Retail,Musical Instruments/Pianos,mixed,1195,manual_verification,high,gmail.com,0,Musical instrument and supplies stores
Wilco,Other,Unclassified,quote_driven,3044,unclassified,,loretech.io,"3,191,379",WholesaleDistributionandSales
metkonusainc,Consumer Goods,Jewelry,quote_driven,3292,llm_classification,medium,www.metkon.us,"1,680,837",
healthcarestoragesolutionscorporation,Healthcare & Medical,Medical Equipment,quote_driven,2663,llm_classification,medium,focusedenergy.work,"10,015,737",
alliedmachinerysalesllc,Food & Beverage,Craft Beer,quote_driven,1710,llm_classification,medium,alliedmachinerysales.com,"379,112,278",GeneralProductbasedBusiness
appliedwatertechnologies,Technology,Software/Technology,transactional,133,llm_classification,medium,gmail.com,"78,623",WholesaleDistributionandSales
lancevalves2,Construction & Building,Plumbing,transactional,1203,llm_classification,medium,lancevalves.com,"1,146,006",Manufacturing
lowrymanufacturingcompany2,Consumer Goods,Jewelry,quote_driven,1125,llm_classification,medium,lowrymfgco.com,"2,635,320",
huntercattlecompany2,Food & Beverage,Coffee,crm_pipeline,17,llm_classification,medium,exigosalesandmarketing.com,"4,369,655",
snoozies,Consumer Goods,Footwear/Slippers,mixed,6413,manual_verification,high,deltaforce.net,0,WholesaleDistributionandSales
medicalz2,Healthcare & Medical,Medical Equipment,mixed,4828,llm_classification,medium,medicalz.com,"2,939,712",Manufacturing
pattechnology2,Technology,Software/Technology,crm_pipeline,1838,llm_classification,medium,pattechnology.com,"3,732,365",WholesaleDistributionandSales
officefirstsolutions,Other,Unclassified,crm_pipeline,9,unclassified,,myofficefirst.com,0,RetailSummary
iconusa,Other,Unclassified,quote_driven,42,unclassified,,iconoffice.com,"49,841",All other miscellaneous store retailers (except tobacco stores)
dcooperworksllc,Other,Unclassified,quote_driven,509,unclassified,,dcooperworks.com,"3,431,146",manufacturing
daiwahealthdevelopment,Healthcare & Medical,Medical Equipment,transactional,1621,llm_classification,medium,dhdusa.net,"1,848,375",manufacturing
aswnorth,Other,Unclassified,transactional,991,unclassified,,aswsouth.com,"2,451,861",wholesale_distribution
penusa,Other,Unclassified,crm_pipeline,97,unclassified,,pen-usa.com,"1,402,593",
ReuningMcKim,Other,Unclassified,crm_pipeline,130,unclassified,,sbsassociates.com,"12,679,294",Manufacturing
WonkyConfections,Other,Unclassified,transactional,81,unclassified,,alpinehemp.com,"37,296",Nonchocolate confectionery manufacturing
stellalightingincCo1,Food & Beverage,Spirits,transactional,3679,llm_classification,medium,stellalighting.com,"5,803,036",
kuumbamadeCo2,Consumer Goods,Fragrances/Body Products,mixed,12598,manual_verification,high,kuumbamade.com,"24,308",
aosolutions,Other,Unclassified,quote_driven,391,unclassified,,,"479,478",
intellbioCo3,Healthcare & Medical,Biotech/Laboratory,crm_pipeline,1422,manual_verification,medium,intellbio.com,"5,301,510",OtherNone
namusa,Manufacturing,Architectural Metals,quote_driven,3859,manual_verification,high,namusa.com,"11,171,994",
bardianivalves,Construction & Building,Plumbing,quote_driven,535,llm_classification,medium,bardiani-valves.ca,"4,296,697",WholesaleDistributionandSales
liquimedlock,Food & Beverage,Spirits,transactional,1982,llm_classification,medium,liquimedlock.com,"5,293,797",
caribbeandiagnosticsltdCo1,Food & Beverage,Coffee,transactional,5362,llm_classification,medium,caribbeandiagnostics.com,"4,442,303",
enerfusioninc,Food & Beverage,Spirits,quote_driven,270,llm_classification,medium,enerfusioninc.com,"2,293,695","Electrical Equipment, Appliance, and Component Manufacturing"
mfmh,Consumer Goods,Jewelry,quote_driven,8540,llm_classification,medium,mfmh.net,"18,507,235",OtherNone
promotionalproductsfulfillmentdistributionltdCo1,Food & Beverage,Spirits,quote_driven,2196,llm_classification,medium,ppfd.com,"544,170",
Legitshipcbd06,Other,Unclassified,transactional,179,unclassified,,legitshipcbd.com,0,
jobena,Consumer Goods,Jewelry,quote_driven,5171,llm_classification,medium,jobena.com,"1,845,427",Manufacturing
burly,Other,Unclassified,quote_driven,174,unclassified,,burlyattachments.com,"206,676",(No Type)
MPDmedical,Healthcare & Medical,Medical Equipment,transactional,5230,llm_classification,medium,tdmetal.com,"1,698,431",MedicalDentalorHealthService
MYOSCORP,Other,Unclassified,transactional,608,unclassified,,accountingsynergies.com,"16,962,474",
perlistenaudiollc,Consumer Goods,Jewelry,transactional,307,llm_classification,medium,perlistenaudio.com,"10,350,517",
equipmentlockCo,Security Equipment,Equipment Locks,transactional,10745,manual_verification,high,equipmentlock.com,"3,354,965",Manufacturing
firestationfurniture,Furniture,Fire Station Furniture,quote_driven,28452,manual_verification,high,firestationfurniture.com,"8,281,961",
DMM21,Other,Unclassified,quote_driven,39,unclassified,,,"2,503,595",WholesaleDistributionandSales
FLH,Industrial,Fiberglass/Line Hardware,quote_driven,7815,manual_verification,medium,sbsassociates.com,"25,894,725",GeneralProductbasedBusiness
happydayflower,Retail,Florist/Flowers,transactional,8590,manual_verification,medium,msn.com,"6,100,852",
DMS2021,Other,Unclassified,quote_driven,196,unclassified,,,"741,355",WholesaleDistributionandSales
premierCo1,Other,Unclassified,transactional,88,unclassified,,gmail.com,"46,200",
knexMethod,Other,Unclassified,crm_pipeline,668,unclassified,,knex-ww.com,"5,063,776",
antares,Healthcare & Medical,Supplements/Nutraceuticals,crm_pipeline,369,llm_classification,medium,tpgs.com,"4,095,528",
coolbluedistribution,Other,Unclassified,crm_pipeline,1035,unclassified,,coolbluedistribution.com,"2,222,772",Other miscellaneous nondurable goods merchant wholesalers
ngalatrading,Electrical,Lighting,mixed,2617,llm_classification,medium,ngalatrading.com,"3,220,800",
biggameusaCo2,Sports & Recreation,Football Equipment,quote_driven,9767,manual_verification,high,biggameusa.com,"15,094,597",Manufacturing
labelsplusCo1,Healthcare & Medical,Lab Equipment,transactional,3031,llm_classification,medium,gmail.com,"130,158",
anytimebarsuppliesllcCo1,Food & Beverage,Wine,mixed,3469,llm_classification,medium,anytimebarsupplies.com,"622,665",
haygor,Other,Unclassified,crm_pipeline,24,unclassified,,haygor.com,"11,127,748",GeneralProductbasedBusiness
CryturUSA,Other,Unclassified,transactional,581,unclassified,,karisoft.com,"8,052,281",ManufacturerRepresentativeorAgent
stwsincCo1,Consumer Goods,Apparel,transactional,1890,llm_classification,medium,sheltonbookkeeping.net,"2,201,266",Men’s and boys’ cut and sew apparel manufacturing
trunniontable,Furniture,Furniture,quote_driven,965,llm_classification,medium,trunniontable.com,"2,513,494",WholesaleDistributionandSales
LappStructures,Construction & Building,Sheds/Outdoor Structures,quote_driven,13962,manual_verification,high,mycbsadvisor.com,0,ConstructionGeneralContractor
sonoranprocess,Other,Unclassified,crm_pipeline,296,unclassified,,sonoranprocess.com,"1,558,015",RetailSummary
paradigmlabs,Healthcare & Medical,Lab Equipment,mixed,2709,llm_classification,medium,paradigmlabs.us,"2,717,573",manufacturing
TexStar,Electrical,LED Lighting,transactional,2145,manual_verification,high,txstarpro.com,"1,807,510",
safetnose,Security Equipment,Safes/Security,transactional,218,llm_classification,medium,safetnose.com,"181,842",Manufacturing
lihua,Food & Beverage,Spirits,quote_driven,98,llm_classification,medium,spkassociates.com,"42,271",ManufacturerRepresentativeorAgent
nukitchens132,Construction & Building,Kitchen Remodeling,transactional,4616,manual_verification,high,nukitchens.com,"2,287,223",wholesale_distribution
americanwholesaledistributors,Food & Beverage,Craft Beer,transactional,75,llm_classification,medium,awdinc.net,"30,840",WholesaleDistributionandSales
bertelsonprecast,Construction & Building,Precast Concrete,quote_driven,1756,manual_verification,high,bertelsonprecast.com,"1,228,905",manufacturing
j2medicalsupplyinc,Healthcare & Medical,Medical Equipment,quote_driven,170,llm_classification,medium,,"83,325",GeneralProductbasedBusiness
techtradeglobal,Technology,Software/Technology,quote_driven,883,llm_classification,medium,techtradeglobal.com,"75,284",
spkassociates,Manufacturing,Packaging & Display,quote_driven,10184,manual_verification,high,spkassociates.com,"1,695,610",WholesaleDistributionandSales
yoderbilt,Construction & Building,Greenhouses,quote_driven,25905,manual_verification,high,yoderbilt.com,"11,356,174",Manufacturing
bindersincCo1,Consumer Goods,Promotional Products,quote_driven,20860,manual_verification,high,bindersinc.com,"2,455,699",Manufacturing
artemisbiosolutions,Other,Unclassified,quote_driven,48,unclassified,,uniongas.net,"589,063",Manufacturing
loretech,Technology,Software/Technology,quote_driven,1046,llm_classification,medium,loretech.io,"1,061,713",WholesaleDistributionandSales
gitchsportswearCo1,Consumer Goods,Apparel,transactional,7200,llm_classification,medium,certus-cap.com,"2,493,536","Sportswear, men's and boys', merchant wholesalers"
europenaingredientsCo2,Other,Unclassified,crm_pipeline,82,unclassified,,europena-ingredients.com,"14,918,942",WholesaleDistributionandSales
bassbrushes,Consumer Goods,Beauty/Personal Care,quote_driven,2838,manual_verification,high,bassbrushes.com,"3,043,658",WholesaleDistributionandSales
highcottonCo2,Other,Unclassified,crm_pipeline,55,unclassified,,highcotton.com,0,Manufacturing
ipme,Other,Unclassified,crm_pipeline,835,unclassified,,goipme.com,"20,987,120",
sommselection,Food & Beverage,Wine Distribution,transactional,6245,manual_verification,high,sommselectionmiami.com,"12,011,451",WholesaleDistributionandSales
ancientartsfibrecrafts,Other,Unclassified,quote_driven,235,unclassified,,ancientartsfibre.com,"1,455,275",
wplastics,Manufacturing,Plastics,mixed,656,llm_classification,medium,3wplastics.com,"11,413,494",Manufacturing
Surfaceco,Consumer Goods,Jewelry,quote_driven,1690,llm_classification,medium,humanemfg.com,"8,352,614",OtherNone
BioAgEnergy,Industrial,Fuel Distribution,transactional,11786,manual_verification,high,staplesoil.com,"8,434,532",WholesaleDistributionandSales
sylvacorp,Food & Beverage,Spirits,quote_driven,9440,llm_classification,medium,sylvacorp.com,"653,824",Manufacturing
ptegolfCo1,Food & Beverage,Spirits,quote_driven,8625,llm_classification,medium,ptegolf.com,"1,159,788",RetailSummary
NadalieUSA,Other,Unclassified,quote_driven,316,unclassified,,,"1,764,173",Manufacturer's Rep/Sales Rep
tritterfeeferCo1,Construction & Building,Outdoor Furniture/Sheds,quote_driven,7385,manual_verification,medium,,"1,939,491",manufacturing
agproinc,Other,Unclassified,quote_driven,574,unclassified,,,0,Manufacturing
